"v","v.mean","t","mean","sd","5","95","15","85","25","75"
"SOM (%)",5.61666666666667,"Balled-and-burlapped",5.12781867703619,0.176763737470447,4.82537459540254,5.38930733900866,4.94693586693727,5.30347872328569,5.01014756187083,5.23784821566956
"SOM (%)",5.61666666666667,"Bareroot",5.56568771494496,0.178748317680583,5.3016254813448,5.88015409459109,5.37045034498556,5.72914307040661,5.45007825959222,5.68225276767765
"SOM (%)",5.61666666666667,"Seedling",5.32827900971289,0.170748746774529,5.04112548732493,5.59571987867735,5.17828110468521,5.51956839615798,5.21908327225695,5.43690501625742
"SOM (%)",5.61666666666667,"Acorn",5.51442821696443,0.172775553073374,5.24188815383988,5.81333588141984,5.32830815321642,5.6679478903583,5.39762352170812,5.61031590011549
"SOM (%)",5.61666666666667,"Seedbank",5.91351496398894,0.18577596583397,5.62277929494746,6.22384179573664,5.73749307337057,6.11009650788685,5.80152473373154,6.02500053474012
"SOM (%)",5.61666666666667,"Reference",6.22327713449475,0.188155482964094,5.92190014674784,6.52147363559868,6.02971814865602,6.40045043354373,6.1185569003975,6.35642026915484
"TOC (%)",3.89677777777778,"Balled-and-burlapped",3.19613698148405,0.173123495266729,2.90895526369419,3.47154937757134,3.02449761743376,3.37041202940523,3.06749111409783,3.29078454807327
"TOC (%)",3.89677777777778,"Bareroot",3.43977605599561,0.179762816384831,3.15680361303195,3.73644677924573,3.25163842737194,3.60899413591556,3.291465810983,3.5292387665102
"TOC (%)",3.89677777777778,"Seedling",3.45895950035366,0.182726406667298,3.15602713485388,3.75165696906554,3.2813174417052,3.64620864668873,3.35372946857778,3.59118058000476
"TOC (%)",3.89677777777778,"Acorn",4.27977311212177,0.207849435103311,3.97677623873388,4.6478047009973,4.07639533185904,4.46418649075454,4.14778269380505,4.39511633574799
"TOC (%)",3.89677777777778,"Seedbank",4.41419365224115,0.207516370257261,4.10174626288192,4.76461149538337,4.21710933154771,4.61173896081909,4.2980640518039,4.55742604713416
"TOC (%)",3.89677777777778,"Reference",4.55292540310892,0.210579041201842,4.19348823040012,4.86809164429152,4.35969892382978,4.76885865605485,4.42024887386653,4.67893257106609
"TIC (%)",0.369,"Balled-and-burlapped",0.733354622802177,0.159610920948035,0.499439087667312,1.01135535313161,0.559525243132876,0.851986467971416,0.631677288352319,0.811968579357558
"TIC (%)",0.369,"Bareroot",0.619204859351657,0.130968683971875,0.399106677791415,0.806175647772587,0.490410425729667,0.73350370158591,0.521869545618232,0.678428873021834
"TIC (%)",0.369,"Seedling",0.636545812856868,0.148080517827029,0.377225723382749,0.847545600782828,0.495093505158977,0.764300964387996,0.54235059363185,0.709375952954273
"TIC (%)",0.369,"Acorn",0.176999934571746,0.0584541904619588,0.0838288016914722,0.27105741015677,0.110443783405517,0.223247415736342,0.131785637478539,0.203532896227216
