"elpd_diff","se_diff","elpd","se_elpd","p","se_p","ic","se_ic","variable","variable.label","criterion","model","best.model","model.label"
0,0,144.762687794846,9.86335456022892,16.3157671729464,3.45629887935069,-289.525375589691,19.7267091204578,"temperature","Temperature (C)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-10.1247265034267,4.58511247554503,134.637961291419,10.2799369253207,10.0456951847854,2.40241126737466,-269.275922582838,20.5598738506414,"temperature","Temperature (C)","WAIC","strip.random","No","Strip random effects"
-10.9840613482008,4.85327999205752,133.778626446645,10.3385376773778,7.71480965543571,2.1803795773455,-267.55725289329,20.6770753547557,"temperature","Temperature (C)","WAIC","simple","No","Fixed effects only"
0,0,144.028139791656,10.0710402004796,17.0503151761356,3.66700334638442,-288.056279583313,20.1420804009592,"temperature","Temperature (C)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-9.57847833785531,4.63976363817534,134.449661453801,10.3389543384048,10.2339950224032,2.46321670873912,-268.899322907602,20.6779086768096,"temperature","Temperature (C)","LOO","strip.random","No","Strip random effects"
-10.367036498909,4.90987603732474,133.661103292747,10.397940554798,7.8323328093331,2.24385435949546,-267.322206585495,20.795881109596,"temperature","Temperature (C)","LOO","simple","No","Fixed effects only"
0,0,53.2075292402749,11.1473256937173,11.2855313135329,2.75072786393063,-106.41505848055,22.2946513874346,"gravimetric.moisture","Gravitational moisture (%)","WAIC","strip.random","Yes","Strip random effects"
-0.602288900865678,0.902918243765086,52.6052403394092,11.3169428570578,13.784645957103,3.41504400723185,-105.210480678818,22.6338857141156,"gravimetric.moisture","Gravitational moisture (%)","WAIC","strip.plot.random","No","Strip and plot random effects"
-2.92530788788158,2.57862899389731,50.2822213523933,10.5639511140803,7.83065585243259,2.13662059860322,-100.564442704787,21.1279022281606,"gravimetric.moisture","Gravitational moisture (%)","WAIC","simple","No","Fixed effects only"
0,0,52.980476040158,11.2168257810752,11.5125845136498,2.82255092470454,-105.960952080316,22.4336515621505,"gravimetric.moisture","Gravitational moisture (%)","LOO","strip.random","Yes","Strip random effects"
-0.878563336977898,0.970928291170958,52.1019127031801,11.481791335984,14.2879735933321,3.5817042310026,-104.20382540636,22.9635826719681,"gravimetric.moisture","Gravitational moisture (%)","LOO","strip.plot.random","No","Strip and plot random effects"
-2.79341849945828,2.59169857469376,50.1870575406997,10.6035345687092,7.92581966412617,2.1785268508767,-100.374115081399,21.2070691374184,"gravimetric.moisture","Gravitational moisture (%)","LOO","simple","No","Fixed effects only"
0,0,77.6273946206347,7.06108598136531,9.14046845153309,1.39946921734003,-155.254789241269,14.1221719627306,"bulk.density","Bulk density (g/cm3)","WAIC","strip.random","Yes","Strip random effects"
-0.0502352433215511,0.925911553312672,77.5771593773132,7.28034475235427,6.78775183970872,1.13114102331019,-155.154318754626,14.5606895047085,"bulk.density","Bulk density (g/cm3)","WAIC","simple","No","Fixed effects only"
-0.469447322927656,0.727684218140754,77.1579472977071,7.01979710126804,11.2507367961239,1.64664642793207,-154.315894595414,14.0395942025361,"bulk.density","Bulk density (g/cm3)","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,77.5211696544392,7.29404077270414,6.84374156258272,1.14550921113988,-155.042339308878,14.5880815454083,"bulk.density","Bulk density (g/cm3)","LOO","simple","Yes","Fixed effects only"
-0.0210925221186766,0.935232442742137,77.5000771323205,7.07839612212051,9.26778593984733,1.41698475449506,-155.000154264641,14.156792244241,"bulk.density","Bulk density (g/cm3)","LOO","strip.random","No","Strip random effects"
-0.638711253720045,1.48092288052284,76.8824584007191,7.07425740238463,11.5262256931118,1.70145607172791,-153.764916801438,14.1485148047693,"bulk.density","Bulk density (g/cm3)","LOO","strip.plot.random","No","Strip and plot random effects"
