model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,posterior.se,5,95,25,75
simple,Fixed effects only,temperature,Temperature (C),16.69666667,A,Balled-and-burlapped,-0.016556125,0.013884344,-0.038489838,0.007240834,-0.025847357,-0.007214368
simple,Fixed effects only,temperature,Temperature (C),16.69666667,B,Bareroot,-0.001705473,0.019651075,-0.03474987,0.029975306,-0.015438532,0.010801678
simple,Fixed effects only,temperature,Temperature (C),16.69666667,C,Seedling,-0.018483923,0.019772852,-0.051547304,0.01343244,-0.031378291,-0.004896582
simple,Fixed effects only,temperature,Temperature (C),16.69666667,D,Acorn,0.057193601,0.019096983,0.026359533,0.088898633,0.045207095,0.070758987
simple,Fixed effects only,temperature,Temperature (C),16.69666667,E,Seedbank,0.036970757,0.01918086,0.005939153,0.068897875,0.024222013,0.049849515
simple,Fixed effects only,temperature,Temperature (C),16.69666667,R,Reference,0.021710279,0.019382342,-0.010137617,0.053682334,0.00984586,0.035712253
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,A,Balled-and-burlapped,-0.018452122,0.021977794,-0.054739161,0.015318423,-0.030800112,-0.004329432
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,B,Bareroot,-8.76E-05,0.029275285,-0.047768056,0.045549975,-0.018552287,0.01666791
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,C,Seedling,-0.016806934,0.029364039,-0.06285046,0.031122757,-0.033686335,0.001910947
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,D,Acorn,0.054574686,0.030618764,0.005496632,0.103865781,0.038170149,0.074796648
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,E,Seedbank,0.038753203,0.029185281,-0.007609647,0.086477216,0.01987963,0.054934466
strip.random,Strip random effects,temperature,Temperature (C),16.69666667,R,Reference,0.02345951,0.034923983,-0.030562387,0.079906326,0.004700699,0.044816638
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,A,Balled-and-burlapped,-0.017861533,0.031290366,-0.06817622,0.033220548,-0.037914539,-4.78E-06
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,B,Bareroot,-0.00050814,0.042907127,-0.070848825,0.068420086,-0.024822332,0.028024066
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,C,Seedling,-0.017435781,0.042930936,-0.086063109,0.052316742,-0.043666684,0.009780816
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,D,Acorn,0.055985679,0.043881401,-0.013590521,0.127737244,0.0285435,0.081898525
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,E,Seedbank,0.037841821,0.04315956,-0.032244327,0.106024108,0.012306625,0.06500552
strip.plot.random,Strip and plot random effects,temperature,Temperature (C),16.69666667,R,Reference,0.022457725,0.04765312,-0.052626256,0.098789664,-0.006200897,0.050321182
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,A,Balled-and-burlapped,-0.035241495,0.035953852,-0.094217174,0.023256205,-0.056809427,-0.008775161
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,B,Bareroot,-0.048284562,0.051920845,-0.131705432,0.038807352,-0.085127862,-0.015880697
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,C,Seedling,-0.057494929,0.052014172,-0.144015898,0.026501928,-0.088610581,-0.019074459
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,D,Acorn,0.124971577,0.047774768,0.044779918,0.2017676,0.093274725,0.156752466
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,E,Seedbank,0.067292688,0.049085188,-0.013157397,0.147802708,0.033821078,0.099628214
simple,Fixed effects only,gravimetric.moisture,Gravitational moisture (%),27.87420834,R,Reference,0.099667966,0.048414401,0.022892437,0.181803437,0.067626995,0.132373936
strip.random,Strip random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,A,Balled-and-burlapped,-0.028749228,0.066577233,-0.132666488,0.07904093,-0.066347741,0.012611791
strip.random,Strip random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,B,Bareroot,-0.056224668,0.088520323,-0.197698668,0.08486184,-0.112215296,-0.005448832
strip.random,Strip random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,C,Seedling,-0.065538082,0.08878794,-0.205908759,0.080015174,-0.119734689,-0.01268385
strip.random,Strip random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,D,Acorn,0.136518348,0.092509,-0.006549267,0.287557724,0.079009946,0.188119991
strip.random,Strip random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,E,Seedbank,0.058990766,0.086944748,-0.085841372,0.192540099,0.006116024,0.109963676
strip.random,Strip random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,R,Reference,0.093209526,0.108790952,-0.078421708,0.268724529,0.033911231,0.157234933
strip.plot.random,Strip and plot random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,A,Balled-and-burlapped,-0.032033931,0.068773051,-0.141347021,0.078497857,-0.072339043,0.009092273
strip.plot.random,Strip and plot random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,B,Bareroot,-0.053229884,0.09353822,-0.202887735,0.095560777,-0.107935146,0.004579103
strip.plot.random,Strip and plot random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,C,Seedling,-0.062655356,0.092778164,-0.211039465,0.084808058,-0.118515734,-0.00671144
strip.plot.random,Strip and plot random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,D,Acorn,0.133278455,0.094858318,-0.018923017,0.282919427,0.074032513,0.18682586
strip.plot.random,Strip and plot random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,E,Seedbank,0.062505101,0.090840916,-0.083665537,0.20734148,0.007312356,0.116722455
strip.plot.random,Strip and plot random effects,gravimetric.moisture,Gravitational moisture (%),27.87420834,R,Reference,0.095723404,0.108645947,-0.078184829,0.26694708,0.034681684,0.160078647
simple,Fixed effects only,bulk.density,Bulk density (g/cm3),0.877572124,A,Balled-and-burlapped,0.081545318,0.023728119,0.042436999,0.120041321,0.067314586,0.099085807
simple,Fixed effects only,bulk.density,Bulk density (g/cm3),0.877572124,B,Bareroot,-0.106090029,0.035243069,-0.163994006,-0.048076299,-0.129611624,-0.08266686
simple,Fixed effects only,bulk.density,Bulk density (g/cm3),0.877572124,C,Seedling,-0.102327605,0.035319031,-0.160658844,-0.044712891,-0.12580115,-0.078576445
simple,Fixed effects only,bulk.density,Bulk density (g/cm3),0.877572124,D,Acorn,-0.207482454,0.037203661,-0.269794451,-0.147369792,-0.232281485,-0.182735399
simple,Fixed effects only,bulk.density,Bulk density (g/cm3),0.877572124,E,Seedbank,-0.072016456,0.034616424,-0.12784685,-0.013982263,-0.093809438,-0.047650222
simple,Fixed effects only,bulk.density,Bulk density (g/cm3),0.877572124,R,Reference,-0.02071397,0.03384441,-0.075273522,0.035721857,-0.04334873,0.001662052
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,A,Balled-and-burlapped,0.080637103,0.03734769,0.020974021,0.140100698,0.059671398,0.103659627
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,B,Bareroot,-0.105216523,0.051385239,-0.184296637,-0.019629995,-0.136242099,-0.073910068
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,C,Seedling,-0.101671503,0.051394259,-0.183672103,-0.020315538,-0.134608544,-0.072614939
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,D,Acorn,-0.209672318,0.055921731,-0.297161679,-0.119668494,-0.242418416,-0.175625854
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,E,Seedbank,-0.071305379,0.050953934,-0.153490943,0.00904678,-0.104553434,-0.043286506
strip.random,Strip random effects,bulk.density,Bulk density (g/cm3),0.877572124,R,Reference,-0.019688586,0.060096769,-0.116212709,0.07443507,-0.05446195,0.013489663
