"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","posterior.se","5","95","25","75"
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"A","Balled-and-burlapped",-0.0165561252843019,0.0138843443735679,-0.0384898375679706,0.00724083361329678,-0.0258473567588917,-0.00721436772489794
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"B","Bareroot",-0.00170547263655612,0.0196510745409342,-0.0347498695372571,0.0299753061742204,-0.0154385320751047,0.0108016784478803
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"C","Seedling",-0.0184839233945985,0.0197728517401804,-0.0515473038530909,0.0134324395499307,-0.0313782910433392,-0.00489658216401834
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"D","Acorn",0.0571936008468722,0.0190969834712916,0.0263595331351475,0.0888986330299385,0.0452070948892606,0.0707589874025154
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"E","Seedbank",0.0369707566778218,0.0191808596681725,0.00593915337617766,0.0688978750942217,0.0242220131910539,0.0498495148717554
"simple","Fixed effects only","temperature","Temperature (C)",16.6966666666667,"R","Reference",0.0217102789996142,0.0193823419662125,-0.0101376173903765,0.0536823337499459,0.00984585995785503,0.0357122531070985
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"A","Balled-and-burlapped",-0.0184521220370353,0.0219777944330935,-0.054739160875511,0.0153184234268116,-0.0308001119915357,-0.00432943203158465
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"B","Bareroot",-8.75608138630302e-05,0.0292752848025011,-0.0477680559507818,0.045549975059986,-0.0185522866511122,0.0166679098579548
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"C","Seedling",-0.0168069338467101,0.0293640389257951,-0.0628504603002641,0.0311227565542618,-0.0336863352962757,0.0019109465066546
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"D","Acorn",0.0545746860763813,0.0306187642816341,0.00549663166191522,0.103865780799376,0.0381701492958803,0.0747966476595706
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"E","Seedbank",0.0387532031373651,0.0291852809221367,-0.00760964702406872,0.0864772163790865,0.019879630146884,0.054934465893984
"strip.random","Strip random effects","temperature","Temperature (C)",16.6966666666667,"R","Reference",0.0234595103193672,0.0349239828577219,-0.0305623873402844,0.0799063258467208,0.00470069856291239,0.0448166377350631
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"A","Balled-and-burlapped",-0.0178615327137754,0.0312903655999291,-0.0681762198124617,0.0332205481925601,-0.0379145386428432,-4.7835706537807e-06
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"B","Bareroot",-0.00050814013284115,0.0429071271109361,-0.0708488245341492,0.0684200864052721,-0.0248223318193193,0.0280240657759878
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"C","Seedling",-0.0174357814033882,0.0429309359645621,-0.0860631092510871,0.0523167419487316,-0.0436666842230226,0.00978081630094934
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"D","Acorn",0.0559856788431708,0.0438814013613466,-0.0135905211871223,0.127737243676068,0.0285434995653015,0.0818985249794529
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"E","Seedbank",0.0378418214845081,0.0431595602151307,-0.0322443272222857,0.106024107979619,0.0123066251035589,0.0650055197534339
"strip.plot.random","Strip and plot random effects","temperature","Temperature (C)",16.6966666666667,"R","Reference",0.0224577246324762,0.0476531200368752,-0.0526262560191548,0.0987896635499516,-0.00620089701712675,0.050321181896264
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"A","Balled-and-burlapped",-0.0352414953611403,0.0359538520932875,-0.0942171743483187,0.0232562046646497,-0.0568094274794219,-0.00877516142076429
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"B","Bareroot",-0.0482845616736079,0.0519208449754036,-0.131705432149542,0.0388073518195107,-0.0851278624789011,-0.0158806974152237
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"C","Seedling",-0.0574949287207784,0.0520141720732635,-0.144015897980155,0.026501928234224,-0.088610581375339,-0.0190744588161996
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"D","Acorn",0.124971577265617,0.0477747680880038,0.0447799176173735,0.201767600174443,0.0932747247632175,0.156752466165512
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"E","Seedbank",0.0672926879231041,0.0490851881271474,-0.0131573974742423,0.147802707870072,0.0338210779524959,0.0996282137724914
"simple","Fixed effects only","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"R","Reference",0.0996679662565627,0.0484144006850136,0.0228924371578891,0.181803437301743,0.0676269946797495,0.132373935992218
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"A","Balled-and-burlapped",-0.028749228031075,0.0665772330716554,-0.132666487829793,0.0790409302858472,-0.0663477414961574,0.0126117910960832
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"B","Bareroot",-0.0562246676206542,0.0885203229609045,-0.197698667814508,0.0848618401477172,-0.112215295503163,-0.00544883173817222
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"C","Seedling",-0.0655380822243972,0.0887879400412596,-0.20590875879021,0.0800151737518897,-0.119734688820334,-0.01268384967034
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"D","Acorn",0.136518348393634,0.092509000373125,-0.00654926745586537,0.287557723793991,0.0790099457282174,0.188119991085848
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"E","Seedbank",0.0589907663281688,0.0869447480254965,-0.085841372134198,0.192540099293651,0.00611602358660837,0.109963676264082
"strip.random","Strip random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"R","Reference",0.0932095261916694,0.108790951558225,-0.0784217075612216,0.268724528782715,0.0339112310684896,0.157234933023285
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"A","Balled-and-burlapped",-0.0320339307884017,0.0687730512507269,-0.141347020850958,0.0784978574275403,-0.0723390434074563,0.00909227250230257
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"B","Bareroot",-0.0532298840823075,0.0935382197719377,-0.202887734640883,0.0955607765792843,-0.107935145832166,0.00457910312290857
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"C","Seedling",-0.0626553561921247,0.0927781635978882,-0.211039465228949,0.084808057877086,-0.118515733545806,-0.00671144008315481
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"D","Acorn",0.133278454639946,0.094858317756971,-0.0189230166256725,0.282919427063807,0.0740325132938165,0.1868258601386
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"E","Seedbank",0.0625051011160837,0.0908409163019515,-0.0836655366438936,0.207341479752121,0.00731235613006039,0.116722454855705
"strip.plot.random","Strip and plot random effects","gravimetric.moisture","Gravitational moisture (%)",27.8742083420243,"R","Reference",0.0957234038499873,0.108645946819717,-0.0781848286813228,0.266947079746441,0.0346816837331238,0.160078647251714
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.87757212441744,"A","Balled-and-burlapped",0.0815453175918547,0.0237281191192512,0.0424369985023501,0.120041320736308,0.0673145855618377,0.0990858069452966
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.87757212441744,"B","Bareroot",-0.106090028646693,0.0352430685300996,-0.163994006457148,-0.0480762987524044,-0.129611624145456,-0.0826668595031361
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.87757212441744,"C","Seedling",-0.102327604655784,0.0353190306309526,-0.160658843883649,-0.0447128908040979,-0.12580114973493,-0.0785764451152701
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.87757212441744,"D","Acorn",-0.207482453700418,0.0372036609643545,-0.269794450501745,-0.147369792273774,-0.232281485448352,-0.182735399232133
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.87757212441744,"E","Seedbank",-0.0720164555843364,0.0346164244255291,-0.127846850467589,-0.0139822627774707,-0.0938094383184403,-0.0476502222413801
"simple","Fixed effects only","bulk.density","Bulk density (g/cm3)",0.87757212441744,"R","Reference",-0.020713970136313,0.0338444100382839,-0.0752735219081754,0.0357218566949894,-0.0433487304984977,0.00166205223222994
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"A","Balled-and-burlapped",0.0806371034461807,0.037347690331557,0.020974020532715,0.140100697916884,0.0596713982916144,0.103659626699081
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"B","Bareroot",-0.105216522970116,0.0513852391873393,-0.184296636884879,-0.0196299954700779,-0.136242098662588,-0.0739100675582341
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"C","Seedling",-0.101671503404717,0.0513942593284695,-0.183672102502937,-0.0203155381686315,-0.134608543644856,-0.0726149390833026
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"D","Acorn",-0.20967231777103,0.0559217307965561,-0.297161679298217,-0.119668493553257,-0.242418416254007,-0.175625854227146
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"E","Seedbank",-0.0713053794413014,0.0509539344683352,-0.153490942646969,0.00904677997833025,-0.104553433716066,-0.0432865055173471
"strip.random","Strip random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"R","Reference",-0.0196885863599844,0.0600967685752548,-0.116212709271073,0.0744350702128542,-0.054461950373603,0.0134896634644919
"strip.plot.random","Strip and plot random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"A","Balled-and-burlapped",0.0808163298217113,0.0412027308416583,0.0151717738699467,0.145548109993523,0.0566425413196364,0.105800670081443
"strip.plot.random","Strip and plot random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"B","Bareroot",-0.105899963438808,0.0569991009492802,-0.194892717049226,-0.0136606623358582,-0.141256614225046,-0.0722468788544945
"strip.plot.random","Strip and plot random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"C","Seedling",-0.102552649323822,0.0569690833786108,-0.193805333455821,-0.0120431417332663,-0.138319511307065,-0.0695436570079852
"strip.plot.random","Strip and plot random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"D","Acorn",-0.209390966992007,0.0612802298017165,-0.30712734816586,-0.113237675123285,-0.248087773850742,-0.174322746132143
"strip.plot.random","Strip and plot random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"E","Seedbank",-0.0719832651928521,0.056748338858351,-0.160152562584051,0.0202375068559312,-0.107346202042506,-0.0388389300456994
"strip.plot.random","Strip and plot random effects","bulk.density","Bulk density (g/cm3)",0.87757212441744,"R","Reference",-0.0202941714562605,0.0655109920179268,-0.125720002392425,0.0799238345516122,-0.0562510064638342,0.0176576180592201
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444444444,"A","Balled-and-burlapped",0.109808288887089,0.0323545241722325,0.0578982541048505,0.163580966582094,0.0877326069188331,0.131180054680479
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444444444,"B","Bareroot",0.0537601272898134,0.0446881971610782,-0.0225389814152435,0.124061489244599,0.0226192218893976,0.0824216108500191
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444444444,"C","Seedling",-0.105517540325471,0.0478919987730041,-0.183801138330629,-0.0272312765301911,-0.138725806917763,-0.0742663013534877
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444444444,"D","Acorn",0.00972012967945659,0.0454049934622723,-0.0648460337425615,0.0836044375360712,-0.0228183430885297,0.038017082427507
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444444444,"E","Seedbank",-0.154493270267246,0.0499231059350894,-0.234118840608493,-0.0699836290639013,-0.186756397712724,-0.120078806438136
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444444444,"R","Reference",-0.60970566265058,0.0677226410013054,-0.719446553147083,-0.497094036313454,-0.651870747472247,-0.562578941690104
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444444444,"A","Balled-and-burlapped",0.111932720308276,0.131913388761355,-0.100690453305506,0.320766253719605,0.0303896176137513,0.186993561380169
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444444444,"B","Bareroot",0.0506527834265798,0.172039377439913,-0.215335114960066,0.33314260722951,-0.0522609467021403,0.150900953483494
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444444444,"C","Seedling",-0.11660328376566,0.171407890135202,-0.392924221096213,0.155939780298351,-0.212406094719664,-0.00807912056317837
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444444444,"D","Acorn",0.00822173821251168,0.186994075635992,-0.289193573607731,0.307354124900628,-0.098268398889105,0.123551634788704
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444444444,"E","Seedbank",-0.170366131998134,0.173111250863069,-0.43926914094064,0.111667642750157,-0.271041182651782,-0.0659640659607923
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444444444,"R","Reference",-0.610147014096142,0.231712719481674,-0.978846998433923,-0.242871441538818,-0.739634422834266,-0.462597439405564
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444444444,"A","Balled-and-burlapped",0.110914491722387,0.123913543336833,-0.0843952020770019,0.312079360858341,0.0383387121976133,0.185864902395272
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444444444,"B","Bareroot",0.0514016142515486,0.16591304745153,-0.213551980981174,0.317998103039649,-0.046938045628692,0.153371772199686
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444444444,"C","Seedling",-0.116696989159786,0.167565248622359,-0.382939695239892,0.154815156989092,-0.21753619898668,-0.0179336766006725
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444444444,"D","Acorn",0.00577619492790148,0.177310552401713,-0.267452618797184,0.29975183364746,-0.107735288556128,0.102402243183575
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444444444,"E","Seedbank",-0.168995875379821,0.167098225314943,-0.433752791366014,0.103284903187047,-0.268838432202353,-0.0689857794926264
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444444444,"R","Reference",-0.611128658141153,0.203115962176394,-0.924707047774938,-0.279101364505721,-0.727331904135464,-0.493894197425398
"simple","Fixed effects only","bulk.c.percent","TC (%)",4.26577777777778,"A","Balled-and-burlapped",-0.0762868058550089,0.0352974805003707,-0.133573614546494,-0.0177108484644896,-0.0977161381074912,-0.0505657122065411
"simple","Fixed effects only","bulk.c.percent","TC (%)",4.26577777777778,"B","Bareroot",0.0316527205568491,0.0490680281746482,-0.0463827675230246,0.114827007046748,-8.5318417171226e-05,0.065523462065647
"simple","Fixed effects only","bulk.c.percent","TC (%)",4.26577777777778,"C","Seedling",0.0427347365588903,0.0485950283846128,-0.034910533627499,0.124862994324501,0.0083021067893435,0.0735332742847232
"simple","Fixed effects only","bulk.c.percent","TC (%)",4.26577777777778,"D","Acorn",0.114261087386486,0.0471632081893889,0.0344954267007362,0.189988923108584,0.0838769593102709,0.147118259247929
"simple","Fixed effects only","bulk.c.percent","TC (%)",4.26577777777778,"E","Seedbank",0.109009157844274,0.0472600167383092,0.0316231795027481,0.186111226439058,0.0790670136058779,0.142027496391283
"simple","Fixed effects only","bulk.c.percent","TC (%)",4.26577777777778,"R","Reference",0.142561381176442,0.0466053243743984,0.0666338615240137,0.219622921273192,0.114509264794654,0.177186580779751
