variable,variable.label,variable.mean,treatment,posterior.mean,posterior.sd,5,95,25,75
som.percent,SOM (%),5.616666667,Balled-and-burlapped,5.127818677,0.176763737,4.825374595,5.389307339,5.010147562,5.237848216
som.percent,SOM (%),5.616666667,Bareroot,5.565687715,0.178748318,5.301625481,5.880154095,5.45007826,5.682252768
som.percent,SOM (%),5.616666667,Seedling,5.32827901,0.170748747,5.041125487,5.595719879,5.219083272,5.436905016
som.percent,SOM (%),5.616666667,Acorn,5.514428217,0.172775553,5.241888154,5.813335881,5.397623522,5.6103159
som.percent,SOM (%),5.616666667,Seedbank,5.913514964,0.185775966,5.622779295,6.223841796,5.801524734,6.025000535
som.percent,SOM (%),5.616666667,Reference,6.223277134,0.188155483,5.921900147,6.521473636,6.1185569,6.356420269
toc.percent,TOC (%),3.896777778,Balled-and-burlapped,3.196136981,0.173123495,2.908955264,3.471549378,3.067491114,3.290784548
toc.percent,TOC (%),3.896777778,Bareroot,3.439776056,0.179762816,3.156803613,3.736446779,3.291465811,3.529238767
toc.percent,TOC (%),3.896777778,Seedling,3.4589595,0.182726407,3.156027135,3.751656969,3.353729469,3.59118058
toc.percent,TOC (%),3.896777778,Acorn,4.279773112,0.207849435,3.976776239,4.647804701,4.147782694,4.395116336
toc.percent,TOC (%),3.896777778,Seedbank,4.414193652,0.20751637,4.101746263,4.764611495,4.298064052,4.557426047
toc.percent,TOC (%),3.896777778,Reference,4.552925403,0.210579041,4.19348823,4.868091644,4.420248874,4.678932571
tic.percent,TIC (%),0.369,Balled-and-burlapped,0.733354623,0.159610921,0.499439088,1.011355353,0.631677288,0.811968579
tic.percent,TIC (%),0.369,Bareroot,0.619204859,0.130968684,0.399106678,0.806175648,0.521869546,0.678428873
tic.percent,TIC (%),0.369,Seedling,0.636545813,0.148080518,0.377225723,0.847545601,0.542350594,0.709375953
tic.percent,TIC (%),0.369,Acorn,0.176999935,0.05845419,0.083828802,0.27105741,0.131785637,0.203532896
tic.percent,TIC (%),0.369,Seedbank,0.065476779,0.034405392,0.015539834,0.114813221,0.033755948,0.073459677
tic.percent,TIC (%),0.369,Reference,0.065845158,0.034498124,0.014597447,0.116564719,0.032668021,0.072882361
poc.percent,POC (%),0.579033444,Balled-and-burlapped,0.506435348,0.061251566,0.403934299,0.600423439,0.462024185,0.53669182
poc.percent,POC (%),0.579033444,Bareroot,0.625032003,0.06952818,0.510900185,0.72990781,0.570093703,0.651908515
poc.percent,POC (%),0.579033444,Seedling,0.477668586,0.058740659,0.380600488,0.568145779,0.437598682,0.510072177
poc.percent,POC (%),0.579033444,Acorn,0.624420756,0.068908736,0.513104864,0.735023329,0.574853358,0.659479731
poc.percent,POC (%),0.579033444,Seedbank,0.638190118,0.067236214,0.5313788,0.74475644,0.593068222,0.67270052
poc.percent,POC (%),0.579033444,Reference,0.583698183,0.06532559,0.470190174,0.680009819,0.533247484,0.612856147
moc.percent,MOC (%),3.317744333,Balled-and-burlapped,2.692088132,0.174336817,2.421313434,2.990065024,2.598837252,2.817892131
moc.percent,MOC (%),3.317744333,Bareroot,2.810593241,0.176047682,2.495153211,3.069072916,2.710714178,2.940830823
moc.percent,MOC (%),3.317744333,Seedling,2.984497926,0.185697626,2.707430782,3.29940538,2.845054245,3.07600087
moc.percent,MOC (%),3.317744333,Acorn,3.656482551,0.202423752,3.322105685,3.967860904,3.496357927,3.757542429
moc.percent,MOC (%),3.317744333,Seedbank,3.766267109,0.212350696,3.429272482,4.072007554,3.635648263,3.884002268
moc.percent,MOC (%),3.317744333,Reference,3.960649532,0.208943289,3.61076382,4.291190217,3.835225119,4.090401512
bulk.c.percent,TC (%),4.265777778,Balled-and-burlapped,3.952928078,0.176822675,3.664483975,4.249069753,3.8563862,4.078203722
bulk.c.percent,TC (%),4.265777778,Bareroot,4.084080357,0.176761067,3.793175485,4.364465049,3.998845231,4.226842656
bulk.c.percent,TC (%),4.265777778,Seedling,4.125861115,0.181221706,3.821318527,4.421040728,4.021176523,4.249609801
bulk.c.percent,TC (%),4.265777778,Acorn,4.432180727,0.181390175,4.122534018,4.718757518,4.317760337,4.54834544
bulk.c.percent,TC (%),4.265777778,Seedbank,4.410262326,0.180472036,4.11857499,4.703520295,4.291686491,4.525967775
bulk.c.percent,TC (%),4.265777778,Reference,4.556848932,0.180873681,4.24257335,4.818113817,4.436561002,4.665656845
bulk.n.percent,TN (%),0.250444444,Balled-and-burlapped,0.279411124,0.024971693,0.238116492,0.318067339,0.261598822,0.291632987
