"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"temperature","Temperature (C)","simple","Fixed effects only","A","Balled-and-burlapped",1.00067847169347
"temperature","Temperature (C)","simple","Fixed effects only","B","Bareroot",1.00017351513367
"temperature","Temperature (C)","simple","Fixed effects only","C","Seedling",1.00027900459788
"temperature","Temperature (C)","simple","Fixed effects only","D","Acorn",1.00042578038711
"temperature","Temperature (C)","simple","Fixed effects only","E","Seedbank",1.00051443101585
"temperature","Temperature (C)","simple","Fixed effects only","R","Reference",1.00073893496342
"temperature","Temperature (C)","plot.random","Plot random effects","A","Balled-and-burlapped",1.0007827941097
"temperature","Temperature (C)","plot.random","Plot random effects","B","Bareroot",1.0004940012545
"temperature","Temperature (C)","plot.random","Plot random effects","C","Seedling",1.00080564536379
"temperature","Temperature (C)","plot.random","Plot random effects","D","Acorn",1.00070597486938
"temperature","Temperature (C)","plot.random","Plot random effects","E","Seedbank",1.00088372234479
"temperature","Temperature (C)","plot.random","Plot random effects","R","Reference",1.00037656905189
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","A","Balled-and-burlapped",1.0012251033895
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","B","Bareroot",1.0008810966363
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","C","Seedling",1.00037149513794
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","D","Acorn",1.00138653708826
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","E","Seedbank",1.00130244688712
"temperature","Temperature (C)","strip.plot.random","Strip and plot random effects","R","Reference",1.00052329860988
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","A","Balled-and-burlapped",1.00031376337013
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","B","Bareroot",1.0001545563377
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","C","Seedling",1.00017803807888
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","D","Acorn",1.00042636682965
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","E","Seedbank",1.00007889531816
"gravimetric.moisture","Gravitational moisture (%)","simple","Fixed effects only","R","Reference",1.00043621204109
"gravimetric.moisture","Gravitational moisture (%)","plot.random","Plot random effects","A","Balled-and-burlapped",1.00068474449023
"gravimetric.moisture","Gravitational moisture (%)","plot.random","Plot random effects","B","Bareroot",1.00033549533641
"gravimetric.moisture","Gravitational moisture (%)","plot.random","Plot random effects","C","Seedling",1.00129491823024
"gravimetric.moisture","Gravitational moisture (%)","plot.random","Plot random effects","D","Acorn",1.00052856935333
