Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes
1-Jan,Full,R1 Q1,13.62,113.95,100.33,6/28/2023,,,,
1-Feb,>4.75 mm,R1 Q1,13.56,18.43,4.87,6/28/2023,6/28/2023,6/29/2023,6/30/2023,
1-Mar,>2 mm,R1 Q1,13.42,33.64,20.22,6/28/2023,6/28/2023,7/4/2023 9:00,7/5/2023 9:00,
1-Apr,>250 um,R1 Q1,13.33,63.23,49.9,6/28/2023,6/28/2023,7/4/2023 9:00,7/5/2023 11:30,
1-May,>53 um,R1 Q1,13.52,20.46,6.94,6/28/2023,6/28/2023,6/29/2023,6/30/2023,
1-Jun,Full,R1 Q2,13.43,113.45,100.02,6/28/2023,,,,
1-Jul,>4.75 mm,R1 Q2,13.3,23.49,10.19,6/28/2023,6/28/2023,6/29/2023,6/30/2023,
1-Aug,>2 mm,R1 Q2,13.36,40.39,27.03,6/28/2023,6/28/2023,7/4/2023 9:00,7/5/2023 9:00,
1-Sep,>250 um,R1 Q2,13.35,52.92,39.57,6/28/2023,6/28/2023,7/4/2023 9:00,7/5/2023 11:30,
1-Oct,>53 um,R1 Q2,13.33,18.19,4.86,6/28/2023,6/28/2023,6/29/2023,6/30/2023,
1-Nov,Full,R2 Q1,13.26,113.27,100.01,6/28/2023,,,,
1-Dec,>4.75 mm,R2 Q1,13.26,17,3.74,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
13-1,>2 mm,R2 Q1,13.31,33.35,20.04,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 9:00,
14-1,>250 um,R2 Q1,13.35,59.95,46.6,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 11:30,
15-1,>53 um,R2 Q1,13.42,25.48,12.06,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
16-1,Full,R2 Q2,13.34,113.41,100.07,6/28/2023,,,,
17-1,>4.75 mm,R2 Q2,13.33,18.13,4.8,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
18-1,>2 mm,R2 Q2,13.39,32.44,19.05,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 9:00,
19-1,>250 um,R2 Q2,13.29,66.3,53.01,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 11:30,
20-1,>53 um,R2 Q2,13.29,22.52,9.23,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
21-1,Full,R2 Q5,13.28,113.48,100.2,6/28/2023,,,,
22-1,>4.75 mm,R2 Q5,16.26,21.97,5.71,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
23-1,>2 mm,R2 Q5,13.31,36.89,23.58,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 9:00,
24-1,>250 um,R2 Q5,13.24,57.09,43.85,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 11:30,
25-1,>53 um,R2 Q5,13.38,18.41,5.03,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
26-1,Full,R3 Q2,16.25,116.29,100.04,6/28/2023,,,,
27-1,>4.75 mm,R3 Q2,13.32,17.26,3.94,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
28-1,>2 mm,R3 Q2,13.35,35.52,22.17,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 9:00,
29-1,>250 um,R3 Q2,16.16,65.11,48.95,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 11:30,
30-1,>53 um,R3 Q2,13.32,20.39,7.07,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
31-1,Full,R1 Q5,16.17,116.6,100.43,6/28/2023,,,,
32-1,>4.75 mm,R1 Q5,16.22,20.23,4.01,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
33-1,>2 mm,R1 Q5,16.23,40.13,23.9,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 9:00,
34-1,>250 um,R1 Q5,16.15,64.98,48.83,6/28/2023,6/30/2023 17:00,7/4/2023 9:00,7/5/2023 11:30,
35-1,>53 um,R1 Q5,16.36,23.05,6.69,6/28/2023,6/30/2023 17:00,7/1/2023,7/2/2023,
36-1,Full,E3 Q2,16.01,116.03,100.02,6/29/2023,,,,
37-1,>4.75 mm,E3 Q2,15.97,26.19,10.22,6/29/2023,7/3/2023 11:00,7/4/2023 9:00,7/5/2023 9:00,
38-1,>2 mm,E3 Q2,16.07,34.26,18.19,6/29/2023,7/3/2023 11:00,7/7/2023 11:00,7/10/2023 11:00,
39-1,>250 um,E3 Q2,16.29,58.04,41.75,6/29/2023,7/3/2023 11:00,7/6/2023 10:00,7/7/2023 16:00,
40-1,>53 um,E3 Q2,16.36,25.71,9.35,6/29/2023,7/3/2023 11:00,7/4/2023 9:00,7/5/2023 9:00,
41-1,Full,E3 Q3,16.33,116.87,100.54,6/29/2023,,,,
42-1,>4.75 mm,E3 Q3,16.47,28.01,11.54,6/29/2023,7/3/2023 14:00,7/4/2023 9:00,7/5/2023 9:00,
43-1,>2 mm,E3 Q3,16.07,37.48,21.41,6/29/2023,7/3/2023 14:00,7/7/2023 11:00,7/10/2023 11:00,
44-1,>250 um,E3 Q3,16.15,56.74,40.59,6/29/2023,7/3/2023 14:00,7/4/2023 9:00,7/5/2023 11:30,
45-1,>53 um,E3 Q3,13.29,20.65,7.36,6/29/2023,7/3/2023 14:00,7/4/2023 9:00,7/5/2023 9:00,
46-1,Full,E3 Q5,16.08,116.15,100.07,6/30/2023,,,,
47-1,>4.75 mm,E3 Q5,16.2,22.65,6.45,6/30/2023,7/5/2023 11:55,7/6/2023 10:00,7/7/2023 11:00,
48-1,>2 mm,E3 Q5,16.16,35.57,19.41,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
49-1,>250 um,E3 Q5,13.24,60.51,47.27,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
50-1,>53 um,E3 Q5,13.23,20.42,7.19,6/30/2023,7/5/2023 11:55,7/6/2023 10:00,7/7/2023 11:00,
51-1,fPOM,E3 Q3,13.53,13.73,0.2,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
52-1,fPOM,E3 Q5,13.54,13.58,0.04,6/30/2023,7/5/2023 11:55,7/6/2023 10:00,7/7/2023 11:00,
53-1,Full,D2 Q5,15.77,116.13,100.36,6/30/2023,,,,
54-1,>4.75 mm,D2 Q5,13.62,21.54,7.92,6/30/2023,7/5/2023 11:55,7/6/2023 16:15,7/7/2023 16:15,
55-1,>2 mm,D2 Q5,13.44,32.94,19.5,6/30/2023,7/5/2023 11:55,7/11/2023 12:30,7/12/2023 12:40,
56-1,>250 um,D2 Q5,15.87,62.93,47.06,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
57-1,>53 um,D2 Q5,13.56,19.84,6.28,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
58-1,fPOM,D2 Q5,13.53,13.58,0.05,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
59-1,Full,E2 Q4,13.63,114.18,100.55,6/30/2023,,,,
60-1,>4.75 mm,E2 Q4,13.61,22.27,8.66,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
61-1,>2 mm,E2 Q4,13.55,36.34,22.79,6/30/2023,7/5/2023 11:55,7/12/2023 12:30,7/13/2023 13:00,
62-1,>250 um,E2 Q4,13.53,59.22,45.69,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
63-1,>53 um,E2 Q4,13.56,18.86,5.3,6/30/2023,7/5/2023 11:55,7/6/2023 16:15,7/7/2023 16:15,
64-1,fPOM,E2 Q4,13.55,13.64,0.09,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
65-1,Full,B3 Q5,13.62,113.8,100.18,6/30/2023,,,,
66-1,fPOM,B3 Q5,13.24,13.65,0.41,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
67-1,>4.75 mm,B3 Q5,13.59,23.44,9.85,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
68-1,>2 mm,B3 Q5,13.51,35.14,21.63,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
69-1,>250 um,B3 Q5,13.47,57.93,44.46,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
70-1,>53 um,B3 Q5,13.37,20.14,6.77,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
71-1,Full,C3 Q3,13.53,113.6,100.07,6/30/2023,,,,
