Treatment_Plot_Quadrat,Rep,Dry POM mass (g),POM-N (%),POM-C (%)
A1 Q1,A,1.21,0.23,3.19
A1 Q2,A,0.94,0.37,4.76
A1 Q3,A,0.66,0.52,6.58
A1 Q4,A,0.75,0.54,7.68
A1 Q5,A,1.93,0.23,2.86
A2 Q1,A,0.79,0.2,2.97
A2 Q2,A,2.95,0.24,2.64
A2 Q3,A,0.8,0.44,5.31
A2 Q4,A,0.77,0.52,6.07
A2 Q5,A,0.91,0.61,6.97
A3 Q1,A,0.62,0.57,7.03
A3 Q2,A,0.25,0.95,13
A3 Q3,A,0.32,0.8,11.88
A3 Q4,A,0.71,0.54,7.72
A3 Q5,A,0.81,0.57,7.67
B1 Q1,A,0.87,0.51,7.04
B1 Q2,A,1.34,0.37,5.27
B1 Q3,A,0.97,0.57,8.07
B1 Q4,A,0.98,0.54,7.11
B1 Q5,A,0.63,0.73,9.63
B2 Q1,A,0.64,0.32,5.39
B2 Q2,A,0.7,0.64,9.45
B2 Q3,A,0.55,0.77,10.94
B2 Q4,A,0.65,0.74,10.96
B2 Q5,A,0.5,0.78,12.2
B3 Q1,A,0.71,0.38,6.82
B3 Q2,A,1.22,0.33,5.42
B3 Q3,A,0.52,0.74,12.13
B3 Q4,A,0.63,0.55,8.53
B3 Q5,A,0.29,0.87,16.09
C1 Q1,A,1.18,0.51,9.69
C1 Q2,A,1.28,0.35,6.35
C1 Q3,A,0.93,0.43,6.89
C1 Q4,A,0.43,0.53,8.06
C1 Q5,A,0.36,0.54,8.21
C2 Q1,A,0.43,0.44,6.34
C2 Q2,A,0.66,0.41,6.67
C2 Q3,A,0.47,0.27,6.46
C2 Q4,A,0.81,0.27,6.15
C2 Q5,A,0.45,0.32,6.93
C3 Q1,A,0.98,0.26,6.13
C3 Q2,A,0.61,0.19,5.42
C3 Q3,A,0.46,0.25,6.05
C3 Q4,A,0.45,0.32,7.26
C3 Q5,A,0.53,0.24,6.58
D1 Q1,A,0.51,0.68,11.48
D1 Q2,A,0.26,0.67,10.64
D1 Q3,A,0.69,0.62,8.82
D1 Q4,A,0.46,0.74,10.23
D1 Q5,A,0.49,0.77,10.05
D2 Q1,A,1.8,0.24,4.25
D2 Q2,A,1.92,0.17,3.15
D2 Q3,A,2.44,0.23,3.56
D2 Q4,A,0.63,0.48,7.22
D2 Q5,A,2.64,0.3,3.14
D3 Q1,A,0.53,0.95,11.06
D3 Q2,A,0.67,1.02,18.19
D3 Q3,A,1.95,0.46,7.11
D3 Q4,A,1.91,0.4,4.58
D3 Q5,A,1.69,0.35,3.86
E1 Q1,A,0.48,1.01,13.3
E1 Q2,A,1.76,0.46,6.35
E1 Q3,A,0.28,0.76,8.93
E1 Q4,A,1.91,0.42,5.81
E1 Q5,A,0.6,0.73,7.87
E2 Q1,A,2.22,0.39,5.23
E2 Q2,A,1.61,0.4,4.59
E2 Q3,A,1.67,0.46,4.93
E2 Q4,A,2.06,0.35,3.84
E2 Q5,A,0.35,1.04,11.28
E3 Q1,A,2.57,0.38,5
E3 Q2,A,0.53,0.66,8.78
E3 Q3,A,0.91,0.61,7.02
E3 Q4,A,0.4,1,11.79
E3 Q5,A,0.25,1.07,13.03
R1 Q1,A,0.7,0.63,8.41
R1 Q2,A,0.75,0.62,8.24
R1 Q3,A,0.83,0.77,11.18
R1 Q4,A,0.62,0.75,9.91
R1 Q5,A,2.32,0.37,4.58
R2 Q1,A,2.17,0.3,3.43
R2 Q2,A,0.64,0.74,8.97
R2 Q3,A,2.5,0.33,4.16
R2 Q4,A,2.57,0.38,4.59
R2 Q5,A,0.83,0.76,10.39
R3 Q1,A,0.67,0.6,8.39
R3 Q2,A,1.68,0.48,6.64
R3 Q3,A,1.7,0.48,6.64
R3 Q4,A,1.54,0.44,6.34
R3 Q5,A,0.66,0.62,8.69
A1 Q1,B,0.9,0.35,4.35
A1 Q2,B,0.8,0.35,4.15
A1 Q3,B,0.66,0.44,5.78
A1 Q4,B,0.68,0.53,7.91
A1 Q5,B,0.66,0.52,7.7
A2 Q1,B,1.27,0.35,5.97
A2 Q2,B,0.91,0.4,5.09
A2 Q3,B,0.77,0.39,5.01
A2 Q4,B,0.82,0.55,7.27
A2 Q5,B,0.68,0.65,7.29
A3 Q1,B,0.59,0.64,9.08
A3 Q2,B,0.6,0.66,7.42
A3 Q3,B,2.38,0.37,5.47
A3 Q4,B,0.6,0.5,6.2
A3 Q5,B,0.65,0.66,8.6
B1 Q1,B,1,0.58,7.54
B1 Q2,B,0.93,0.53,7.1
B1 Q3,B,1.04,0.57,6.96
B1 Q4,B,0.7,0.71,10.34
B1 Q5,B,0.54,0.78,9.04
B2 Q1,B,0.76,0.52,8.39
B2 Q2,B,0.58,0.7,9.43
B2 Q3,B,0.63,0.69,10.44
B2 Q4,B,0.61,0.8,12.32
B2 Q5,B,0.52,0.8,11.03
B3 Q1,B,0.83,0.46,8.24
B3 Q2,B,0.91,0.55,8.92
B3 Q3,B,0.69,0.52,6
B3 Q4,B,0.45,0.79,13.19
B3 Q5,B,0.56,0.8,13.67
C1 Q1,B,1.17,0.59,10.09
C1 Q2,B,0.95,0.42,7.67
C1 Q3,B,0.78,0.57,9.2
C1 Q4,B,0.47,0.62,7.6
C1 Q5,B,0.38,0.76,11.07
C2 Q1,B,0.98,0.45,6.53
C2 Q2,B,0.57,0.62,7.6
C2 Q3,B,0.31,0.54,8.14
C2 Q4,B,0.61,0.51,7.96
C2 Q5,B,0.38,0.57,8.33
C3 Q1,B,0.73,0.49,7.63
C3 Q2,B,0.62,0.37,5.86
C3 Q3,B,0.32,0.41,6.95
C3 Q4,B,0.56,0.42,6.37
C3 Q5,B,0.67,0.33,5.11
D1 Q1,B,0.57,0.75,15.1
D1 Q2,B,0.52,0.64,8.84
D1 Q3,B,0.49,0.9,11.19
D1 Q4,B,0.48,0.87,12.51
D1 Q5,B,0.36,0.89,11.43
D2 Q1,B,2.05,0.24,5.03
D2 Q2,B,1.27,0.27,5.05
D2 Q3,B,0.6,0.64,10.98
D2 Q4,B,0.7,0.48,7.85
D2 Q5,B,0.45,0.71,10.79
D3 Q1,B,0.44,1.04,14.38
D3 Q2,B,0.39,0.79,11.6
D3 Q3,B,0.39,0.51,5.64
D3 Q4,B,0.06,0.77,9.48
D3 Q5,B,0.33,0.98,14.69
E1 Q1,B,0.789,0.83,11.63
E1 Q2,B,0.602,0.89,14.81
E1 Q3,B,0.444,0.86,13.82
E1 Q4,B,0.364,0.9,10.6
E1 Q5,B,0.84,0.96,17.24
E2 Q1,B,0.416,0.84,14.36
E2 Q2,B,0.423,0.79,12.37
E2 Q3,B,0.446,0.79,11.1
E2 Q4,B,0.845,0.46,8.21
E2 Q5,B,0.391,0.75,9.32
E3 Q1,B,0.506,0.47,8.84
E3 Q2,B,0.538,0.59,6.85
E3 Q3,B,0.572,0.51,6.1
E3 Q4,B,0.541,0.51,5.96
E3 Q5,B,0.4,0.49,5.42
R1 Q1,B,0.831,0.3,5.66
R1 Q2,B,0.882,0.29,5.53
R1 Q3,B,0.867,0.33,6.1
R1 Q4,B,0.606,0.27,4.92
R1 Q5,B,0.461,0.38,6.42
R2 Q1,B,0.293,0.43,6.73
R2 Q2,B,0.597,0.32,5.47
R2 Q3,B,0.463,0.3,5.49
R2 Q4,B,0.496,0.4,6.59
R2 Q5,B,0.578,0.33,5.91
R3 Q1,B,0.678,0.29,5.03
R3 Q2,B,0.633,0.28,5.22
R3 Q3,B,0.543,0.34,6.48
R3 Q4,B,0.464,0.26,5.18
R3 Q5,B,0.56,0.24,4.35
