Treatment,Plot,Quadrat,Veg_Height_Meters,Elevation_Meters
R,1,1,18.7757168,175.5171509
R,1,2,25.8501377,175.4996033
R,1,3,28.7579365,175.2151337
R,1,4,29.6692886,175.3106232
R,1,5,0.1310643,175.0916901
R,2,1,17.8582668,175.3502502
R,2,2,23.4300232,175.1826172
R,2,3,23.3690605,175.0977936
R,2,4,5.1968498,174.9916534
R,2,5,23.4056377,175.1557007
R,3,1,21.8694439,175.2603455
R,3,2,0.1920244,175.0420990
R,3,3,22.2138672,174.9616394
R,3,4,23.1404610,174.9707794
R,3,5,25.7526016,174.9220276
E,1,1,0.1097282,175.8072968
E,1,2,0.0396241,175.7715759
E,1,3,0.0914402,175.7498627
E,1,4,15.2369823,175.5768585
E,1,5,0.0914402,175.4102020
A,1,1,6.9189739,175.7818604
A,1,2,0.0640081,175.7210999
A,1,3,0.0914402,175.6454010
A,1,4,17.3370590,175.5827637
A,1,5,15.9898396,175.3761749
C,1,1,4.1605282,175.6108704
C,1,2,25.6367779,175.7693634
C,1,3,0.0822962,175.7114410
C,1,4,7.7998476,175.6139069
C,1,5,6.4922523,175.4838715
B,1,1,0.0396241,175.3935394
B,1,2,0.0609601,175.6030731
B,1,3,14.6395721,175.6321869
B,1,4,2.9535177,175.6535339
B,1,5,3.8618236,175.6424866
E,2,1,6.9006853,175.5418549
E,2,2,0.0792482,175.4005585
E,2,3,0.0304801,175.3626251
E,2,4,0.0487681,175.3543243
E,2,5,0.0396241,175.3927612
A,2,1,4.9743457,175.7289734
A,2,2,7.2786379,175.4651642
A,2,3,8.4673605,175.4935150
A,2,4,0.0335281,175.3243561
A,2,5,0.0792482,175.4242554
A,3,1,15.5204458,175.6195068
A,3,2,17.5869942,175.5453339
A,3,3,20.6685276,175.4253235
A,3,4,13.3594112,175.3357849
A,3,5,16.7762260,175.1793671
D,1,1,0.0762001,175.5037537
D,1,2,7.4310384,175.5583801
D,1,3,8.1473198,175.5636139
D,1,4,0.0274321,175.6754761
D,1,5,9.1988821,175.6527710
C,2,1,20.5587997,175.6565857
C,2,2,17.6296673,175.6082458
C,2,3,20.8910332,175.4862366
C,2,4,17.0688343,175.4105682
C,2,5,21.7505703,175.5522766
B,2,1,4.7487931,175.6111298
B,2,2,17.6845303,175.6921539
B,2,3,21.3970013,175.5383148
B,2,4,15.5509272,175.5272675
B,2,5,19.9156704,175.3078003
B,3,1,16.6543045,175.7423553
B,3,2,0.0701041,175.8040314
B,3,3,19.9796810,175.6375275
B,3,4,19.1658611,175.4350891
B,3,5,19.3487415,175.3430786
D,2,1,0.0030480,175.5325012
D,2,2,0.0579121,175.4164124
D,2,3,0.0396241,175.4196167
D,2,4,18.0594349,175.4865112
D,2,5,18.7421894,175.7368622
D,3,1,0.0609601,175.5046997
D,3,2,7.6596389,175.2051697
D,3,3,10.5034285,175.0694733
D,3,4,0.0822962,175.0960541
D,3,5,2.9504700,175.2761993
C,3,1,19.6230621,175.6034698
C,3,2,20.6197605,175.6756287
C,3,3,16.7853699,175.6215363
C,3,4,0.2316485,175.4424591
C,3,5,17.8003559,175.3978424
E,3,1,12.4389133,175.5911865
E,3,2,9.4335785,175.3436584
E,3,3,0.0579121,175.1772766
E,3,4,0.0640081,175.1151886
E,3,5,0.0304801,175.2695007
