Treatment,Plot,Quadrat,Trt_Plot_Quad,Elevation_Mean,VegHt_Mean,Shape_Length,Shape_Area
R,1,Q1,R-1-Q1,175.490150451660156,19.460375070571896,4.000000683477396,1.000000338785890
R,1,Q2,R-1-Q2,175.499603271484375,26.880365371704102,4.000000683477396,1.000000338785890
R,1,Q3,R-1-Q3,175.271172523498535,19.858330309391022,4.000000683477396,1.000000338785890
R,1,Q4,R-1-Q4,175.275703938802081,28.472440719604492,4.000000683477396,1.000000338785890
R,1,Q5,R-1-Q5,175.225819587707548,30.751332163810730,4.000000683477396,1.000000338785890
R,2,Q1,R-2-Q1,175.385079383850098,10.917766681173816,4.000000683477396,1.000000338785890
R,2,Q2,R-2-Q2,175.255390167236328,20.650239944458004,4.000000683477396,1.000000338785890
R,2,Q3,R-2-Q3,175.082763671875000,24.601979494094849,4.000000685062819,1.000000339578539
R,2,Q4,R-2-Q4,174.977195739746122,4.118618160486222,4.000000689818449,1.000000341956857
R,2,Q5,R-2-Q5,175.055171966552734,18.393191814422604,4.000000683477396,1.000000338785890
R,3,Q1,R-3-Q1,175.056674957275391,16.451993465423580,4.000035903806724,1.000017944027733
R,3,Q2,R-3-Q2,175.061576843261747,9.848107472062109,4.000035899670209,1.000017941959732
R,3,Q3,R-3-Q3,174.993537902832031,19.892810583114624,4.000035908068607,1.000017946159251
R,3,Q4,R-3-Q4,175.005856323242227,23.776681772867839,4.000035908068607,1.000017946159251
R,3,Q5,R-3-Q5,174.963584391276072,26.538378906249999,4.000035908068607,1.000017946159251
A,1,Q1,A-1-Q1,175.788766479492182,0.077419353276491,3.999998650903539,0.999999317508974
A,1,Q2,A-1-Q2,175.735300064086914,14.201612591743471,3.999998650903539,0.999999317508974
A,1,Q3,A-1-Q3,175.670124053955107,0.070866138674319,3.999998661486202,0.999999322799817
A,1,Q4,A-1-Q4,175.605636596679688,15.919735431671143,3.999998659369815,0.999999321741648
A,1,Q5,A-1-Q5,175.360939025878906,18.149733066558838,3.999998659369815,0.999999321741648
A,2,Q1,A-2-Q1,175.808555154239457,1.080428496003151,4.000058653531545,1.000029312259647
A,2,Q2,A-2-Q2,175.468885421752930,4.116713196039199,4.000058645488289,1.000029308238009
A,2,Q3,A-2-Q3,175.491005392635572,9.317574725431555,4.000058646621466,1.000029308804440
A,2,Q4,A-2-Q4,175.323975626627600,0.060350518425306,4.000058648999265,1.000029309993553
A,2,Q5,A-2-Q5,175.415852546691895,0.919545339187607,4.000058646621093,1.000029308804440
A,3,Q1,A-3-Q1,175.572975607479322,8.871669600991643,3.999915633774573,0.999957802612495
A,3,Q2,A-3-Q2,175.523732802447142,3.247202220208504,3.999915628773722,0.999957800112826
A,3,Q3,A-3-Q3,175.433822631835938,16.150240033864975,3.999915624254689,0.999957797853437
A,3,Q4,A-3-Q4,175.313169479370146,18.385381937026978,3.999915637283812,0.999957804367107
A,3,Q5,A-3-Q5,175.195111274719238,20.746061921119690,3.999915629903586,0.999957800677580
B,1,Q1,B-1-Q1,175.412113189697237,7.938531637191773,3.999811432388115,0.999905703468437
B,1,Q2,B-1-Q2,175.571899414062500,0.039624076336622,3.999811419762206,0.999905697155840
B,1,Q3,B-1-Q3,175.644790649414062,13.914147853851320,3.999811426041913,0.999905700296260
B,1,Q4,B-1-Q4,175.638141886393214,2.624739487469196,3.999811423926792,0.999905699238743
B,1,Q5,B-1-Q5,175.610898844401049,0.059740918874741,3.999811423926792,0.999905699238743
B,2,Q1,B-2-Q1,175.607051849365234,9.324421793222427,3.999908618770902,0.999954272551100
B,2,Q2,B-2-Q2,175.628741096047804,16.717237360337204,3.999908618770902,0.999954272551100
B,2,Q3,B-2-Q3,175.544683456420870,21.677417993545532,3.999908618770902,0.999954272551100
B,2,Q4,B-2-Q4,175.480694041532615,20.215092154110181,3.999908618770902,0.999954272551100
B,2,Q5,B-2-Q5,175.357019424438505,20.050735712051395,3.999908618770902,0.999954272551100
B,3,Q1,B-3-Q1,175.691238403320312,18.839929199218748,3.999950677455880,0.999975302199129
B,3,Q2,B-3-Q2,175.774450302124052,18.676656484603878,3.999950678586162,0.999975302764348
B,3,Q3,B-3-Q3,175.603050231933594,17.809117436408997,3.999950688104004,0.999975307522289
B,3,Q4,B-3-Q4,175.466870476217821,14.318456875927309,3.999950686973163,0.999975306957069
B,3,Q5,B-3-Q5,175.341169230143237,19.450748189290366,3.999950686973163,0.999975306957069
C,1,Q1,C-1-Q1,175.607429504394531,1.591059125494212,3.999938274715398,0.999969119375222
C,1,Q2,C-1-Q2,175.756565093994112,25.444372892379764,3.999938281597996,0.999969122816366
