Date,Treatment,Plot,Quadrat,Temp (C),BD15 Starting Depth,,
6/13/2023,A,1,Q1,16,15,,
6/13/2023,A,1,Q2,16.6,15,,
6/13/2023,A,1,Q3,16.3,15,,
6/13/2023,A,1,Q4,15.6,15,,`
6/13/2023,A,1,Q5,16,15,,
6/13/2023,A,2,Q1,17.7,15,,
6/13/2023,A,2,Q2,16.6,15,,
6/13/2023,A,2,Q3,15.9,15,,
6/13/2023,A,2,Q4,17.5,17,,
6/13/2023,A,2,Q5,17.4,17,,
6/13/2023,A,3,Q1,16.2,15,,
6/13/2023,A,3,Q2,16.4,15,,
6/13/2023,A,3,Q3,16,15,,
6/13/2023,A,3,Q4,16.1,15,,
6/13/2023,A,3,Q5,16.1,15,,
6/13/2023,B,1,Q1,16.2,15,,
6/13/2023,B,1,Q2,16.3,15,,
6/13/2023,B,1,Q3,16.1,15,,
6/13/2023,B,1,Q4,15.5,15,,
6/13/2023,B,1,Q5,16.2,15,,
6/14/2023,B,2,Q1,16.3,15,,
6/14/2023,B,2,Q2,16.2,15,,
6/14/2023,B,2,Q3,16.9,15,,
6/14/2023,B,2,Q4,16.7,15,,
6/14/2023,B,2,Q5,16.4,15,,
6/14/2023,B,3,Q1,16.2,15,,
6/14/2023,B,3,Q2,16.4,15,,
6/14/2023,B,3,Q3,16.7,15,,
6/14/2023,B,3,Q4,17,15,,
6/14/2023,B,3,Q5,16.9,15,,
6/12/2023,C,1,Q1,16.4,16,,
6/12/2023,C,1,Q2,14.4,15,,
6/12/2023,C,1,Q3,16.1,15,,
6/12/2023,C,1,Q4,16.3,15,,
6/12/2023,C,1,Q5,16,15,,
6/14/2023,C,2,Q1,16.2,15,,
6/14/2023,C,2,Q2,16.4,15,,
6/14/2023,C,2,Q3,16.6,15,,
6/14/2023,C,2,Q4,17.2,15,,
6/14/2023,C,2,Q5,16.2,15,,
6/13/2023,C,3,Q1,15.6,15,,
6/13/2023,C,3,Q2,16.2,15,,
6/13/2023,C,3,Q3,16,15,,
6/13/2023,C,3,Q4,16.1,15,,
6/13/2023,C,3,Q5,16.2,15,,
6/14/2023,D,1,Q1,16.3,15,,
6/14/2023,D,1,Q2,17,15,,
6/14/2023,D,1,Q3,16.4,15,,
6/14/2023,D,1,Q4,16.8,15,,
6/14/2023,D,1,Q5,17.1,15,,
6/14/2023,D,2,Q1,17.3,15,,
6/14/2023,D,2,Q2,17.2,15,,
6/14/2023,D,2,Q3,18.1,15,,
6/14/2023,D,2,Q4,16.9,15,,
6/14/2023,D,2,Q5,16.8,15,,
6/13/2023,D,3,Q1,16.5,15,,
6/13/2023,D,3,Q2,16.8,15,,
6/13/2023,D,3,Q3,20.5,15,,
6/13/2023,D,3,Q4,18.8,15,,
6/13/2023,D,3,Q5,18.4,15,,
6/12/2023,E,1,Q1,15.2,16,,
6/12/2023,E,1,Q2,17.7,15,,
6/12/2023,E,1,Q3,16.8,15,,
6/12/2023,E,1,Q4,16.2,15,,
6/12/2023,E,1,Q5,16.6,15,,
6/13/2023,E,2,Q1,16,15,,
6/13/2023,E,2,Q2,16.4,15,,
6/13/2023,E,2,Q3,17.5,15,,
6/13/2023,E,2,Q4,17.4,15,,
6/13/2023,E,2,Q5,18.5,15,,
6/13/2023,E,3,Q1,16.3,15,,
6/13/2023,E,3,Q2,16.6,15,,
6/13/2023,E,3,Q3,18.6,15,,
6/13/2023,E,3,Q4,18,15,,
6/13/2023,E,3,Q5,17.9,15,,
6/12/2023,R,1,Q1,16.1,15,,
6/12/2023,R,1,Q2,15.8,15,,
6/12/2023,R,1,Q3,15.2,15,,
6/12/2023,R,1,Q4,16.1,15,,
6/12/2023,R,1,Q5,16.3,16,,
6/12/2023,R,2,Q1,16.6,15,,
6/12/2023,R,2,Q2,17.1,15,,
6/12/2023,R,2,Q3,16.4,17,,
6/12/2023,R,2,Q4,16.2,16,,
6/12/2023,R,2,Q5,15.7,15,,
6/12/2023,R,3,Q1,18.1,15,,
6/12/2023,R,3,Q2,19.7,15,,
6/12/2023,R,3,Q3,18.3,15,,
6/12/2023,R,3,Q4,17.2,15,,
6/12/2023,R,3,Q5,17,15,,
