Treatment_Plot_Quadrat,Bulk TN (%),Bulk TC (%),Bulk CN Ratio,TON (%),TOC (%)
A1 Q1,0.26,3.78,14.54,0.29,2.89
A1 Q2,0.28,3.93,14.04,0.32,3.06
A1 Q3,0.29,3.93,13.55,0.33,3.23
A1 Q4,0.28,3.92,14,0.34,3.3
A1 Q5,0.3,3.98,13.27,0.33,3.27
A2 Q1,0.3,4.15,13.83,0.33,3.14
A2 Q2,0.3,4.18,13.93,0.36,3.31
A2 Q3,0.26,4.06,15.62,0.32,3
A2 Q4,0.25,3.99,15.96,0.31,3.09
A2 Q5,0.32,4.26,13.31,0.36,3.77
A3 Q1,0.27,3.99,14.78,0.09,2.93
A3 Q2,0.28,4,14.29,0.37,3.49
A3 Q3,0.27,3.63,13.44,0.32,3.13
A3 Q4,0.26,3.7,14.23,0.32,3.17
A3 Q5,0.28,3.91,13.96,0.34,3.36
B1 Q1,0.3,4.05,13.5,0.36,3.31
B1 Q2,0.29,4.05,13.97,0.34,3.3
B1 Q3,0.29,4.05,13.97,0.34,3.62
B1 Q4,0.3,4.02,13.4,0.35,3.28
B1 Q5,0.34,4.3,12.65,0.39,3.64
B2 Q1,0.27,3.86,14.3,0.33,3.21
B2 Q2,0.33,4.23,12.82,0.39,3.82
B2 Q3,0.33,4.08,12.36,0.35,3.5
B2 Q4,0.29,4.08,14.07,0.37,3.61
B2 Q5,0.28,4.18,14.93,0.34,3.46
B3 Q1,0.27,3.97,14.7,0.33,3.11
B3 Q2,0.29,4.13,14.24,0.35,3.43
B3 Q3,0.31,4.24,13.68,0.36,3.51
B3 Q4,0.26,3.83,14.73,0.32,3.25
B3 Q5,0.28,4.23,15.11,0.37,3.65
C1 Q1,0.35,4.8,13.71,0.1,3.25
C1 Q2,0.26,4.53,17.42,0.36,3.68
C1 Q3,0.25,4.4,17.6,0.37,3.57
C1 Q4,0.24,4.17,17.38,0.34,3.44
C1 Q5,0.24,4.25,17.71,0.35,3.53
C2 Q1,0.22,4.27,19.41,0.38,3.75
C2 Q2,0.23,4.37,19,0.37,3.78
C2 Q3,0.18,3.51,19.5,0.33,2.87
C2 Q4,0.19,3.94,20.74,0.33,3.33
C2 Q5,0.17,3.63,21.35,0.32,3.21
C3 Q1,0.32,4.45,13.91,0.1,3.17
C3 Q2,0.27,3.74,13.85,0.34,3.56
C3 Q3,0.27,3.76,13.93,0.31,3.32
C3 Q4,0.3,4.12,13.73,0.37,3.88
C3 Q5,0.29,4.05,13.97,0.34,3.65
D1 Q1,0.28,4.33,15.46,1.08,8.11
D1 Q2,0.27,3.94,14.59,0.37,3.82
D1 Q3,0.29,4.14,14.28,0.4,4.08
D1 Q4,0.29,4.06,14,0.41,4.07
D1 Q5,0.29,4.08,14.07,0.41,4.05
D2 Q1,0.23,3.95,17.17,0.35,3.44
D2 Q2,0.22,3.72,16.91,0.29,3.03
D2 Q3,0.26,4.21,16.19,0.09,3.28
D2 Q4,0.26,3.97,15.27,0.35,4.02
D2 Q5,0.28,4.07,14.54,0.37,4.14
D3 Q1,0.31,4.23,13.65,0.47,4.38
D3 Q2,0.35,4.94,14.11,0.46,5.31
D3 Q3,0.31,4.19,13.52,0.42,4.27
D3 Q4,0.3,4,13.33,0.41,4.13
D3 Q5,0.3,4.02,13.4,0.41,4.08
E1 Q1,0.32,4.53,14.16,0.45,4.57
E1 Q2,0.3,4.31,14.37,0.48,4.42
E1 Q3,0.29,4.36,15.03,0.45,4.51
E1 Q4,0.27,4.31,15.96,0.45,4.4
E1 Q5,0.31,5.37,17.32,0.51,5.45
E2 Q1,0.25,4.18,16.72,0.56,5.55
E2 Q2,0.25,4.27,17.08,0.43,4.46
E2 Q3,0.23,4.1,17.83,0.41,4.25
E2 Q4,0.22,4,18.18,0.42,4.27
E2 Q5,0.21,3.89,18.52,0.41,4.14
E3 Q1,0.2,3.9,19.5,0.38,3.92
E3 Q2,0.19,3.95,20.79,0.4,4.15
E3 Q3,0.19,3.91,20.58,0.4,4.01
E3 Q4,0.19,3.9,20.53,0.45,4.16
E3 Q5,0.18,3.63,20.17,0.39,3.95
R1 Q1,0.17,3.98,23.41,0.4,4.13
R1 Q2,0.17,3.89,22.88,0.43,4.43
R1 Q3,0.17,4.11,24.18,0.45,4.95
R1 Q4,0.16,3.69,23.06,0.45,4.52
R1 Q5,0.17,3.71,21.82,0.45,4.87
R2 Q1,0.15,3.34,22.27,0.42,4.29
R2 Q2,0.15,3.49,23.27,0.43,4.44
R2 Q3,0.14,3.4,24.29,0.39,4.11
R2 Q4,0.15,3.54,23.6,0.43,4.65
R2 Q5,0.15,3.38,22.53,0.44,5
R3 Q1,0.13,3.19,24.54,0.39,4.02
R3 Q2,0.14,3.21,22.93,0.42,4.78
R3 Q3,0.15,3.16,21.07,0.44,4.94
R3 Q4,0.14,2.87,20.5,0.4,4.48
R3 Q5,0.15,3.12,20.8,0.43,4.85
