Number,Treatment_Plot,Quadrat,Sand,Silt,Clay,Textural Classification,pH,P (ppm),K (ppm),Ca (ppm),Mg (ppm),SOM%,N Release,Nitrate (ppm),Ammonium (ppm),CEC (meq/100g),K %sat,Ca %sat,Mg %sat,H %sat,K meq,Ca meq,Mg meq,H meq,Note
1,E2,Q2,43,42,15,Loam,7.7,121,76,6672,574,5.7,158,8.1,1,38.3,0.5,87.1,12.5,0,0.2,33.4,4.8,0,
2,E2,Q1,31,48,21,Loam,7.7,125,71,6431,562,5.2,148,7.2,1,37,0.5,86.9,12.7,0,0.2,32.2,4.7,0,
3,D3,Q1,45,38,17,Loam,7.7,117,90,7090,614,5.7,158,9.3,1,40.8,0.6,86.9,12.5,0,0.2,35.5,5.1,0,CEC & saturation may not be accurate
4,D2,Q5,35,48,17,Loam,7.6,113,98,7205,609,6.8,180,17,1.6,41.4,0.6,87,12.3,0,0.3,36,5.1,0,CEC & saturation may not be accurate
5,E1,Q3,49,36,15,Loam,7.6,121,99,7470,692,6.6,176,8,1,43.4,0.6,86.1,13.3,0,0.3,37.4,5.8,0,CEC & saturation may not be accurate
6,R2,Q5,37,44,19,Loam,7.6,98,74,5765,623,6.9,182,11.5,1,34.2,0.6,84.3,15.2,0,0.2,28.8,5.2,0,
7,D3,Q5,47,36,17,Loam,7.8,127,83,7184,644,5.2,148,7.6,1,41.5,0.5,86.6,12.9,0,0.2,35.9,5.4,0,CEC & saturation may not be accurate
8,D3,Q4,39,40,21,Loam,7.8,118,109,6526,560,5.8,160,9.4,1.3,37.6,0.7,86.8,12.4,0,0.3,32.6,4.7,0,
9,R2,Q2,45,40,15,Loam,7.8,83,52,6197,675,5.7,158,9.4,1,36.7,0.4,84.4,15.3,0,0.1,31,5.6,0,
10,R2,Q3,35,50,15,Silt Loam,7.3,74,43,6859,570,6.1,166,8.8,1,39.3,0.3,87.3,12.1,0.3,0.1,34.3,4.8,0.1,
11,E3,Q5,45,36,19,Loam,7.6,118,81,6472,556,5.8,160,6.6,1,37.2,0.6,87,12.5,0,0.2,32.4,4.6,0,
12,D3,Q2,35,42,23,Loam,7.5,124,100,6705,518,5.5,154,15.1,1,38.1,0.7,88,11.3,0,0.3,33.5,4.3,0,
13,R2,Q4,45,40,15,Loam,7.4,68,47,7006,580,6.5,174,11.5,1,40,0.3,87.6,12.1,0,0.1,35,4.8,0,CEC & saturation may not be accurate
14,R3,Q2,41,42,17,Loam,7.5,69,45,7462,594,6.5,174,15.1,1,42.4,0.3,88,11.7,0,0.1,37.3,5,0,CEC & saturation may not be accurate
15,R3,Q3,55,28,17,Sandy Loam,7.3,88,89,5516,774,6.1,166,7.8,1,34.4,0.7,80.2,18.8,0.3,0.2,27.6,6.5,0.1,
16,E1,Q4,43,38,19,Loam,7.5,105,122,6472,578,6.5,174,11.9,1,37.5,0.8,86.3,12.8,0,0.3,32.4,4.8,0,
17,D3,Q3,45,38,17,Loam,7.7,126,85,6671,528,5.5,154,9.4,1,38,0.6,87.8,11.6,0,0.2,33.4,4.4,0,
18,R3,Q5,51,30,19,Loam,7.5,84,126,4994,907,5.9,162,7,1,32.9,1,75.9,23,0,0.3,25,7.6,0,
19,E2,Q5,47,38,15,Loam,7.5,93,63,7717,561,5.8,160,14.5,1,43.4,0.4,88.9,10.8,0,0.2,38.6,4.7,0,CEC & saturation may not be accurate
20,E1,Q5,45,38,17,Loam,7.4,96,71,7406,562,7,184,11,1,41.9,0.4,88.4,11.2,0,0.2,37,4.7,0,CEC & saturation may not be accurate
21,D2,Q1,45,42,13,Loam,7.4,87,55,7561,468,5.2,148,9.5,1,41.8,0.3,90.4,9.3,0,0.1,37.8,3.9,0,CEC & saturation may not be accurate
22,E3,Q3,37,44,19,Loam,7.6,113,75,6669,489,5.9,162,7.9,1,37.6,0.5,88.7,10.8,0,0.2,33.3,4.1,0,
23,R1,Q2,51,36,13,Loam,7.6,75,46,6489,632,6.6,176,11.1,1,37.8,0.3,85.8,13.9,0,0.1,32.4,5.3,0,
24,D1,Q5,39,44,17,Loam,7.4,91,65,6607,533,5,144,8.6,1,37.6,0.4,87.9,11.8,0,0.2,33,4.4,0,
25,D1,Q4,42,39,19,Loam,7.6,129,85,6794,543,5.3,150,15.4,1,38.7,0.6,87.8,11.7,0,0.2,34,4.5,0,
26,D2,Q2,34,53,13,Silt Loam,7.7,85,73,8608,463,4.5,134,16.2,1,47.1,0.4,91.4,8.2,0,0.2,43,3.9,0,CEC & saturation may not be accurate
27,R1,Q1,42,45,13,Loam,7.5,80,58,5889,658,5.4,152,11.4,1,35.1,0.4,83.9,15.6,0,0.1,29.4,5.5,0,
28,E3,Q1,36,49,15,Loam,7.6,102,75,6636,552,5.9,162,10.1,1,38,0.5,87.3,12.1,0,0.2,33.2,4.6,0,
29,D1,Q2,40,43,17,Loam,7.7,110,60,6597,525,5,144,8.4,1,37.5,0.4,88,11.7,0,0.2,33,4.4,0,
30,E2,Q3,38,45,17,Loam,7.5,102,59,7012,550,6.3,170,7.8,1,39.8,0.4,88.1,11.5,0,0.2,35.1,4.6,0,CEC & saturation may not be accurate
31,R2,Q1,40,43,17,Loam,7.9,76,38,6012,622,6.4,172,8,1,35.3,0.3,85.2,14.7,0,0.1,30.1,5.2,0,
32,R1,Q4,42,39,19,Loam,7.6,93,47,5255,687,6.6,176,9.1,1,32.1,0.4,81.9,17.8,0,0.1,26.3,5.7,0,
33,R1,Q5,50,35,15,Loam,7.6,79,46,5747,626,6.8,180,11.3,1,34.1,0.3,84.3,15.3,0,0.1,28.7,5.2,0,
34,E3,Q4,36,43,21,Loam,7.7,130,80,6067,510,5.2,148,7.6,1,34.8,0.6,87.2,12.2,0,0.2,30.3,4.3,0,
35,R3,Q1,48,35,17,Loam,7.7,90,48,5523,669,5.1,146,4.1,1,33.3,0.4,82.9,16.7,0,0.1,27.6,5.6,0,
36,E2,Q4,38,43,19,Loam,7.8,105,65,6950,523,5.9,162,7.8,1,39.3,0.4,88.4,11.1,0,0.2,34.8,4.4,0,
37,R3,Q4,54,29,17,Sandy Loam,7.4,89,132,5507,782,5.9,162,13.7,2.6,34.4,1,80,18.9,0,0.3,27.5,6.5,0,
38,D2,Q4,36,47,17,Loam,7.7,117,100,7207,586,5.6,156,7.7,1.5,41.2,0.6,87.5,11.9,0,0.3,36,4.9,0,CEC & saturation may not be accurate
39,R1,Q3,48,37,15,Loam,6.8,76,54,6194,639,6.9,182,11.5,1,37.5,0.4,82.6,14.2,2.9,0.1,31,5.3,1.1,
40,D2,Q3,38,47,15,Loam,7.6,86,69,8263,518,5.8,160,8.3,1,45.8,0.4,90.2,9.4,0,0.2,41.3,4.3,0,CEC & saturation may not be accurate
41,E1,Q1,44,39,17,Loam,7.5,106,86,7171,584,6.1,166,15,1,40.9,0.5,87.7,11.9,0,0.2,35.9,4.9,0,CEC & saturation may not be accurate
42,B2,Q4,34,45,21,Loam,7.6,135,111,6511,614,5.5,154,7.3,2.4,38,0.7,85.7,13.5,0,0.3,32.6,5.1,0,
43,C3,Q1,36,43,21,Loam,7.7,125,65,6215,564,5.4,152,6.2,1,35.9,0.5,86.6,13.1,0,0.2,31.1,4.7,0,
44,A2,Q5,36,45,19,Loam,7.7,101,67,7349,510,6.6,176,11.8,1,41.2,0.4,89.2,10.3,0,0.2,36.7,4.3,0,CEC & saturation may not be accurate
45,B2,Q3,40,41,19,Loam,7.7,118,78,5792,520,5,144,8.9,1.1,33.5,0.6,86.4,12.9,0,0.2,29,4.3,0,
46,B1,Q5,38,43,19,Loam,7.7,145,119,8262,811,5.4,152,8.1,1,48.4,0.6,85.4,14,0,0.3,41.3,6.8,0,CEC & saturation may not be accurate
47,A3,Q1,44,39,17,Loam,7.8,108,68,6295,581,5.4,152,8,1,36.5,0.5,86.2,13.3,0,0.2,31.5,4.8,0,
48,A3,Q3,36,43,21,Loam,7.6,119,61,6075,518,4.4,132,6.9,1,34.8,0.4,87.3,12.4,0,0.2,30.4,4.3,0,
49,B1,Q1,42,43,15,Loam,7.9,112,69,7214,544,6,164,9.6,1,40.8,0.4,88.4,11.1,0,0.2,36.1,4.5,0,CEC & saturation may not be accurate
50,C3,Q3,38,45,17,Loam,7.8,121,50,5829,558,5.3,150,7.5,1,33.9,0.4,86,13.7,0,0.1,29.1,4.7,0,
51,B2,Q2,40,43,17,Loam,7.7,113,55,6286,511,5.5,154,7.9,1,35.8,0.4,87.8,11.9,0,0.1,31.4,4.3,0,
52,E3,Q2,36,47,17,Loam,7.8,121,114,6800,497,5.6,156,7.9,1,38.4,0.8,88.5,10.8,0,0.3,34,4.1,0,
53,B3,Q5,42,43,15,Loam,7.9,89,51,6890,533,5.7,158,8,1,39,0.3,88.3,11.4,0,0.1,34.5,4.4,0,
54,C3,Q2,38,45,17,Loam,7.8,107,48,5473,544,5.4,152,4.1,1,32,0.4,85.5,14.2,0,0.1,27.4,4.5,0,
55,E1,Q2,48,37,15,Loam,7.5,57,21,3610,128,5.2,148,8.7,1.1,19.2,0.3,94,5.6,0,0.1,18.1,1.1,0,
56,B3,Q1,34,49,17,Loam,7.7,102,57,6228,559,5.3,150,7,1,35.9,0.4,86.7,13,0,0.1,31.1,4.7,0,
57,A3,Q2,42,41,17,Loam,7.5,118,61,6083,524,4.9,142,7.3,1,34.9,0.4,87.1,12.5,0,0.1,30.4,4.4,0,
58,A1,Q2,40,45,15,Loam,7.6,94,47,7115,458,4.4,132,9.8,1,39.5,0.3,90.1,9.7,0,0.1,35.6,3.8,0,CEC & saturation may not be accurate
59,A1,Q1,32,53,15,Silt Loam,7.7,85,40,6986,380,4,124,10.2,1,38.2,0.3,91.4,8.3,0,0.1,34.9,3.2,0,
60,B1,Q4,38,45,17,Loam,7.8,97,53,6810,534,6.1,166,7.7,1,38.6,0.4,88.2,11.5,0,0.1,34.1,4.5,0,
61,C1,Q1,48,39,13,Loam,7.7,94,58,8084,529,5.8,160,9.2,1,45,0.3,89.8,9.8,0,0.1,40.4,4.4,0,CEC & saturation may not be accurate
62,C1,Q3,40,45,15,Loam,7.8,115,51,6435,456,5.1,146,10.6,1,36.1,0.4,89.1,10.5,0,0.1,32.2,3.8,0,
63,C1,Q5,44,41,15,Loam,7.8,112,54,6092,558,4.6,136,6.6,1,35.2,0.4,86.5,13.2,0,0.1,30.5,4.7,0,
64,C1,Q4,40,45,15,Loam,7.4,108,50,6461,557,4.6,136,8.1,1,37.1,0.3,87.1,12.5,0,0.1,32.3,4.6,0,
65,C2,Q4,40,43,17,Loam,7.8,118,50,6296,520,6.3,170,6.5,1,35.9,0.4,87.7,12.1,0,0.1,31.5,4.3,0,
66,C2,Q3,30,51,19,Silt Loam,7.6,127,47,5793,503,3.9,122,5.8,1,33.3,0.4,87,12.6,0,0.1,29,4.2,0,
67,C2,Q2,42,41,17,Loam,7.5,109,46,6331,560,4.7,138,9.4,1,36.4,0.3,87,12.8,0,0.1,31.7,4.7,0,
68,C2,Q1,38,43,19,Loam,7.7,95,50,6590,556,6.5,174,8.4,1,37.7,0.3,87.4,12.3,0,0.1,33,4.6,0,
69,A2,Q4,42,43,15,Loam,7.6,112,83,7323,597,5.8,160,9.7,1,41.8,0.5,87.6,11.9,0,0.2,36.6,5,0,CEC & saturation may not be accurate
70,A2,Q3,40,45,15,Loam,7.6,122,62,7340,536,5,144,8.4,1,41.3,0.4,88.9,10.8,0,0.2,36.7,4.5,0,CEC & saturation may not be accurate
71,D1,Q3,44,39,17,Loam,7.6,123,100,6824,528,6.6,176,9.8,1.1,38.8,0.7,87.9,11.3,0,0.3,34.1,4.4,0,
72,D1,Q1,38,43,19,Loam,7.7,113,100,6436,614,5.3,150,13,1,37.6,0.7,85.6,13.6,0,0.3,32.2,5.1,0,
73,B1,Q3,43,40,17,Loam,7.8,103,60,5904,520,5.9,162,8.1,1,34,0.5,86.8,12.7,0,0.2,29.5,4.3,0,
74,A3,Q4,37,44,19,Loam,7.8,114,78,6195,582,5.7,158,7.3,2.1,36,0.6,86,13.5,0,0.2,31,4.9,0,
75,A1,Q3,33,46,21,Loam,7.6,130,68,5960,513,5,144,10.2,1.9,34.2,0.5,87.1,12.5,0,0.2,29.8,4.3,0,
76,A1,Q5,33,48,19,Loam,7.8,109,56,6114,518,5.6,156,11.8,1,35,0.4,87.3,12.3,0,0.1,30.6,4.3,0,
77,A1,Q4,39,42,19,Loam,7.7,121,60,6077,505,4.7,138,7.5,1.2,34.7,0.4,87.6,12.1,0,0.2,30.4,4.2,0,
78,A2,Q1,37,48,15,Loam,7.8,118,53,7652,505,5.1,146,9.7,1,42.6,0.3,89.8,9.9,0,0.1,38.3,4.2,0,CEC & saturation may not be accurate
79,A2,Q2,41,42,17,Loam,7.7,101,76,7797,471,5.1,146,23.1,1,43.1,0.5,90.5,9.1,0,0.2,39,3.9,0,CEC & saturation may not be accurate
80,C2,Q5,39,44,17,Loam,7.7,121,57,6301,558,5.1,146,6.3,1,36.3,0.4,86.8,12.8,0,0.1,31.5,4.7,0,
81,B3,Q4,39,42,19,Loam,7.9,112,49,6004,525,6.3,170,6.4,1,34.5,0.4,87,12.7,0,0.1,30,4.4,0,
82,B3,Q3,39,40,21,Loam,7.6,115,53,5867,543,5.6,156,6.7,1,34,0.4,86.3,13.3,0,0.1,29.3,4.5,0,
83,B2,Q5,43,38,19,Loam,7.8,123,50,6008,541,5.5,154,4.6,1,34.7,0.4,86.6,13,0,0.1,30,4.5,0,
84,B3,Q2,39,44,17,Loam,7.5,129,66,6146,594,5.3,150,6.7,1.2,35.8,0.5,85.8,13.8,0,0.2,30.7,5,0,
85,C1,Q2,41,44,15,Loam,7.8,108,55,6739,521,5.2,148,9.1,1,38.2,0.4,88.2,11.4,0,0.1,33.7,4.3,0,
86,B1,Q2,37,46,17,Loam,7.7,103,52,6239,485,5.3,150,8.1,1,35.4,0.4,88.1,11.4,0,0.1,31.2,4,0,
87,A3,Q5,39,44,17,Loam,7.9,119,52,6179,527,5.3,150,5.6,1,35.4,0.4,87.3,12.4,0,0.1,30.9,4.4,0,
88,C3,Q5,41,40,19,Loam,7.5,111,57,6420,572,5.6,156,10.7,1,37,0.4,86.8,12.9,0,0.1,32.1,4.8,0,
89,B2,Q1,43,38,19,Loam,7.8,126,56,6232,553,5.2,148,6.6,1,35.9,0.4,86.8,12.8,0,0.1,31.2,4.6,0,
90,C3,Q4,47,38,15,Loam,7.2,94,73,6476,578,6.5,174,14.3,1.2,37.5,0.5,86.3,12.8,0.3,0.2,32.4,4.8,0.1,
