Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes,,
1-1,Full,R1 Q1,13.62,113.95,100.33,6/28/2023,,,,,R1 Q1,A1 Q1
2-1,>4.75 mm,R1 Q1,13.56,18.43,4.87,6/28/2023,6/28/2023,6/29/2023,6/30/2023,,R1 Q2,A1 Q2
3-1,>2 mm,R1 Q1,13.42,33.64,20.22,6/28/2023,6/28/2023,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,R2 Q1,A1 Q3
4-1,>250 um,R1 Q1,13.33,63.23,49.9,6/28/2023,6/28/2023,7/4/2023 9:00 AM,7/5/2023 11:30 AM,,R2 Q2,A1 Q4
5-1,>53 um,R1 Q1,13.52,20.46,6.94,6/28/2023,6/28/2023,6/29/2023,6/30/2023,,R2 Q5,A1 Q5
6-1,Full,R1 Q2,13.43,113.45,100.02,6/28/2023,,,,,R3 Q2,A2 Q1
7-1,>4.75 mm,R1 Q2,13.3,23.49,10.19,6/28/2023,6/28/2023,6/29/2023,6/30/2023,,R1 Q5,A2 Q2
8-1,>2 mm,R1 Q2,13.36,40.39,27.03,6/28/2023,6/28/2023,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,E3 Q2,A2 Q3
9-1,>250 um,R1 Q2,13.35,52.92,39.57,6/28/2023,6/28/2023,7/4/2023 9:00 AM,7/5/2023 11:30 AM,,E3 Q3,A2 Q4
10-1,>53 um,R1 Q2,13.33,18.19,4.86,6/28/2023,6/28/2023,6/29/2023,6/30/2023,,E3 Q5,A2 Q5
11-1,Full,R2 Q1,13.26,113.27,100.01,6/28/2023,,,,,D2 Q5,A3 Q1
12-1,>4.75 mm,R2 Q1,13.26,17,3.74,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,E2 Q4,A3 Q2
13-1,>2 mm,R2 Q1,13.31,33.35,20.04,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,B3 Q5,A3 Q3
14-1,>250 um,R2 Q1,13.35,59.95,46.6,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 11:30 AM,,C3 Q3,A3 Q4
15-1,>53 um,R2 Q1,13.42,25.48,12.06,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,B1 Q4,A3 Q5
16-1,Full,R2 Q2,13.34,113.41,100.07,6/28/2023,,,,,D2 Q2,B1 Q1
17-1,>4.75 mm,R2 Q2,13.33,18.13,4.8,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,A3 Q1,B1 Q2
18-1,>2 mm,R2 Q2,13.39,32.44,19.05,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,A2 Q2,B1 Q3
19-1,>250 um,R2 Q2,13.29,66.3,53.01,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 11:30 AM,,D2 Q4,B1 Q4
20-1,>53 um,R2 Q2,13.29,22.52,9.23,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,E2 Q3,B1 Q5
21-1,Full,R2 Q5,13.28,113.48,100.2,6/28/2023,,,,,E2 Q2,B2 Q1
22-1,>4.75 mm,R2 Q5,16.26,21.97,5.71,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,B3 Q2,B2 Q2
23-1,>2 mm,R2 Q5,13.31,36.89,23.58,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,B1 Q1,B2 Q3
24-1,>250 um,R2 Q5,13.24,57.09,43.85,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 11:30 AM,,D3 Q1,B2 Q4
25-1,>53 um,R2 Q5,13.38,18.41,5.03,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,D3 Q5,B2 Q5
26-1,Full,R3 Q2,16.25,116.29,100.04,6/28/2023,,,,,E1 Q4,B3 Q1
27-1,>4.75 mm,R3 Q2,13.32,17.26,3.94,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,E2 Q1,B3 Q2
28-1,>2 mm,R3 Q2,13.35,35.52,22.17,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,R1 Q3,B3 Q3
29-1,>250 um,R3 Q2,16.16,65.11,48.95,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 11:30 AM,,E2 Q5,B3 Q5
30-1,>53 um,R3 Q2,13.32,20.39,7.07,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,D2 Q1,C1 Q1
31-1,Full,R1 Q5,16.17,116.6,100.43,6/28/2023,,,,,E1 Q1,C1 Q2
32-1,>4.75 mm,R1 Q5,16.22,20.23,4.01,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,D1 Q1,C1 Q3
33-1,>2 mm,R1 Q5,16.23,40.13,23.9,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,D3 Q2,C1 Q4
34-1,>250 um,R1 Q5,16.15,64.98,48.83,6/28/2023,6/30/2023 5:00 PM,7/4/2023 9:00 AM,7/5/2023 11:30 AM,,R3 Q3,C1 Q5
35-1,>53 um,R1 Q5,16.36,23.05,6.69,6/28/2023,6/30/2023 5:00 PM,7/1/2023,7/2/2023,,R1 Q4,C2 Q1
36-1,Full,E3 Q2,16.01,116.03,100.02,6/29/2023,,,,,D1 Q4,C2 Q2
37-1,>4.75 mm,E3 Q2,15.97,26.19,10.22,6/29/2023,7/3/2023 11:00 AM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,E1 Q2,C2 Q3
38-1,>2 mm,E3 Q2,16.07,34.26,18.19,6/29/2023,7/3/2023 11:00 AM,7/7/2023 11:00 AM,7/10/2023 11:00 AM,,D3 Q3,C2 Q4
39-1,>250 um,E3 Q2,16.29,58.04,41.75,6/29/2023,7/3/2023 11:00 AM,7/6/2023 10:00 AM,7/7/2023 4:00 PM,,D1 Q3,C2 Q5
40-1,>53 um,E3 Q2,16.36,25.71,9.35,6/29/2023,7/3/2023 11:00 AM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,E1 Q3,C3 Q1
41-1,Full,E3 Q3,16.33,116.87,100.54,6/29/2023,,,,,C3 Q4,C3 Q2
42-1,>4.75 mm,E3 Q3,16.47,28.01,11.54,6/29/2023,7/3/2023 2:00 PM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,R3 Q5,C3 Q3
43-1,>2 mm,E3 Q3,16.07,37.48,21.41,6/29/2023,7/3/2023 2:00 PM,7/7/2023 11:00 AM,7/10/2023 11:00 AM,,A3 Q5,C3 Q4
44-1,>250 um,E3 Q3,16.15,56.74,40.59,6/29/2023,7/3/2023 2:00 PM,7/4/2023 9:00 AM,7/5/2023 11:30 AM,,D3 Q4,C3 Q5
45-1,>53 um,E3 Q3,13.29,20.65,7.36,6/29/2023,7/3/2023 2:00 PM,7/4/2023 9:00 AM,7/5/2023 9:00 AM,,R3 Q4,D1 Q1
46-1,Full,E3 Q5,16.08,116.15,100.07,6/30/2023,,,,,R2 Q3,D1 Q2
47-1,>4.75 mm,E3 Q5,16.2,22.65,6.45,6/30/2023,7/5/2023 11:55 AM,7/6/2023 10:00 AM,7/7/2023 11:00 AM,,A3 Q2,D1 Q3
48-1,>2 mm,E3 Q5,16.16,35.57,19.41,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,C3 Q2,D1 Q4
49-1,>250 um,E3 Q5,13.24,60.51,47.27,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,A1 Q5,D1 Q5
50-1,>53 um,E3 Q5,13.23,20.42,7.19,6/30/2023,7/5/2023 11:55 AM,7/6/2023 10:00 AM,7/7/2023 11:00 AM,,E3 Q1,D2 Q1
51-1,fPOM,E3 Q3,13.53,13.73,0.2,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,A3 Q3,D2 Q2
52-1,fPOM,E3 Q5,13.54,13.58,0.04,6/30/2023,7/5/2023 11:55 AM,7/6/2023 10:00 AM,7/7/2023 11:00 AM,,D1 Q2,D2 Q3
53-1,Full,D2 Q5,15.77,116.13,100.36,6/30/2023,,,,,C1 Q2,D2 Q4
54-1,>4.75 mm,D2 Q5,13.62,21.54,7.92,6/30/2023,7/5/2023 11:55 AM,7/6/2023 4:15 PM,7/7/2023 4:15 PM,,R2 Q4,D2 Q5
55-1,>2 mm,D2 Q5,13.44,32.94,19.5,6/30/2023,7/5/2023 11:55 AM,7/11/2023 12:30 PM,7/12/2023 12:40 PM,,E1 Q5,D3 Q1
56-1,>250 um,D2 Q5,15.87,62.93,47.06,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,A3 Q4,D3 Q2
57-1,>53 um,D2 Q5,13.56,19.84,6.28,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,A1 Q2,D3 Q3
58-1,fPOM,D2 Q5,13.53,13.58,0.05,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,D1 Q5,D3 Q4
59-1,Full,E2 Q4,13.63,114.18,100.55,6/30/2023,,,,,A2 Q5,D3 Q5
60-1,>4.75 mm,E2 Q4,13.61,22.27,8.66,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:00 PM,,R3 Q1,E1 Q1
61-1,>2 mm,E2 Q4,13.55,36.34,22.79,6/30/2023,7/5/2023 11:55 AM,7/12/2023 12:30 PM,7/13/2023 1:00 PM,,C1 Q3,E1 Q2
62-1,>250 um,E2 Q4,13.53,59.22,45.69,6/30/2023,7/5/2023 11:55 AM,7/10/2023 11:00 AM,7/11/2023 12:30 PM,,C1 Q1,E1 Q3
