"v","t","mean","sd","5","95","15","85","25","75"
"SOM (%)","Balled-and-burlapped",5.10473328311721,0.170692569232996,4.82408156828434,5.37596809304769,4.93905179344956,5.27178791660924,4.99686825967028,5.21055026947869
"SOM (%)","Bareroot",5.56224746724828,0.184466300111904,5.25933171411882,5.8627347061211,5.38438160876495,5.74714303659094,5.45227235762431,5.68009846590957
"SOM (%)","Seedling",5.2903872697471,0.179359832477857,4.98636091484397,5.56549727390255,5.11121767366194,5.46604963491824,5.17477090253666,5.4003667510779
"SOM (%)","Acorn",5.49919997601269,0.185159426861402,5.19431557048325,5.79251906202435,5.29484956629913,5.65990364450004,5.3783802933503,5.60943268150897
"SOM (%)","Seedbank",5.90154861016059,0.198286676849223,5.58978909866316,6.22105413909387,5.70208711376748,6.08772450944485,5.77987680319068,6.02394444471537
"SOM (%)","Reference",6.20230572539136,0.206581001034933,5.86021661621579,6.5246112189457,6.00718809570409,6.4142582768355,6.01415747001499,6.28580783837644
"POM (%)","Balled-and-burlapped",8.63341931510197,1.42283115866669,6.40197173504708,10.8516053386242,7.21927856753867,9.90481523750037,7.50189778488878,9.25148636310561
"POM (%)","Bareroot",7.16023106965031,1.16894881830625,5.21846880515662,8.88762559361039,5.92440954094607,8.17006958947083,6.25134741253586,7.68748457417103
"POM (%)","Seedling",6.21627691972351,1.0196952609245,4.60017812935774,7.75839844172376,5.13886905228424,7.0718423045271,5.47678377623599,6.72280868652507
"POM (%)","Acorn",8.12008170792814,1.29736552014562,6.1229317535626,10.2159173303017,6.79578812243353,9.28017334942636,7.1253583991073,8.69421903897899
"POM (%)","Seedbank",7.65990946041834,1.27481985619016,5.59589350754118,9.58898483354311,6.28975441681643,8.64859107797909,6.66531374818333,8.17092912600247
"POM (%)","Reference",9.29988030448603,1.54782858623105,6.86814480289112,11.7609418261195,7.48822679506212,10.4396914405905,7.90485578136745,9.80109414132784
"TC (%)","Balled-and-burlapped",3.95856280636396,0.172286083004804,3.687737839644,4.24162740896784,3.782242616411,4.11369157363436,3.8512875404108,4.06087480035914
"TC (%)","Bareroot",4.08520111692862,0.175406398295386,3.80520405681081,4.37206622824923,3.91646091606028,4.25438160812333,3.94578420260209,4.16504224519981
"TC (%)","Seedling",4.12067488106249,0.178543656214467,3.82222884013569,4.40580644907819,3.94053349305618,4.28602880810764,4.01522838400644,4.23691715402045
"TC (%)","Acorn",4.11790595641973,0.17180869234848,3.83505286067458,4.39305602638982,3.95097948268108,4.28881348804543,3.99578573097881,4.20968582269975
"TC (%)","Seedbank",4.16353199062556,0.180711300757059,3.85988781071397,4.4472415095374,3.96353466166223,4.31755866414392,4.04612129979342,4.27363698859083
"TC (%)","Reference",3.45895418610318,0.148782659171653,3.20754234237417,3.69193355136127,3.29598485961243,3.59206777461224,3.35138609000294,3.54265348528948
"TN (%)","Balled-and-burlapped",0.28065433124031,0.0253067768210074,0.237943492084251,0.319081040911039,0.252774596138176,0.302808053285114,0.262035664164762,0.293739146668265
"TN (%)","Bareroot",0.295576337253825,0.0267682446105835,0.253145599999505,0.338944750853009,0.265791912090696,0.318301522424728,0.273593059270572,0.306445558754001
"TN (%)","Seedling",0.248542648701657,0.0225528550920603,0.209169957914514,0.28275537294212,0.224480112444159,0.268175366000129,0.234302125520608,0.262142465457195
"TN (%)","Acorn",0.281491021757678,0.0256162525736761,0.238035546429152,0.321590217063514,0.250849492363707,0.301946882838161,0.264503614672481,0.296980689230673
"TN (%)","Seedbank",0.236762225262635,0.0217904524772056,0.202370285783055,0.270351244000946,0.21269859513333,0.25429311996472,0.222473750032302,0.248910689959364
"TN (%)","Reference",0.153591467259047,0.0141591829772734,0.130508076960289,0.175864729521558,0.138432261212143,0.166040065432834,0.14254790480193,0.160382264242318
"C:N Ratio","Balled-and-burlapped",14.1793876644608,0.936913441507167,12.6926652490481,15.6970247367067,13.2422607465081,15.0977282756155,13.4576307500231,14.6587332946961
"C:N Ratio","Bareroot",13.9279113840173,0.946251168107385,12.38974714174,15.4495439819902,12.9595022970248,14.7742424148566,13.3334016232887,14.5010097825752
"C:N Ratio","Seedling",16.7060140805233,1.14313359507369,14.9114785250874,18.5526435285803,15.7023469301532,17.9267908093843,15.958466240419,17.3834792566112
"C:N Ratio","Acorn",14.6958420258244,0.981487790846251,13.1204133345749,16.2928406464174,13.801127437276,15.6926819708114,13.9785119134289,15.1902015813214
"C:N Ratio","Seedbank",17.6822954430186,1.2262882674441,15.6845035076017,19.6644273890147,16.4464440583668,18.8092221072129,16.9005774025942,18.4202110272164
"C:N Ratio","Reference",22.7676577204303,1.53396458941654,20.3107496881695,25.3390906216545,21.2146352859945,24.243057486523,21.7645671457954,23.6760570675364
"Temperature (C)","Balled-and-burlapped",16.4233841185881,0.405905371805707,15.7528767392053,17.065659000613,15.9989404584698,16.8060252627207,16.1598908494014,16.6706126660766
"Temperature (C)","Bareroot",16.402221868379,0.408752092417505,15.7603768934283,17.0781658831085,15.9825451513083,16.7804057060788,16.0968000680881,16.612375484165
"Temperature (C)","Seedling",16.1289902572822,0.398411221088505,15.4940038191429,16.7466905341935,15.7877243581483,16.5729861376858,15.8762994842054,16.3781069135323
"Temperature (C)","Acorn",17.3713258638776,0.42171012411553,16.7097004106683,18.0546469193668,16.9513334220766,17.7830027375133,17.1012643385359,17.6254326991157
"Temperature (C)","Seedbank",17.0264225994254,0.419657130157496,16.3148591802325,17.6636066024901,16.6093061330091,17.4331802048123,16.7492579986435,17.2750592369003
"Temperature (C)","Reference",16.7487943967201,0.40198686670212,16.0667577056863,17.364448018929,16.3455354468653,17.1325540398206,16.4401037214936,16.9545849996432
"Gravitational moisture (%)","Balled-and-burlapped",26.8735347732155,1.24010406931846,24.7795527966463,28.8013865215048,25.659113973018,28.0455610775441,25.9471098364361,27.4933932152606
"Gravitational moisture (%)","Bareroot",25.671972328853,1.19594731624339,23.6500641898037,27.484563755447,24.589925562808,26.8892782500897,24.8737947370995,26.3644346378606
