"trt","trt.full","num","int.fwd.carbon","cwd.carbon","snag.carbonmin","dead.stem.carbonmin","live.stem.carbon","live.woody.c.stock","FWD.C.Mg.ha","FWD.CN.ratio","HL.C.Mg.ha","HL.CN.ratio","PA.C.Mg.ha","HJ.C.Mg.ha","mix.C.Mg.ha","total.C.Mg.ha","herb.bm.CN.ratio"
"A","Balled-and-burlapped",1,0.404279294462689,0.772208534511271,0.552819737170907,0,0,105.344306189433,1.5939234,41.34188034,1.749265022,17.78318584,0,0,0.1803568,0.1803568,11.0740740740741
"A","Balled-and-burlapped",2,1.21283788338807,0,0.474902003987414,0,0,50.9974361802374,0.6399966,63.53333333,2.054237422,15.54883721,0,0.4710826667,0.1696086,0.6406912667,11.2360843340391
"A","Balled-and-burlapped",3,2.58738748456121,3.22449690466199,0.601721828586446,0,0.0730164911248376,221.789681645264,1.7765034,57.53571429,1.978899822,15.81659389,0,0.048529,0.198832,0.247361,12.792284805086
"B","Bareroot",1,1.69797303674329,8.5355961883377,2.39048207753875,0,0.0288062489344749,8.65053554456604,3.190567822,44.98360656,2.789304711,16.91588785,0.03848235556,0.5335263333,0.7779480444,1.34995673326,12.6490323440397
"B","Bareroot",3,4.60878395687465,11.5000091302499,2.38799592934158,0,0,86.6595253549175,5.073584356,63.16883117,1.433957822,18.68367347,0.1757591111,0,0.104475,0.2802341111,22.1225812676526
"B","Bareroot",2,3.31509021459405,15.8503796999717,2.39655019365618,0,0,70.7721068188676,4.273834667,58.29761905,1.733834933,18.39226519,0,0.00191111111,0.0161896,0.01810071111,9.15554256682328
"C","Seedling",1,2.82995506123882,12.4076822870794,0.198031554963241,0,0,67.0569844737938,0.3097866222,33.85915493,1.5439716,17.46666667,0,0,0.1878308889,0.1878308889,11.0179104477612
"C","Seedling",3,2.26396404899106,0.864102153664975,1.07364463851939,0,0.00115086689424199,214.031844856258,4.407233867,40.8220339,2.197945467,17.69724771,0,0,0.05303871111,0.05303871111,17.6017316017316
"C","Seedling",2,2.34481990788359,5.07375559688977,2.0669530474632,0,0.0156517081344373,194.032125712287,2.707689222,49.24752475,1.947175467,18.80213904,0,0.02207297778,0.2468209111,0.26889388888,25.0261632295973
"D","Acorn",3,0.485135153355227,1.43579219122636,0.41303440000551,0,0,28.1653864563797,0.1500779556,43.95327103,2.954342756,16.77319588,0.05295066667,0,0.00436888889,0.05731955556,15.3286345916136
"D","Acorn",2,0.565991012247764,4.07369331415164,0.6511556874664,0,0,76.4117284652483,0.1067058444,47.2745098,1.744505556,16.42857143,0.02778564444,0.4958871556,0.1469673333,0.67064013334,13.7647960307654
"D","Acorn",1,0.323423435570151,2.27966244787563,0.467512058882425,0.00198073941372919,0.00498556825856677,14.0662707377008,0.1045111111,44.89090909,1.154229956,17.38383838,0.01993004444,0.01820388889,0.5665748667,0.60470880003,20.6715907355793
"E","Seedbank",1,0.808558588925377,1.88486313534146,0.0129809738218156,0.0495184853432296,0.0822618762663517,17.3385385591139,0,37.62015504,0.6859305333,16.19230769,1.723644,1.003869978,0.03167608889,2.75919006689,14.9294147226077
"E","Seedbank",2,0.0808558588925378,0,0,0,0.0272059017714485,16.4926964853899,0.1142641778,42.78761062,2.618686467,17.19318182,0.6896083333,0.5549777333,0.1161366889,1.3607227555,14.6794856949837
"E","Seedbank",3,0.161711717785076,0,0,0.00396147882745837,0.0141257767326058,24.1198483401896,0.7570496,30.05405405,5.190457533,17.91712707,0.3018876667,0.3326430222,0.2270348667,0.8615655556,15.5887927651471
"R","Reference",1,0.970270306710453,5.86682420794205,2.28848055048922,0,0,159.643304491002,5.596180333,47.14563107,1.403635689,21.80838323,0,0,0.6761204444,0.6761204444,11.5748502994012
"R","Reference",2,2.10225233120598,5.09142560909386,2.31181534182688,0,0,48.816848183258,4.292415156,37.94488189,1.201441467,19.22222222,0,0,0.8333589333,0.8333589333,14.1223021582734
"R","Reference",3,1.05112616560299,28.259965091736,3.65932254984659,0,0,39.6944942322514,0.6602843333,37.41129032,1.141292933,19.30808081,0,0,0.3893736889,0.3893736889,16.9409448818898
