"redo","year","plot","trt","trt.full","num","spp","genus","species","abC_ha1","abC_ha2","abC_ha3","bgC_ha1","bgC_ha2","bgC_ha3","bmC_ha1","bmC_ha2","bmC_ha3"
"N",2013,"A1","A","Balled-and-burlapped",1,"Acesai","Acer","saccharinum",58.2237761204436,55.0424467935796,62.8905490106546,10.9092626916656,11.2890322060224,12.5781098021309,69.1330388121091,66.331478999602,75.4686588127856
"N",2013,"A2","A","Balled-and-burlapped",2,"Acesai","Acer","saccharinum",36.022415658985,33.8130914564044,36.5293263232057,6.80672979282587,7.02083929579534,7.30586526464114,42.8291454518109,40.8339307521998,43.8351915878468
"N",2013,"A2","A","Balled-and-burlapped",2,"Fralan","Fraxinus","lanceolata",4.67679224189156,4.80795026803665,6.62585388764674,0.890845455057335,1.01021373594137,1.32517077752935,5.5676376969489,5.81816400397803,7.95102466517609
"N",2013,"A2","A","Balled-and-burlapped",2,"Quebic","Quercus","bicolor",3.20254071336889,3.08392257000014,4.23399226555174,0.616046384230908,0.653881708234145,0.846798453110349,3.8185870975998,3.73780427823428,5.08079071866209
"N",2013,"A3","A","Balled-and-burlapped",3,"Quebic","Quercus","bicolor",4.72038001768593,4.55047181457745,6.00937068098198,0.902323550326843,0.959502809134903,1.2018741361964,5.62270356801277,5.50997462371235,7.21124481717837
"N",2013,"B1","B","Bareroot",1,"Acesai","Acer","saccharinum",13.319329498494,12.41476971805,12.6673713884361,2.54070424696484,2.60929872736369,2.53347427768721,15.8600337454588,15.0240684454137,15.2008456661233
"N",2013,"B1","B","Bareroot",1,"Fralan","Fraxinus","lanceolata",24.0907629800106,25.2994265695506,35.0175138223894,4.62153108349025,5.34681311482819,7.00350276447788,28.7122940635009,30.6462396843788,42.0210165868673
"N",2013,"B1","B","Bareroot",1,"Popdel","Populus","deltoides",59.3956907918344,60.7472414749691,82.2181199444613,11.1697277842553,12.5459454136674,16.4436239888923,70.5654185760897,73.2931868886365,98.6617439333535
"N",2013,"B1","B","Bareroot",1,"Quebic","Quercus","bicolor",1.39742743335574,1.3401348729945,2.13376217830902,0.278736453339433,0.290198564748565,0.426752435661804,1.67616388669517,1.63033343774306,2.56051461397083
"N",2013,"B2","B","Bareroot",2,"Acesai","Acer","saccharinum",46.9910473748298,43.6492176301314,43.3401489189511,9.03052752459589,9.22891727712262,8.66802978379023,56.0215748994257,52.878134907254,52.0081787027414
"N",2013,"B2","B","Bareroot",2,"Fralan","Fraxinus","lanceolata",5.01152459821214,5.1333036319204,7.0690993265188,0.953744159450713,1.07753170994709,1.41381986530376,5.96526875766285,6.21083534186749,8.48291919182257
"N",2013,"B2","B","Bareroot",2,"Popdel","Populus","deltoides",32.2466897831199,33.0519876537258,44.2615954598823,6.06028079509894,6.81873566151618,8.85231909197647,38.3069705782188,39.8707233152419,53.1139145518588
"N",2013,"B2","B","Bareroot",2,"Quebic","Quercus","bicolor",6.32906444244131,6.0687718243143,9.71331281533115,1.26529667794257,1.31506427391879,1.94266256306623,7.59436112038387,7.3838360982331,11.6559753783974
"N",2013,"B3","B","Bareroot",3,"Acesai","Acer","saccharinum",84.120659101688,78.1878204503537,78.0399586257651,16.1458824390692,16.5134712269774,15.607991725153,100.266541540757,94.7012916773312,93.6479503509181
"N",2013,"B3","B","Bareroot",3,"Fralan","Fraxinus","lanceolata",1.49552190742302,1.69357425225819,2.37918411231625,0.295286747639795,0.365084936909721,0.475836822463249,1.79080865506282,2.05865918916792,2.8550209347795
"N",2013,"B3","B","Bareroot",3,"Popdel","Populus","deltoides",9.35215075259951,9.43475416958572,13.6450513603324,1.76638923292102,1.96195754100707,2.72901027206648,11.1185399855205,11.3967117105928,16.3740616323989
"N",2013,"B3","B","Bareroot",3,"Quebic","Quercus","bicolor",4.64296025374509,4.45247388485057,7.10711057654724,0.928633623376949,0.964326728695881,1.42142211530945,5.57159387712204,5.41680061354645,8.52853269185669
"N",2013,"C1","C","Seedling",1,"Carill","Carya","illinoiensis",6.11461105890518,5.7860431857805,7.4371639726545,1.21558222217101,1.24994837961201,1.4874327945309,7.33019328107619,7.03599156539251,8.9245967671854
"N",2013,"C1","C","Seedling",1,"Fralan","Fraxinus","lanceolata",1.83082664573029,1.97769754980074,2.75240301534243,0.35404458899666,0.421030845228405,0.550480603068487,2.18487123472695,2.39872839502914,3.30288361841092
"N",2013,"C1","C","Seedling",1,"Quemac","Quercus","macrocarpa",2.74162200852433,2.6312079009576,4.07736053411716,0.542330476623979,0.567575261277509,0.815472106823432,3.28395248514831,3.19878316223511,4.89283264094059
"N",2013,"C2","C","Seedling",2,"Acesai","Acer","saccharinum",136.779357801277,127.821769934981,133.335515297108,26.0222394289501,26.7453485029436,26.6671030594216,162.801597230227,154.567118437925,160.00261835653
"N",2013,"C2","C","Seedling",2,"Fralan","Fraxinus","lanceolata",0.281612099861156,0.335800020436807,0.476602762583103,0.0574796281289915,0.0733860906891117,0.0953205525166206,0.339091727990147,0.409186111125919,0.571923315099724
"N",2013,"C2","C","Seedling",2,"Popdel","Populus","deltoides",29.3400219833326,30.0193059458598,40.5685458383202,5.51747052510241,6.19856040618415,8.11370916766403,34.857492508435,36.217866352044,48.6822550059842
"N",2013,"C3","C","Seedling",3,"Acesai","Acer","saccharinum",51.2172278652276,47.9658834133042,51.0567466282286,9.74397501692505,9.99968453819637,10.2113493256457,60.9612028821527,57.9655679515006,61.2680959538743
"N",2013,"C3","C","Seedling",3,"Carill","Carya","illinoiensis",2.97846468718174,2.93172978295787,3.52075364924091,0.582664661810902,0.628672549350859,0.704150729848182,3.56112934899265,3.56040233230873,4.22490437908909
"N",2013,"C3","C","Seedling",3,"Fralan","Fraxinus","lanceolata",0.377301559648267,0.443008349980334,0.626838774623242,0.0761428687338177,0.0964199463226047,0.125367754924648,0.453444428382084,0.539428296302939,0.752206529547891
"N",2013,"C3","C","Seedling",3,"Popdel","Populus","deltoides",13.1281923014526,13.375406486274,18.441029925083,2.47157798521505,2.76771149420219,3.6882059850166,15.5997702866676,16.1431179804762,22.1292359100996
"N",2013,"D1","D","Acorn",1,"Aceneg","Acer","negundo",6.04494317973121,5.63806286506738,5.77832900504585,1.15055918120923,1.18364736866633,1.15566580100917,7.19550236094045,6.82171023373371,6.93399480605502
"N",2013,"D1","D","Acorn",1,"Quebic","Quercus","bicolor",1.63759019013037,1.57398398584917,2.31110912488653,0.319308240052521,0.336942350076707,0.462221824977307,1.9568984301829,1.91092633592588,2.77333094986384
"N",2013,"D1","D","Acorn",1,"Quepal","Quercus","palustris",1.9783898527201,1.89903253006602,2.92466904696866,0.390596071837375,0.409285894043749,0.584933809393732,2.36898592455748,2.30831842410977,3.50960285636239
"N",2013,"D2","D","Acorn",2,"Quepal","Quercus","palustris",2.37752478694785,2.28755983144275,3.23575646582575,0.459895478801997,0.487097121402811,0.647151293165149,2.83742026574985,2.77465695284556,3.88290775899089
"N",2013,"D2","D","Acorn",2,"Salnig","Salix","nigra",6.47615625373669,6.29949207185082,6.44020193138751,1.25355383824242,1.33392122898064,1.2880403862775,7.7297100919791,7.63341330083146,7.72824231766501
"N",2013,"D3","D","Acorn",3,"Quebic","Quercus","bicolor",3.84968130228787,3.69814051383605,5.53977363396899,0.754579339504202,0.793872824783724,1.1079547267938,4.60426064179207,4.49201333861977,6.64772836076279
"N",2013,"D3","D","Acorn",3,"Quepal","Quercus","palustris",5.78975512103303,5.56787287171653,8.02103783022429,1.12438048267723,1.1886394471627,1.60420756604486,6.91413560371026,6.75651231887923,9.62524539626915
"N",2013,"E1","E","Seedbank",1,"Salexi","Salix","exigua",2.22065452989649,1.98995127272804,1.73239987116259,0.469008327078499,0.439106751776904,0.346479974232518,2.68966285697499,2.42905802450494,2.07887984539511
"N",2013,"E3","E","Seedbank",3,"Salnig","Salix","nigra",0.807477254289546,0.747858812005057,0.693877900770264,0.162134962320181,0.162317871254325,0.138775580154053,0.969612216609727,0.910176683259382,0.832653480924317
"N",2013,"R1","R","Reference",1,"Acesai","Acer","saccharinum",63.548288257753,59.9146219062224,66.9898585503392,11.9349933345229,12.3456064562486,13.3979717100678,75.4832815922758,72.260228362471,80.3878302604071
"N",2013,"R1","R","Reference",1,"Celocc","Celtis","occidentalis",3.33997304115341,3.60948744362362,3.87951814253768,0.650565220697566,0.771640338362133,0.775903628507536,3.99053826185097,4.38112778198575,4.65542177104522
"N",2013,"R1","R","Reference",1,"Fralan","Fraxinus","lanceolata",73.5271404195016,67.1821003434752,90.4500278316496,13.7392487151922,13.683306755933,18.0900055663299,87.2663891346938,80.8654070994082,108.540033397979
"N",2013,"R2","R","Reference",2,"Acesai","Acer","saccharinum",65.953577189844,62.4200763681,72.0407201421553,12.3561852791269,12.7775075001435,14.4081440284311,78.3097624689709,75.1975838682435,86.4488641705864
"N",2013,"R2","R","Reference",2,"Fralan","Fraxinus","lanceolata",5.90914596835692,6.22312792544306,8.61730039915181,1.13310749786632,1.31595087931326,1.72346007983036,7.04225346622323,7.53907880475632,10.3407604789822
"N",2013,"R3","R","Reference",3,"Fralan","Fraxinus","lanceolata",59.5700382514487,56.1922558365194,76.1360362609211,11.1740470560271,11.542434195203,15.2272072521842,70.7440853074758,67.7346900317224,91.3632435131053
"N",2013,"R3","R","Reference",3,"Ulmame","Ulmus","americana",1.27720818545299,1.38225159845779,1.41234202068667,0.248754633962424,0.295687691439896,0.282468404137334,1.52596281941542,1.67793928989769,1.694810424824
"N",2022,"A2","A","Balled-and-burlapped",2,"Acesai","Acer","saccharinum",29.3726875267717,27.9675556739018,33.8555118804831,5.47645615442648,5.66538220435685,6.77110237609663,34.8491436811981,33.6329378782587,40.6266142565798
"N",2022,"A2","A","Balled-and-burlapped",2,"Betnig","Betula","nigra",6.39558748200521,6.2223539946371,9.72236696524731,1.2136793877394,1.30183748443646,1.94447339304946,7.60926686974461,7.52419147907356,11.6668403582968
"N",2022,"A2","A","Balled-and-burlapped",2,"Quebic","Quercus","bicolor",4.55405321609653,4.39993895214776,5.36383900036617,0.861703181405923,0.917239486786537,1.07276780007323,5.41575639750245,5.3171784389343,6.4366068004394
"N",2022,"A2","A","Balled-and-burlapped",2,"Quepal","Quercus","palustris",1.57384009526528,1.51607301389273,2.05571833414076,0.302103854527924,0.320882080915943,0.411143666828152,1.8759439497932,1.83695509480867,2.46686200096891
"N",2022,"B2","B","Bareroot",2,"Acesai","Acer","saccharinum",67.9286300595096,63.5396008922147,66.7315726334204,12.8930622958242,13.273257943875,13.3463145266841,80.8216923553338,76.8128588360896,80.0778871601045
"N",2022,"B2","B","Bareroot",2,"Fraxpen","Fraxinus","pennsylvanica",0.154024302024594,0.187654476756529,0.267900151943158,0.0320564768285499,0.0412472304466906,0.0535800303886317,0.186080778853144,0.22890170720322,0.32148018233179
"N",2022,"B2","B","Bareroot",2,"Popdel","Populus","deltoides",0.978236875563487,0.946876791666583,1.67365397178785,0.188481464567767,0.20102628522706,0.33473079435757,1.16671834013125,1.14790307689364,2.00838476614542
"N",2022,"B2","B","Bareroot",2,"Quebic","Quercus","bicolor",1.19836705056009,1.15063541538513,1.75575547722707,0.236334266675046,0.247622470399957,0.351151095445414,1.43470131723514,1.39825788578509,2.10690657267248
"N",2022,"B2","B","Bareroot",2,"Quepal","Quercus","palustris",0.216633649676908,0.207529360321161,0.343224584489172,0.043763190730025,0.045185926729071,0.0686449168978344,0.260396840406933,0.252715287050232,0.411869501387006
"N",2022,"B3","B","Bareroot",3,"Acesai","Acer","saccharinum",81.4433749046059,76.2547994705625,80.7116032432968,15.4376798884292,15.9028249010622,16.1423206486594,96.8810547930351,92.1576243716247,96.8539238919562
"N",2022,"B3","B","Bareroot",3,"Fraxpen","Fraxinus","pennsylvanica",0.532055233991639,0.587381010015951,0.821850954362885,0.103784223929051,0.125770753973562,0.164370190872577,0.63583945792069,0.713151763989513,0.986221145235462
"N",2022,"B3","B","Bareroot",3,"Popdel","Populus","deltoides",1.64900767677038,1.62056458950642,2.66112816141651,0.31496520289738,0.341446689703724,0.532225632283302,1.96397287966776,1.96201127921014,3.19335379369981
"N",2022,"B3","B","Bareroot",3,"Quebic","Quercus","bicolor",1.72008713254215,1.65257937187209,2.46494299584132,0.336830471900378,0.354534403297721,0.492988599168264,2.05691760444252,2.00711377516981,2.95793159500959
"N",2022,"C1","C","Seedling",1,"Carill","Carya","illinoiensis",14.3662955951493,15.4093421976829,16.0140696306812,2.75599264026606,3.25013814648194,3.20281392613624,17.1222882354154,18.6594803441649,19.2168835568174
"N",2022,"C1","C","Seedling",1,"Fraxpen","Fraxinus","pennsylvanica",0.803495348539664,0.867952618992677,1.20904838184318,0.155379637442944,0.184777912491985,0.241809676368636,0.958874985982608,1.05273053148466,1.45085805821182
"N",2022,"C1","C","Seedling",1,"Moralb","Morus","alba",0.106294865303564,0.12100555968257,0.12356553336983,0.0219430467745683,0.0265417094158311,0.024713106673966,0.128237912078132,0.147547269098401,0.148278640043796
"N",2022,"C1","C","Seedling",1,"Popdel","Populus","deltoides",42.1029436293826,45.4643736358928,47.2813455856335,7.83175166907017,9.1376571385138,9.45626911712671,49.9346952984528,54.6020307744066,56.7376147027602
