"trt","trt.full","num","fwd.count","fwd.vol","fwd.carbon","cwd.area.sum","cwd.vol.sum","cwd.carbon.sum","snag.area","snag.minvol","snag.carbonmin","dead.stem.count","dead.stem.volmin","dead.stem.carbonmin","live.stem.count","live.stem.carbon","live.woody.C.stock","SOC","TC","FWD.C.Mg.ha","FWD.CN.ratio","HL.C.Mg.ha","HL.CN.ratio","PA.C.Mg.ha","HJ.C.Mg.ha","mix.C.Mg.ha","total.C.Mg.ha","bm.CN.ratio","N.herb","N.tree"
"A","Balled-and-burlapped",1,0.104166666666667,3.21264537875627,0.404279294462689,0.39310814324216,6.17470441796955,0.772208534511271,2.39909141071402,3.29059367363635,0.552819737170907,0,0,0,0,0,105.290287309406,67.2466136600397,111.439573063207,1.5939234,41.34188034,1.749265022,17.78318584,0,0,0.1803568,0.1803568,11.0740740740741,17.5,3
"A","Balled-and-burlapped",2,0.3125,9.6379361362688,1.21283788338807,0,0,0,2.0423761094529,2.80132298208326,0.474902003987414,0,0,0,0,0,50.8402246866127,77.5405845154804,116.147530022276,0.6399966,63.53333333,2.054237422,15.54883721,0,0.4710826667,0.1696086,0.6406912667,11.2360843340391,16.5,4
"A","Balled-and-burlapped",3,0.666666666666667,20.5609304240401,2.58738748456121,1.64742173511136,25.8767019735454,3.22449690466199,2.59388651769832,3.55777463382623,0.601721828586446,0,0,0,798.611111111111,0.0730585900773624,221.676395636577,74.8973111368389,111.989510581422,1.7765034,57.53571429,1.978899822,15.81659389,0,0.048529,0.198832,0.247361,12.792284805086,18,2
"B","Bareroot",1,0.4375,13.4931105907763,1.69797303674329,4.34521533899638,68.2520085426011,8.5355961883377,10.3740598138521,14.2290599853497,2.39048207753875,0,0,0,312.5,0.0288062489344749,8.65825982684272,76.8672224535208,109.410430172854,3.190567822,44.98360656,2.789304711,16.91588785,0.03848235556,0.5335263333,0.7779480444,1.34995673326,12.6490323440397,12.5,2
"B","Bareroot",3,1.1875,36.6241573178215,4.60878395687465,5.85430882257937,91.9559341935861,11.5000091302499,10.374877936939,14.2301821229397,2.38799592934158,0,0,0,0,0,86.5863084680472,65.5523361315622,95.6562480133622,5.073584356,63.16883117,1.433957822,18.68367347,0.1757591111,0,0.104475,0.2802341111,22.1225812676526,13.5,4
"B","Bareroot",2,0.854166666666667,26.3436921058014,3.31509021459405,8.06895165628106,126.742201343129,15.8503796999717,10.4173112543781,14.2883836592768,2.39655019365618,0,0,0,0,0,70.7171061763701,71.9088930014489,110.068849442025,4.273834667,58.29761905,1.733834933,18.39226519,0,0.00191111111,0.0161896,0.01810071111,9.15554256682328,16,5
"C","Seedling",1,0.729166666666667,22.4885176512939,2.82995506123882,6.31317769954433,99.1635683537334,12.4076822870794,0.861565422785263,1.18172309607713,0.198031554963241,0,0,0,0,0,66.5670953055545,67.7695654945063,118.728858699174,0.3097866222,33.85915493,1.5439716,17.46666667,0,0,0.1878308889,0.1878308889,11.0179104477612,16.5,5
"C","Seedling",3,0.583333333333333,17.9908141210351,2.26396404899106,0.439888421349521,6.90950066899868,0.864102153664975,4.65933369820102,6.39074189594878,1.07364463851939,0,0,0,17.3611111111111,0.00115018633430035,213.921017036299,68.3511360899353,97.7883274508922,4.407233867,40.8220339,2.197945467,17.69724771,0,0,0.05303871111,0.05303871111,17.6017316017316,12,2
"C","Seedling",2,0.604166666666667,18.6333431967864,2.34481990788359,2.58289639756467,40.5705709010856,5.07375559688977,8.9713196044856,12.3050615757505,2.0669530474632,0,0,0,173.611111111111,0.0156938070869621,193.917689118243,69.1014387784686,103.268977823226,2.707689222,49.24752475,1.947175467,18.80213904,0,0.02207297778,0.2468209111,0.26889388888,25.0261632295973,16.5,2
"D","Acorn",3,0.125,3.85517445450752,0.485135153355227,0.726771462992176,11.4156855830574,1.43579219122636,1.74921533665697,2.39922367898355,0.41303440000551,0,0,0,0,0,28.1757710065263,67.2873380447123,103.924096877611,0.1500779556,43.95327103,2.954342756,16.77319588,0.05295066667,0,0.00436888889,0.05731955556,15.3286345916136,14.5,2
"D","Acorn",2,0.145833333333333,4.49770353025878,0.565991012247764,2.07379476306575,32.5739110359158,4.07369331415164,2.72516800237177,3.73784031244223,0.6511556874664,0,0,0,0,0,76.4175903687386,63.1029869578775,90.6182878850145,0.1067058444,47.2745098,1.744505556,16.42857143,0.02778564444,0.4958871556,0.1469673333,0.67064013334,13.7647960307654,19,4
"D","Acorn",1,0.0833333333333333,2.57011630300501,0.323423435570151,1.16050759872842,18.2285498790631,2.27966244787563,2.02792260158482,2.78149855132578,0.467512058882425,17.3611111111111,0.0116889332296427,0.00198073941372919,104.166666666667,0.00498556825856677,14.0784895018244,61.4774709203925,92.8742489727503,0.1045111111,44.89090909,1.154229956,17.38383838,0.01993004444,0.01820388889,0.5665748667,0.60470880003,20.6715907355793,17,3
"E","Seedbank",1,0.208333333333333,6.42529075751254,0.808558588925377,0.958840257814385,15.0608815356094,1.88486313534146,0.0558505360638185,0.0766045928137866,0.0129809738218156,434.027777777778,0.292223330741068,0.0495184853432296,1718.75,0.0822618762663517,17.3385385591139,80.0997465467538,116.094749811222,0,37.62015504,0.6859305333,16.19230769,1.723644,1.003869978,0.03167608889,2.75919006689,14.9294147226077,3.5,1
