"redo","year","plot","trt","trt.full","num","spp","genus","species","dbh","basal.area"
"N",2013,"A1","A","Balled-and-burlapped","1","Acesai","Acer","saccharinum",49.8,0.194781886
"N",2013,"A1","A","Balled-and-burlapped","1","Acesai","Acer","saccharinum",49.6,0.193220515
"N",2013,"A2","A","Balled-and-burlapped","2","Acesai","Acer","saccharinum",43,0.14522012
"N",2013,"A2","A","Balled-and-burlapped","2","Acesai","Acer","saccharinum",27.8,0.060698712
"N",2013,"A2","A","Balled-and-burlapped","2","Acesai","Acer","saccharinum",27.7,0.060262816
"N",2013,"A2","A","Balled-and-burlapped","2","Fralan","Fraxinus","lanceolata",24.8,0.048305129
"N",2013,"A2","A","Balled-and-burlapped","2","Quebic","Quercus","bicolor",19.1,0.02865211
"N",2013,"A2","A","Balled-and-burlapped","2","Acesai","Acer","saccharinum",9.3,0.006792909
"N",2013,"A2","A","Balled-and-burlapped","2","Acesai","Acer","saccharinum",5,0.001963495
"N",2013,"A3","A","Balled-and-burlapped","3","Quebic","Quercus","bicolor",22.4,0.039408138
"N",2013,"B1","B","Bareroot","1","Popdel","Populus","deltoides",42.9,0.144545463
"N",2013,"B1","B","Bareroot","1","Popdel","Populus","deltoides",41.1,0.132670243
"N",2013,"B1","B","Bareroot","1","Popdel","Populus","deltoides",41.1,0.132670243
"N",2013,"B1","B","Bareroot","1","Popdel","Populus","deltoides",36.7,0.105784493
"N",2013,"B1","B","Bareroot","1","Acesai","Acer","saccharinum",28.6,0.064242428
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",26.8,0.056410438
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",24.1,0.045616711
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",23.3,0.042638481
"N",2013,"B1","B","Bareroot","1","Acesai","Acer","saccharinum",22.2,0.038707563
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",20.5,0.033006358
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",18.2,0.026015529
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",17.8,0.024884555
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",14.8,0.017203361
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",13.2,0.013684778
"N",2013,"B1","B","Bareroot","1","Acesai","Acer","saccharinum",12.5,0.012271846
"N",2013,"B1","B","Bareroot","1","Quebic","Quercus","bicolor",11.4,0.010207035
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",9.3,0.006792909
"N",2013,"B1","B","Bareroot","1","Quebic","Quercus","bicolor",8.8,0.006082123
"N",2013,"B1","B","Bareroot","1","Fralan","Fraxinus","lanceolata",7.5,0.004417865
"N",2013,"B2","B","Bareroot","2","Popdel","Populus","deltoides",42.8,0.143872377
"N",2013,"B2","B","Bareroot","2","Popdel","Populus","deltoides",41.1,0.132670243
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",28.1,0.062015824
"N",2013,"B2","B","Bareroot","2","Fralan","Fraxinus","lanceolata",25.5,0.051070516
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",24.7,0.047916357
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",24.4,0.046759465
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",23.9,0.044862728
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",21.6,0.036643537
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",21.1,0.034966712
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",19.1,0.02865211
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",18.6,0.027171635
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",16.6,0.021642432
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",15.5,0.018869191
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",14.1,0.015614501
"N",2013,"B2","B","Bareroot","2","Quebic","Quercus","bicolor",12.3,0.011882289
"N",2013,"B2","B","Bareroot","2","Acesai","Acer","saccharinum",12.2,0.011689866
"N",2013,"B2","B","Bareroot","2","Quebic","Quercus","bicolor",12,0.011309734
