"redo","year","plot","trt","trt.full","num","abC_ha1","abC_ha2","abC_ha3","bgC_ha1","bgC_ha2","bgC_ha3","bmC_ha1","bmC_ha2","bmC_ha3"
"N",2013,"A1","A","Balled-and-burlapped",1,25.270736163387,23.8899508652689,27.2962452303189,4.73492304325762,4.89975356164166,5.59837366316899,30.0056592066446,28.7897044269106,32.8946188934879
"N",2013,"A2","A","Balled-and-burlapped",2,19.0545783915996,18.1011129750179,20.5682172206615,3.60834272227175,3.76950292533457,4.28439466833796,22.6629211138714,21.8706159003525,24.8526118889995
"N",2013,"A3","A","Balled-and-burlapped",3,2.04877604934285,1.97503116952146,2.60823380250954,0.391633485384915,0.416450872020357,0.549966632552564,2.44040953472777,2.39148204154182,3.1582004350621
"N",2013,"B1","B","Bareroot",1,42.6229213123675,43.3166547897414,57.307624710762,8.07756057641052,9.0244165888055,11.9382111371429,50.700481888778,52.3410713785469,69.245835847905
"N",2013,"B2","B","Bareroot",2,39.3135096348104,38.1524655989982,45.30562348988,7.51295536331949,8.00358026150377,9.49641218282967,46.8264649981299,46.1560458605019,54.8020356727096
"N",2013,"B3","B","Bareroot",3,43.2340677150415,40.6981869605244,43.9111565429518,8.3056389075551,8.5958508826346,9.27260476185382,51.5397066225966,49.294037843159,53.1837613048056
"N",2013,"C1","C","Seedling",1,4.63848077828116,4.51169645683109,6.1922428481398,0.916648128381791,0.971594829044239,1.33376668577116,5.55512890666296,5.48329128587533,7.52600953391095
"N",2013,"C2","C","Seedling",2,72.2226527276347,68.6531579432629,75.6860520390674,13.7140579783774,14.3304231770039,15.7814725032202,85.9367107060121,82.9835811202667,91.4675245422876
"N",2013,"C3","C","Seedling",3,29.3841954919749,28.0885538335575,31.9641358407881,5.58783009231112,5.85611481253126,6.65442541377163,34.972025584286,33.9446686460887,38.6185612545597
"N",2013,"D1","D","Acorn",1,4.19310903757886,3.9544615368848,4.78042846219663,0.807492835546497,0.837619623605376,1.01485297563998,5.00060187312536,4.79208116049017,5.79528143783661
"N",2013,"D2","D","Acorn",2,3.84274350724155,3.72701905524894,4.1996347210127,0.743684599411637,0.790372547909485,0.890307228254976,4.58642810665319,4.51739160315843,5.08994194926767
"N",2013,"D3","D","Acorn",3,4.18378316984414,4.02170719859053,5.88576886466722,0.815520756155137,0.860465395810079,1.25948689632361,4.99930392599928,4.88217259440061,7.14525576099084
"N",2013,"E1","E","Seedbank",1,0.963825750823131,0.863694128788211,0.751909666303208,0.203562641961154,0.190584527680948,0.165904236341979,1.16738839278429,1.05427865646916,0.917813902645186
"N",2013,"E3","E","Seedbank",3,0.350467558285393,0.324591498266084,0.301162283320427,0.0703710773959121,0.0704504649541342,0.0653547309993653,0.420838635681305,0.395041963220218,0.366517014319793
"N",2013,"R1","R","Reference",1,60.9441847736146,56.7301257349485,70.0171026582146,11.4256976000055,11.6321847007569,14.3472045900087,72.36988237362,68.3623104357053,84.3643072482233
"N",2013,"R2","R","Reference",2,31.1904180374136,29.7930574190725,35.0078214154979,5.85472776779221,6.11695242163924,7.18906197066696,37.0451458052058,35.9100098407117,42.1968833861648
"N",2013,"R3","R","Reference",3,26.4093951549052,24.9889355186533,33.6581502958367,4.95781323350241,5.13807373552208,6.91929295824835,31.3672083884077,30.1270092541754,40.577443254085
"N",2022,"A2","A","Balled-and-burlapped",2,41.8961683201387,40.1059216345794,50.9974361802374,7.85394257809973,8.20534125649579,10.4455805755676,49.7501108982384,48.3112628910752,61.443016755805
"N",2022,"B2","B","Bareroot",2,70.4758919373347,66.0322969363441,70.7721068188676,13.3936976946256,13.8083398566777,14.8008104752654,83.8695896319603,79.8406367930218,85.572917294133
"N",2022,"B3","B","Bareroot",3,85.3445249479101,80.1153244419569,86.6595253549175,16.193259787156,16.7245767480372,18.0903751862446,101.537784735066,96.8399011899941,104.749900541162
"N",2022,"C1","C","Seedling",1,59.1369823323547,63.5533760382655,67.0569844737938,11.1062123227017,12.959917286244,13.6874577237934,70.2431946550564,76.5132933245095,80.7444421975872
"N",2022,"C3","C","Seedling",3,194.556382268913,188.244055467718,214.031844856258,36.5323002580519,38.6225838796984,43.8592144575551,231.088682526965,226.866639347417,257.891059313813
"N",2022,"D1","D","Acorn",1,11.4193304496413,10.9936152762101,14.0662707377008,2.18345201408761,2.31458715661603,2.9613286528823,13.6027824637289,13.3082024328262,17.0275993905831
"N",2022,"D2","D","Acorn",2,63.599579553737,61.8246839265889,76.4117284652483,11.9760106639872,12.7337020117766,15.7493678125602,75.5755902177242,74.5583859383655,92.1610962778085
"N",2022,"D3","D","Acorn",3,25.0910000790679,24.6903951835995,28.1653864563797,4.77805766050928,5.16931123075339,5.89309958495557,29.8690577395772,29.8597064143529,34.0584860413353
"N",2022,"E1","E","Seedbank",1,15.5536536746513,15.7472825242724,17.3385385591139,2.93510517570849,3.26873326642401,3.59861068154889,18.4887588503598,19.0160157906964,20.9371492406628
"N",2022,"E2","E","Seedbank",2,12.5552166017079,12.1125679815016,16.4926964853899,2.36465671034031,2.50336862271302,3.40903402231028,14.9198733120482,14.6159366042146,19.9017305077002
"N",2022,"E3","E","Seedbank",3,23.5482425235282,22.2303721214578,24.1198483401896,4.44730869942509,4.61470581229246,5.0054061888229,27.9955512229533,26.8450779337502,29.1252545290125
"N",2022,"R1","R","Reference",1,146.631161720781,139.776385599014,159.643304491002,27.5220170314255,28.7127979873374,32.7791610089218,174.153178752207,168.489183586351,192.422465499924
"N",2022,"R2","R","Reference",2,44.8682900266086,43.2862954992182,48.816848183258,8.44728711142231,8.93962375195287,10.0781039033932,53.3155771380309,52.225919251171,58.8949520866512
"N",2022,"R3","R","Reference",3,38.1560482954924,35.9187490168626,39.6944942322514,7.1814520112375,7.42108622632073,8.19871656948606,45.3375003067299,43.3398352431833,47.8932108017375
"Y",2022,"A1","A","Balled-and-burlapped",1,89.7439972749928,86.044188320546,105.344306189433,16.7519667099108,17.4210740775955,21.3128556233874,106.495963984904,103.465262398141,126.65716181282
"Y",2022,"A3","A","Balled-and-burlapped",3,184.752714647353,176.777260722041,221.789681645264,34.422521532528,35.618236176245,44.6676241969075,219.175236179881,212.395496898286,266.457305842172
"Y",2022,"B1","B","Bareroot",1,6.58179666160553,6.34338043585434,8.65053554456604,1.26640108106458,1.34397040065947,1.83326502278154,7.84819774267011,7.68735083651381,10.4838005673476
"Y",2022,"C2","C","Seedling",2,187.791980863589,176.687641387767,194.032125712287,35.4034471369928,36.5683869618405,40.1377695018707,223.195428000581,213.256028349608,234.169895214158
