"redo","year","plot","trt","trt.full","num","spp","genus","species","abC_ha1","abC_ha2","abC_ha3","bgC_ha1","bgC_ha2","bgC_ha3","bmC_ha1","bmC_ha2","bmC_ha3"
"N",2013,"A1","A","Balled-and-burlapped",1,"Acesai","Acer","saccharinum",25.270736163387,23.8899508652689,27.2962452303189,4.73492304325762,4.89975356164166,5.59837366316899,30.0056592066446,28.7897044269106,32.8946188934879
"N",2013,"A2","A","Balled-and-burlapped",2,"Acesai","Acer","saccharinum",15.6347290186567,14.67582094462,15.8547423277803,2.954309805914,3.04723927768895,3.29051040389489,18.5890388245707,17.7230602223089,19.1452527316751
"N",2013,"A2","A","Balled-and-burlapped",2,"Fralan","Fraxinus","lanceolata",2.02985774387655,2.08678397050202,2.87580463873556,0.386651673201968,0.438460822891221,0.604244467179343,2.41650941707852,2.52524479339324,3.48004910591491
"N",2013,"A2","A","Balled-and-burlapped",2,"Quebic","Quercus","bicolor",1.38999162906636,1.33850805989589,1.83767025414572,0.267381243155776,0.283802824754403,0.389639797263725,1.65737287222214,1.6223108846503,2.22731005140945
"N",2013,"A3","A","Balled-and-burlapped",3,"Quebic","Quercus","bicolor",2.04877604934285,1.97503116952146,2.60823380250954,0.391633485384915,0.416450872020357,0.549966632552564,2.44040953472777,2.39148204154182,3.1582004350621
"N",2013,"B1","B","Bareroot",1,"Acesai","Acer","saccharinum",5.78095898372134,5.38835491234808,5.49799105400871,1.10273621830071,1.13250812819604,1.15520535821878,6.88369520202205,6.52086304054413,6.65319641222749
"N",2013,"B1","B","Bareroot",1,"Fralan","Fraxinus","lanceolata",10.4560603211852,10.9806538930341,15.1985737076343,2.0058728660982,2.32066541442196,3.2122740002473,12.4619331872834,13.3013193074561,18.4108477078816
"N",2013,"B1","B","Bareroot",1,"Popdel","Populus","deltoides",25.7793796839559,26.3659902235109,35.6849478925613,4.84797212858304,5.44528880801537,7.3701614084018,30.6273518125389,31.8112790315263,43.0551093009631
"N",2013,"B1","B","Bareroot",1,"Quebic","Quercus","bicolor",0.606522323505094,0.581655760848305,0.926112056557735,0.120979363428574,0.12595423817212,0.200570370275072,0.727501686933667,0.707609999020425,1.12668242683281
"N",2013,"B2","B","Bareroot",2,"Acesai","Acer","saccharinum",20.3954198675477,18.9449729297445,18.8108285238503,3.91949979366141,4.00560645708447,3.97532048324274,24.3149196612091,22.950579386829,22.7861490070931
"N",2013,"B2","B","Bareroot",2,"Fralan","Fraxinus","lanceolata",2.17514088464068,2.22799636802101,3.06818547157934,0.413951458094927,0.467678693553424,0.644042779209007,2.58909234273561,2.69567506157443,3.71222825078835
"N",2013,"B2","B","Bareroot",2,"Popdel","Populus","deltoides",13.9959591072569,14.3454807524851,19.2107619183517,2.63033020620614,2.95952068642195,3.96326346937026,16.626289313463,17.3050014389071,23.174025387722
"N",2013,"B2","B","Bareroot",2,"Quebic","Quercus","bicolor",2.74698977536515,2.63401554874753,4.21584757609859,0.549173905357016,0.57077442444392,0.91378545100766,3.29616368072217,3.20478997319145,5.12963302710625
"N",2013,"B3","B","Bareroot",3,"Acesai","Acer","saccharinum",36.5107027351076,33.9356859593549,33.8715098202105,7.00776147529045,7.1673052200423,7.14998587051464,43.5184642103981,41.1029911793972,41.0214956907252
"N",2013,"B3","B","Bareroot",3,"Fralan","Fraxinus","lanceolata",0.649098050096798,0.735058269209286,1.03263199319282,0.128162650885328,0.158457003867066,0.222605260520441,0.777260700982125,0.893515273076352,1.25523725371326
"N",2013,"B3","B","Bareroot",3,"Popdel","Populus","deltoides",4.05909320859354,4.09494538610491,5.92233131958871,0.766661993455304,0.851544071617651,1.23154905617637,4.82575520204884,4.94648945772256,7.15388037576508
"N",2013,"B3","B","Bareroot",3,"Quebic","Quercus","bicolor",2.01517372124353,1.93249734585528,3.08468340995974,0.403052787924023,0.418544587107587,0.668464574642364,2.41822650916755,2.35104193296287,3.7531479846021
"N",2013,"C1","C","Seedling",1,"Carill","Carya","illinoiensis",2.65391104987204,2.51130346605056,3.22793575202018,0.527596450595055,0.542512317539937,0.697657922002387,3.1815075004671,3.0538157835905,3.92559367402257
"N",2013,"C1","C","Seedling",1,"Fralan","Fraxinus","lanceolata",0.79462962054266,0.85837567265657,1.19461936429793,0.153665186196467,0.182739082130384,0.254321799977582,0.948294806739127,1.04111475478695,1.44894116427551
"N",2013,"C1","C","Seedling",1,"Quemac","Quercus","macrocarpa",1.18994010786646,1.14201731812396,1.76968773182168,0.235386491590269,0.246343429373919,0.381786963791189,1.42532659945673,1.38836074749788,2.15147469561287
"N",2013,"C2","C","Seedling",2,"Acesai","Acer","saccharinum",59.3660407123597,55.4781987565022,57.8713174032587,11.2943747521485,11.6082241766248,12.1000015951916,70.6604154645082,67.086422933127,69.9713189984503
"N",2013,"C2","C","Seedling",2,"Fralan","Fraxinus","lanceolata",0.122227473898071,0.14574653664792,0.206858837926694,0.0249477552643192,0.0318516018615936,0.0452071486481323,0.14717522916239,0.177598138509514,0.252065986574826
"N",2013,"C2","C","Seedling",2,"Popdel","Populus","deltoides",12.734384541377,13.0292126501128,17.607875797882,2.39473547096459,2.69034739851743,3.63626375938054,15.1291200123416,15.7195600486302,21.2441395572625
"N",2013,"C3","C","Seedling",3,"Acesai","Acer","saccharinum",22.2296995942828,20.8185257870244,22.1600462796131,4.22915582331817,4.34014085859218,4.61127752666458,26.458855417601,25.1586666456166,26.7713238062777
"N",2013,"C3","C","Seedling",3,"Carill","Carya","illinoiensis",1.29273640936708,1.27245216274213,1.52810488248303,0.252892648355426,0.272861349544644,0.327719064415845,1.5456290577225,1.54531351228678,1.85582394689888
"N",2013,"C3","C","Seedling",3,"Fralan","Fraxinus","lanceolata",0.163759357486227,0.192277929678965,0.272065440374671,0.033048120110164,0.0418489350358527,0.0592145388643941,0.196807477596391,0.234126864714817,0.331279979239065
"N",2013,"C3","C","Seedling",3,"Popdel","Populus","deltoides",5.69800013083879,5.80529795411198,8.00391923831728,1.07273350052736,1.20126366935859,1.65621428382681,6.77073363136615,7.00656162347057,9.66013352214409
"N",2013,"D1","D","Acorn",1,"Aceneg","Acer","negundo",2.62367325509167,2.44707589629661,2.50795529732893,0.499374644622063,0.513735837094762,0.526516777031484,3.12304789971374,2.96081173339137,3.03447207436041
"N",2013,"D1","D","Acorn",1,"Quebic","Quercus","bicolor",0.710759631132975,0.683152771635925,1.00308555767645,0.138588645856129,0.146242339443015,0.214730269284896,0.849348276989104,0.82939511107894,1.21781582696134
"N",2013,"D1","D","Acorn",1,"Quepal","Quercus","palustris",0.858676151354212,0.824232868952266,1.26938760719126,0.169529545068305,0.177641447067599,0.273605929323599,1.02820569642252,1.00187431601987,1.54299353651486
"N",2013,"D2","D","Acorn",2,"Quepal","Quercus","palustris",1.03191179989056,0.992864510174804,1.40440818829242,0.199607412674478,0.211413681164414,0.299044937049944,1.23151921256504,1.20427819133922,1.70345312534237
"N",2013,"D2","D","Acorn",2,"Salnig","Salix","nigra",2.81083170735099,2.73415454507414,2.79522653272027,0.544077186737159,0.57895886674507,0.591262291205032,3.35490889408815,3.31311341181921,3.3864888239253
"N",2013,"D3","D","Acorn",3,"Quebic","Quercus","bicolor",1.67086862078467,1.60509570913023,2.40441563974349,0.327508393882032,0.344562857979047,0.516224966698974,1.9983770146667,1.94965856710928,2.92064060644246
"N",2013,"D3","D","Acorn",3,"Quepal","Quercus","palustris",2.51291454905947,2.4166114894603,3.48135322492374,0.488012362273105,0.515902537831032,0.74326192962464,3.00092691133258,2.93251402729133,4.22461515454838
"N",2013,"E1","E","Seedbank",1,"Salexi","Salix","exigua",0.963825750823131,0.863694128788211,0.751909666303208,0.203562641961154,0.190584527680948,0.165904236341979,1.16738839278429,1.05427865646916,0.917813902645186
"N",2013,"E3","E","Seedbank",3,"Salnig","Salix","nigra",0.350467558285393,0.324591498266084,0.301162283320427,0.0703710773959121,0.0704504649541342,0.0653547309993653,0.420838635681305,0.395041963220218,0.366517014319793
"N",2013,"R1","R","Reference",1,"Acesai","Acer","saccharinum",27.5817223340942,26.0046102023535,29.0754594402514,5.18011863477555,5.35833613552459,5.99107816100765,32.7618409688697,31.3629463378781,35.0665376012591
"N",2013,"R1","R","Reference",1,"Celocc","Celtis","occidentalis",1.4496410768895,1.56661781407275,1.6838186382542,0.282363377038874,0.334913341303009,0.359934191395775,1.73200445392837,1.90153115537576,2.04375282964998
"N",2013,"R1","R","Reference",1,"Fralan","Fraxinus","lanceolata",31.9128213626309,29.1588977185222,39.257824579709,5.96321558819104,5.93893522392926,7.99619223760524,37.8760369508219,35.0978329424515,47.2540168173143
"N",2013,"R2","R","Reference",2,"Acesai","Acer","saccharinum",28.6256845442031,27.0920470347656,31.2676736728105,5.36292763850996,5.54579318582619,6.39816476694097,33.9886121827131,32.6378402205918,37.6658384397514
"N",2013,"R2","R","Reference",2,"Fralan","Fraxinus","lanceolata",2.56473349321047,2.70101038430688,3.74014774268742,0.491800129282257,0.571159235813048,0.790897203725997,3.05653362249272,3.27216962011993,4.53104494641342
