variable,label,unit,description
int.fwd.carbon,Fine woody debris (2.5-7.5 cm),Mg C per ha,carbon storage in intermediate fine woody debris with intersection diameters >=2.5 cm and <7.6 cm
cwd.carbon,Coarse woody debris (>= 7.6 cm),Mg C per ha,carbon storage in coarse woody debris with intersection diameters >=2.5 cm and <7.6 cm
snag.carbonmin,Standing dead trees (>= 2.5 cm),Mg C per ha,lower bound estimate of carbon storage in standing dead trees with diameters at breast height >=2.5 cm
dead.stem.carbonmin,Dead stems (< 2.5 cm),Mg C per ha,lower bound estimate of carbon storage in standing dead stems with diameters at breast height <2.5 cm
aboveground.woody.c.stock,Aboveground live trees (>= 2.5 cm),Mg C per ha,aboveground carbon storage in live standing trees with diameters at breast height >=2.5 cm
belowground.woody.c.stock,Belowground live trees (>= 2.5 cm),Mg C per ha,belowground carbon storage in live standing trees with diameters at breast height >=2.5 cm
total.woody.c.stock,Live trees (>= 2.5 cm),Mg C per ha,total carbon storage in live standing trees with diameters at breast height >=2.5 cm
abg.live.stem.carbon,Aboveground live stems (< 2.5 cm),Mg C per ha,aboveground carbon storage in live standing trees with diameters at breast height <2.5 cm
bg.live.stem.carbon,Belowground live stems (< 2.5 cm),Mg C per ha,belowground carbon storage in live standing trees with diameters at breast height <2.5 cm
tot.live.stem.carbon,Live stems (< 2.5 cm),Mg C per ha,total carbon storage in live standing trees with diameters at breast height <2.5 cm
snag.frax.live.c,Live F. pennsylvanica (>= 2.5 cm),Mg C per ha,hypothetical total carbon storage in large diameter (>= 2.5 cm) Fraxinus pennsylvanica trees if there had not been mortality due to the Emerald Ash Borer
snag.frax.dead.c,Standing dead F. pennsylvanica (>= 2.5 cm),Mg C per ha,lower bound estimate of actual carbon storage in standing dead Fraxinus pennsylvanic trees with diameters at breast height >=2.5 cm
herbaceous.biomass.c.stock,Herbaceous biomass,Mg C per ha,total carbon storage of all living herbaceous biomass in the understory layer
mixed.biomass.c.stock,Mixed biomass,Mg C per ha,total carbon storage of living herbaceous biomass in the understory layer for all species except Phalaris arundinacea and Humulus japonius
p.arundinacea.c.stock,P. arundinacea biomass,Mg C per ha,total carbon storage of living Phalaris arundinacea biomass in the understory layer
h.japonicus.c.stock,H. japonicus biomass,Mg C per ha,total carbon storage of living Humulus japonicus biomass in the understory layer
herbaceous.litter.c.stock,Herbaceous litter,Mg C per ha,total carbon storage of standing herbaceous litter in the understory layer
fine.woody.debris.c.stock,Fine woody debris (< 2.5 cm),Mg C per ha,total carbon storage of fine woody debris (<2.5 cm) in the understory layer
fine.woody.debris.cn.ratio,Fine woody debris C:N ratio,unitless (g C/g N),carbon to nitrogen ratio of fine woody debris (<2.5 cm) in the understory layer
herbaceous.litter.cn.ratio,Herbaceous litter C:N ratio,unitless (g C/g N),carbon to nitrogen ratio of standing herbaceous litter in the understory layer
herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,unitless (g C/g N),carbon to nitrogen ratio of all living herbaceous biomass in the understory layer
MOC,Mineral-associated organic carbon,Mg C per ha,mineral-associated organic carbon stock in surface soils (0-30 cm)
POC,Particulate organic carbon,Mg C per ha,particulate organic carbon stock in surface soils (0-30 cm)
SOC,Soil organic carbon,Mg C per ha,"total soil organic carbon stock in surface soils (0-30 cm), which is the sum of particulate and mineral-associated organic carbon"
TIC,Soil inorganic carbon,Mg C per ha,total soil inorganic carbon stock in surface soils (0-30 cm)
TC,Total soil carbon,Mg C per ha,"total soil carbon stock in surface soils (0-30 cm), which is the sum of total soil organic and inorganic carbon"
total.abg.wood.carbon,Aboveground woody biomass,Mg C per ha,"total aboveground carbon stock in living woody biomass, including large trees (>= 2.5 cm) and small stems (< 2.5 cm)"
total.bg.wood.carbon,Belowground woody biomass,Mg C per ha,"total belowground carbon stock in living woody biomass, including large trees (>= 2.5 cm) and small stems (< 2.5 cm)"
total.live.carbon,Total live vegetation,Mg C per ha,"total carbon stock in living woody biomass, including large trees (>= 2.5 cm) and small stems (< 2.5 cm)"
total.dead.carbon,Total dead vegetation,Mg C per ha,"total carbon stock in dead vegetation, including large standing dead trees (>= 2.5 cm), small dead stems (<2.5 cm), coarse woody debris (>= 7.6 cm), and all fine woody debris (<7.6 cm)"
total.veg.carbon,Total vegetation,Mg C per ha,total carbon stock in living and dead vegetation
total.ecosystem.carbon,Total ecosystem,Mg C per ha,"total ecosystem carbon stock, which is the sum of the total vegetation and total soil carbon stocks"
n.herb,Herbaceous layer richness,integer species count,"total number of species in the herbaceous layer, including small trees below breast height (1.37 m or 4.5 ft)"
n.tree,Tree layer richness,integer species count,"total number of species in the tree layer, which includes all trees above breast height (1.37 m or 4.5 ft)"
n.total,Total richness,integer species count,"total number of species in herbaceous layer and tree layer, which accounts for potential overlap between the layers"
