"treatment","plot","species","tot.live.stem.carbon"
"A","3","Morus alba",2.68750970762527
"A","1","Morus alba",0
"A","2","Morus alba",0
"A","3","Ulmus americana",0.0479709329436689
"A","1","Ulmus americana",0
"A","2","Ulmus americana",0
"A","3","Zanthoxylum americanum",0.0516253382016834
"A","1","Zanthoxylum americanum",0
"A","2","Zanthoxylum americanum",0
"A","3","Acer saccharinum",0
"A","1","Acer saccharinum",0
"A","2","Acer saccharinum",0
"A","3","Salix interior",0
"A","1","Salix interior",0
"A","2","Salix interior",0
"A","3","Salix nigra",0
"A","1","Salix nigra",0
"A","2","Salix nigra",0
"B","1","Morus alba",1.09943578948307
"B","2","Morus alba",0
"B","3","Morus alba",0
"B","1","Ulmus americana",0
"B","2","Ulmus americana",0
"B","3","Ulmus americana",0
"B","1","Zanthoxylum americanum",0
"B","2","Zanthoxylum americanum",0
"B","3","Zanthoxylum americanum",0
"B","1","Acer saccharinum",0
"B","2","Acer saccharinum",0
"B","3","Acer saccharinum",0
"B","1","Salix interior",0
"B","2","Salix interior",0
"B","3","Salix interior",0
"B","1","Salix nigra",0
"B","2","Salix nigra",0
"B","3","Salix nigra",0
"C","2","Morus alba",0.549717894741533
"C","3","Morus alba",0
"C","1","Morus alba",0
"C","2","Ulmus americana",0.0479709329436689
"C","3","Ulmus americana",0
"C","1","Ulmus americana",0
"C","2","Zanthoxylum americanum",0
"C","3","Zanthoxylum americanum",0
"C","1","Zanthoxylum americanum",0
"C","2","Acer saccharinum",0
"C","3","Acer saccharinum",0.0480495025977188
"C","1","Acer saccharinum",0
"C","2","Salix interior",0
"C","3","Salix interior",0
"C","1","Salix interior",0
"C","2","Salix nigra",0
"C","3","Salix nigra",0
"C","1","Salix nigra",0
"D","1","Morus alba",0
"D","2","Morus alba",0
"D","3","Morus alba",0
"D","1","Ulmus americana",0
"D","2","Ulmus americana",0
"D","3","Ulmus americana",0
"D","1","Zanthoxylum americanum",0
"D","2","Zanthoxylum americanum",0
"D","3","Zanthoxylum americanum",0
"D","1","Acer saccharinum",0
"D","2","Acer saccharinum",0
"D","3","Acer saccharinum",0
"D","1","Salix interior",0.220757087881554
"D","2","Salix interior",0
"D","3","Salix interior",0
"D","1","Salix nigra",0
"D","2","Salix nigra",0
"D","3","Salix nigra",0
"E","1","Morus alba",0
"E","2","Morus alba",1.03835602340067
"E","3","Morus alba",0
"E","1","Ulmus americana",0
"E","2","Ulmus americana",0
"E","3","Ulmus americana",0
"E","1","Zanthoxylum americanum",0
"E","2","Zanthoxylum americanum",0
"E","3","Zanthoxylum americanum",0
"E","1","Acer saccharinum",0
"E","2","Acer saccharinum",0
"E","3","Acer saccharinum",0
"E","1","Salix interior",3.64249195004565
"E","2","Salix interior",0
"E","3","Salix interior",0.515099871723627
"E","1","Salix nigra",0
"E","2","Salix nigra",0
"E","3","Salix nigra",0.110378543940777
"R","1","Morus alba",0
"R","2","Morus alba",0
"R","3","Morus alba",0
"R","1","Ulmus americana",0
"R","2","Ulmus americana",0
"R","3","Ulmus americana",0
"R","1","Zanthoxylum americanum",0
"R","2","Zanthoxylum americanum",0
"R","3","Zanthoxylum americanum",0
"R","1","Acer saccharinum",0
"R","2","Acer saccharinum",0
"R","3","Acer saccharinum",0
"R","1","Salix interior",0
"R","2","Salix interior",0
"R","3","Salix interior",0
"R","1","Salix nigra",0
"R","2","Salix nigra",0
"R","3","Salix nigra",0
