treatment,variable,variable.label,variable.mean,posterior.mean,posterior.sd,5,95,25,75
Balled-and-burlapped,int.fwd.carbon,Fine woody debris (2.5-7.5 cm),1.545245303,1.305922477,0.44625587,0.614576215,2.061425369,1.020234671,1.614980965
Bareroot,int.fwd.carbon,Fine woody debris (2.5-7.5 cm),1.545245303,3.093858975,0.506025517,2.184339884,3.863384721,2.758738942,3.370084001
Seedling,int.fwd.carbon,Fine woody debris (2.5-7.5 cm),1.545245303,2.316427602,0.514650053,1.439875527,3.093702736,1.927135436,2.592181165
Acorn,int.fwd.carbon,Fine woody debris (2.5-7.5 cm),1.545245303,0.600367491,0.344269139,0.121105001,1.13491717,0.296319407,0.729846289
Seedbank,int.fwd.carbon,Fine woody debris (2.5-7.5 cm),1.545245303,0.567893008,0.317854896,0.120844905,1.048095461,0.273460708,0.671578525
Reference,int.fwd.carbon,Fine woody debris (2.5-7.5 cm),1.545245303,1.237505513,0.476180161,0.465404979,2.024817697,0.825726784,1.468810765
Balled-and-burlapped,cwd.carbon,Coarse woody debris (>= 7.6 cm),5.951136472,2.80684695,2.006982771,0.393313689,6.178967615,0.937032048,3.195326281
Bareroot,cwd.carbon,Coarse woody debris (>= 7.6 cm),5.951136472,10.20362665,3.599376735,3.911485421,15.80847526,7.992432888,12.67370285
Seedling,cwd.carbon,Coarse woody debris (>= 7.6 cm),5.951136472,5.063919125,2.728510545,0.818405131,9.225424499,2.686841137,6.337324682
Acorn,cwd.carbon,Coarse woody debris (>= 7.6 cm),5.951136472,3.181079931,2.160233924,0.62476619,6.864548063,1.378963603,3.892011834
Seedbank,cwd.carbon,Coarse woody debris (>= 7.6 cm),5.951136472,2.707177844,1.825899975,0.476766801,5.637976954,0.825036381,2.941031014
Reference,cwd.carbon,Coarse woody debris (>= 7.6 cm),5.951136472,11.31514634,3.592193818,5.517781653,17.23948177,8.420230515,13.20448052
Balled-and-burlapped,snag.carbonmin,Standing dead trees (>= 2.5 cm),1.219300143,0.559165763,0.244630643,0.181524807,0.951050649,0.361268815,0.683187482
Bareroot,snag.carbonmin,Standing dead trees (>= 2.5 cm),1.219300143,2.315456921,0.330208125,1.802967721,2.886801208,2.097839574,2.501906499
Seedling,snag.carbonmin,Standing dead trees (>= 2.5 cm),1.219300143,1.043924888,0.290377447,0.569882569,1.516530319,0.837847682,1.223580004
Acorn,snag.carbonmin,Standing dead trees (>= 2.5 cm),1.219300143,0.534617921,0.240784566,0.19294252,0.945415317,0.321961612,0.6318028
Seedbank,snag.carbonmin,Standing dead trees (>= 2.5 cm),1.219300143,0.294962238,0.181281315,0.052700362,0.573993642,0.123511259,0.334023824
Reference,snag.carbonmin,Standing dead trees (>= 2.5 cm),1.219300143,2.712488667,0.32280206,2.14244573,3.20552871,2.523896761,2.935157284
Balled-and-burlapped,dead.stem.carbonmin,Dead stems (< 2.5 cm),0.049298403,0.035929626,0.034442639,0.002964777,0.089481123,0.007388625,0.038134168
Bareroot,dead.stem.carbonmin,Dead stems (< 2.5 cm),0.049298403,0.035529779,0.033442274,0.002343772,0.086199268,0.009064192,0.040042032
Seedling,dead.stem.carbonmin,Dead stems (< 2.5 cm),0.049298403,0.035620725,0.03539376,0.00305467,0.094748375,0.006373072,0.037399588
Acorn,dead.stem.carbonmin,Dead stems (< 2.5 cm),0.049298403,0.035943785,0.035053998,0.003426954,0.094617996,0.006733612,0.038065132
Seedbank,dead.stem.carbonmin,Dead stems (< 2.5 cm),0.049298403,0.17853626,0.098541033,0.010981826,0.317618727,0.085416193,0.231980123
Reference,dead.stem.carbonmin,Dead stems (< 2.5 cm),0.049298403,0.034011003,0.034592179,0.002803733,0.092689268,0.007431009,0.037192818
Balled-and-burlapped,aboveground.woody.c.stock,Aboveground live trees (>= 2.5 cm),80.22687015,111.1163709,36.21520129,45.9475486,165.7643992,89.14600205,136.2877553
Bareroot,aboveground.woody.c.stock,Aboveground live trees (>= 2.5 cm),80.22687015,51.15232986,26.2908403,9.089669038,90.86841745,28.79116295,63.03294322
Seedling,aboveground.woody.c.stock,Aboveground live trees (>= 2.5 cm),80.22687015,146.2521955,35.73395372,87.6649795,205.9057414,122.083654,167.7115431
Acorn,aboveground.woody.c.stock,Aboveground live trees (>= 2.5 cm),80.22687015,43.04717039,23.73142307,8.471677136,80.05645218,21.28065615,51.27542015
Seedbank,aboveground.woody.c.stock,Aboveground live trees (>= 2.5 cm),80.22687015,34.63634319,21.67410313,5.893019401,69.63877317,16.07119434,41.58229593
Reference,aboveground.woody.c.stock,Aboveground live trees (>= 2.5 cm),80.22687015,72.76688755,30.19720771,19.52681205,118.3588958,52.82224971,93.0245557
Balled-and-burlapped,belowground.woody.c.stock,Belowground live trees (>= 2.5 cm),16.47265451,22.83543974,6.996024584,10.42979594,33.30194167,17.97612347,27.11360696
Bareroot,belowground.woody.c.stock,Belowground live trees (>= 2.5 cm),16.47265451,10.94951163,5.538694007,2.530006074,19.84610376,7.126239698,14.34745685
Seedling,belowground.woody.c.stock,Belowground live trees (>= 2.5 cm),16.47265451,30.19046679,7.119863355,19.01303323,42.10075625,25.39676246,34.36847445
Acorn,belowground.woody.c.stock,Belowground live trees (>= 2.5 cm),16.47265451,8.557779134,4.832194783,1.576696292,16.01319394,3.783054317,9.920573218
Seedbank,belowground.woody.c.stock,Belowground live trees (>= 2.5 cm),16.47265451,6.964514464,4.253910845,1.392334317,13.97735757,3.252232565,8.298648778
Reference,belowground.woody.c.stock,Belowground live trees (>= 2.5 cm),16.47265451,14.88366353,6.25810157,4.812283462,24.79114923,9.768136429,18.36762683
Balled-and-burlapped,total.woody.c.stock,Live trees (>= 2.5 cm),96.69952466,134.2519194,42.30845677,65.65826494,202.7120475,100.4538167,157.2232055
Bareroot,total.woody.c.stock,Live trees (>= 2.5 cm),96.69952466,61.85021044,32.97248976,11.5864752,113.213508,38.54442557,81.74335212
Seedling,total.woody.c.stock,Live trees (>= 2.5 cm),96.69952466,176.6474592,45.00342875,96.48167239,242.579984,155.5226666,209.8492649
Acorn,total.woody.c.stock,Live trees (>= 2.5 cm),96.69952466,52.03114681,29.13426668,7.509947588,94.67824865,27.11856332,64.84861067
Seedbank,total.woody.c.stock,Live trees (>= 2.5 cm),96.69952466,40.56722704,25.54474331,7.092433325,81.61038221,21.03880284,51.57852929
Reference,total.woody.c.stock,Live trees (>= 2.5 cm),96.69952466,83.7083508,36.93449221,25.93072313,143.3461718,54.4531929,105.0422328
Balled-and-burlapped,abg.live.stem.carbon,Aboveground live stems (< 2.5 cm),0.457274278,0.515663481,0.328500402,0.04474069,1.009211268,0.161983322,0.595005341
Bareroot,abg.live.stem.carbon,Aboveground live stems (< 2.5 cm),0.457274278,0.309127214,0.236751867,0.036493107,0.707506192,0.087070957,0.346774038
Seedling,abg.live.stem.carbon,Aboveground live stems (< 2.5 cm),0.457274278,0.287931763,0.219647062,0.036889368,0.648506082,0.083143113,0.322680084
Acorn,abg.live.stem.carbon,Aboveground live stems (< 2.5 cm),0.457274278,0.259487072,0.204705098,0.027821897,0.580276307,0.082573878,0.297809608
Seedbank,abg.live.stem.carbon,Aboveground live stems (< 2.5 cm),0.457274278,1.155668097,0.452192545,0.350055034,1.851707345,0.825138608,1.422204458
Reference,abg.live.stem.carbon,Aboveground live stems (< 2.5 cm),0.457274278,0.248141192,0.205045864,0.032386232,0.585363125,0.06744911,0.277104691
Balled-and-burlapped,bg.live.stem.carbon,Belowground live stems (< 2.5 cm),0.101579254,0.117892799,0.072672938,0.01650873,0.235094443,0.044308402,0.1393806
Bareroot,bg.live.stem.carbon,Belowground live stems (< 2.5 cm),0.101579254,0.071641075,0.054344966,0.007403252,0.159906508,0.015342386,0.075573321
Seedling,bg.live.stem.carbon,Belowground live stems (< 2.5 cm),0.101579254,0.062608361,0.048906541,0.00808491,0.141705409,0.018715262,0.070238762
Acorn,bg.live.stem.carbon,Belowground live stems (< 2.5 cm),0.101579254,0.057862896,0.045761367,0.007958013,0.135906523,0.014762487,0.062579974
Seedbank,bg.live.stem.carbon,Belowground live stems (< 2.5 cm),0.101579254,0.251798038,0.099370618,0.082793149,0.41410904,0.178281243,0.311559185
Reference,bg.live.stem.carbon,Belowground live stems (< 2.5 cm),0.101579254,0.056090829,0.044525835,0.00725898,0.127652831,0.015005388,0.060932112
Balled-and-burlapped,tot.live.stem.carbon,Live stems (< 2.5 cm),0.558853532,0.651510816,0.402354426,0.071479981,1.294205692,0.314139898,0.847378462
Bareroot,tot.live.stem.carbon,Live stems (< 2.5 cm),0.558853532,0.387056788,0.288696137,0.042135787,0.841799128,0.111673275,0.44325686
Seedling,tot.live.stem.carbon,Live stems (< 2.5 cm),0.558853532,0.342227793,0.281418252,0.041757431,0.825228585,0.068152471,0.359451199
Acorn,tot.live.stem.carbon,Live stems (< 2.5 cm),0.558853532,0.32422312,0.252053498,0.022713681,0.721258369,0.111658758,0.378806083
Seedbank,tot.live.stem.carbon,Live stems (< 2.5 cm),0.558853532,1.397278263,0.557834456,0.486195313,2.324168038,0.963546185,1.730953031
Reference,tot.live.stem.carbon,Live stems (< 2.5 cm),0.558853532,0.307722247,0.254055967,0.031825168,0.697869708,0.077567414,0.331977575
Balled-and-burlapped,snag.frax.live.c,Live F. pennsylvanica (>= 2.5 cm),10.27456481,6.562795242,4.062448606,1.088566186,13.06313845,2.748296884,7.725359856
Bareroot,snag.frax.live.c,Live F. pennsylvanica (>= 2.5 cm),10.27456481,8.073022684,4.573295522,0.899111168,14.82138996,3.605683696,9.596225125
Seedling,snag.frax.live.c,Live F. pennsylvanica (>= 2.5 cm),10.27456481,4.733890618,3.213977742,0.656784976,9.898012753,1.629203761,5.348672531
Acorn,snag.frax.live.c,Live F. pennsylvanica (>= 2.5 cm),10.27456481,4.448886802,3.099139874,0.802439678,9.553065569,1.655712459,5.13742204
Seedbank,snag.frax.live.c,Live F. pennsylvanica (>= 2.5 cm),10.27456481,4.421519557,3.126656918,0.656607668,9.158106149,1.956214846,5.324519139
Reference,snag.frax.live.c,Live F. pennsylvanica (>= 2.5 cm),10.27456481,42.72915208,6.267602326,31.85458746,52.42383766,39.14925547,46.91940793
Balled-and-burlapped,snag.frax.dead.c,Standing dead F. pennsylvanica (>= 2.5 cm),0.472887632,0.326387999,0.197079092,0.036260457,0.622612787,0.15642987,0.406273995
Bareroot,snag.frax.dead.c,Standing dead F. pennsylvanica (>= 2.5 cm),0.472887632,0.419529903,0.230875272,0.081485721,0.783748985,0.223871628,0.532046449
Seedling,snag.frax.dead.c,Standing dead F. pennsylvanica (>= 2.5 cm),0.472887632,0.21615566,0.1528597,0.032521383,0.460732584,0.072852569,0.241686588
Acorn,snag.frax.dead.c,Standing dead F. pennsylvanica (>= 2.5 cm),0.472887632,0.203678404,0.138558469,0.02814579,0.421701112,0.091045356,0.241453473
Seedbank,snag.frax.dead.c,Standing dead F. pennsylvanica (>= 2.5 cm),0.472887632,0.197638643,0.145483436,0.023914089,0.429024573,0.082529664,0.235048011
Reference,snag.frax.dead.c,Standing dead F. pennsylvanica (>= 2.5 cm),0.472887632,1.79471731,0.312680779,1.243003362,2.253698214,1.608613323,2.011865734
Balled-and-burlapped,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,0.367272019,0.213255463,0.074135363,0.692119658,0.176889042,0.43962437
Bareroot,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,0.493085598,0.249980245,0.096222446,0.868435795,0.244624078,0.584481107
Seedling,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,0.294564991,0.181081426,0.036273689,0.577817143,0.126820494,0.342826215
Acorn,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,0.400132479,0.226834242,0.073564506,0.763130198,0.171979048,0.476482815
Seedbank,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,1.543467303,0.326245078,0.976361255,2.048396676,1.384158505,1.800361319
Reference,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,0.55412077,0.257288056,0.13414384,0.940525401,0.362111312,0.706981612
Balled-and-burlapped,mixed.biomass.c.stock,Mixed biomass,0.273706242,0.178003828,0.095793215,0.038619426,0.33217051,0.094882134,0.220906475
Bareroot,mixed.biomass.c.stock,Mixed biomass,0.273706242,0.249163531,0.119632402,0.060423942,0.445016527,0.151927802,0.315308152
Seedling,mixed.biomass.c.stock,Mixed biomass,0.273706242,0.161003318,0.092708226,0.022842559,0.301843576,0.060559444,0.180922619
Acorn,mixed.biomass.c.stock,Mixed biomass,0.273706242,0.203366328,0.109083065,0.044498497,0.387680064,0.101580483,0.244910643
Seedbank,mixed.biomass.c.stock,Mixed biomass,0.273706242,0.147461915,0.088679876,0.024362752,0.275068039,0.082438736,0.194151236
Reference,mixed.biomass.c.stock,Mixed biomass,0.273706242,0.582418901,0.138211119,0.341453813,0.789022961,0.504252645,0.678245571
Balled-and-burlapped,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,0.091235671,0.077110344,0.009153277,0.217100184,0.025421415,0.101684708
Bareroot,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,0.105552977,0.08627333,0.011807937,0.248372323,0.036595743,0.126452649
Seedling,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,0.092970287,0.07359996,0.012138254,0.212771948,0.029091962,0.103018535
Acorn,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,0.101968625,0.086514652,0.009863212,0.234043015,0.029169158,0.115132302
Seedbank,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,0.809937374,0.194262477,0.496995973,1.107601254,0.73086,0.968503332
Reference,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,0.092559432,0.079078028,0.004842359,0.217105828,0.02935732,0.107406739
Balled-and-burlapped,h.japonicus.c.stock,H. japonicus biomass,0.193483548,0.150909688,0.090744272,0.017896273,0.287057483,0.084064174,0.193876133
Bareroot,h.japonicus.c.stock,H. japonicus biomass,0.193483548,0.152033934,0.09613173,0.026440383,0.308251339,0.056292566,0.171249317
Seedling,h.japonicus.c.stock,H. japonicus biomass,0.193483548,0.094096279,0.066686489,0.014312345,0.205253046,0.032001491,0.106939525
Acorn,h.japonicus.c.stock,H. japonicus biomass,0.193483548,0.148540774,0.093421331,0.020452037,0.292434142,0.059402867,0.173482978
Seedbank,h.japonicus.c.stock,H. japonicus biomass,0.193483548,0.566350148,0.146942951,0.327230065,0.812432218,0.473083302,0.666801557
Reference,h.japonicus.c.stock,H. japonicus biomass,0.193483548,0.092240379,0.065774492,0.008971586,0.194983928,0.031464581,0.103752524
Balled-and-burlapped,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,1.790772136,0.590343845,0.846546147,2.807806115,1.379935055,2.137323053
Bareroot,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,1.74849591,0.577286051,0.883096707,2.750829318,1.3178972,2.088930968
Seedling,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,1.668586629,0.579212482,0.787187696,2.665142258,1.313797024,2.099227745
Acorn,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,1.85238749,0.590997991,0.881342854,2.784138351,1.595210076,2.375966819
Seedbank,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,2.627573869,0.657589788,1.50475401,3.660465907,2.288678179,3.109476663
Reference,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,1.177802599,0.526673774,0.309020839,1.979891087,0.807905192,1.524612739
Balled-and-burlapped,fine.woody.debris.c.stock,Fine woody debris (< 2.5 cm),2.039949889,1.278798217,0.659309813,0.31484817,2.291769538,0.764797828,1.634010207
Bareroot,fine.woody.debris.c.stock,Fine woody debris (< 2.5 cm),2.039949889,4.014678407,0.948417892,2.51589409,5.569833957,3.496149581,4.69792651
