"model","model.label","variable","variable.label","treatment","full.treatment.name","posterior.mean","posterior.se","5","95","25","75"
"simple","Fixed effects only","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","A","Balled-and-burlapped",-796912503.854692,2837576648.88172,-1121690816.53728,-61.5617748084587,-1638815.67220656,-61.5617748084587
"simple","Fixed effects only","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","B","Bareroot",391558189.007948,2272729532.67317,-910309260.78319,263128481.554786,-363997.555482067,1925343.49883698
"simple","Fixed effects only","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","C","Seedling",179198599.105438,944803245.273108,-685204073.261842,410311162.750275,-2207262.02322079,1531877.34959265
"simple","Fixed effects only","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","D","Acorn",416453945.272353,2176348776.08447,-1321693036.58051,432036759.342106,-2540794.1691328,803630.445820868
"simple","Fixed effects only","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","E","Seedbank",314088610.527719,2149075037.34408,-920127553.393519,630163720.578189,-2052849.14208198,863298.95824512
"simple","Fixed effects only","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","R","Reference",110527970.597202,689029518.01401,-266633938.401053,607885961.383067,-1350737.99219454,1081207.91202664
"plot.random","Plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","A","Balled-and-burlapped",-8386658.28458732,18644084.0440623,-31542159.9127251,-1.52980064636176,-352953.876908998,-1.52980064636176
"plot.random","Plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","B","Bareroot",1643439.39710047,9768246.97703463,-5678306.10847007,15146431.8406947,-288103.499055148,238132.692907331
"plot.random","Plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","C","Seedling",-1900540.62047892,17794677.7110673,-10871206.1984679,14533483.8103933,-166947.417579293,286843.226201048
"plot.random","Plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","D","Acorn",3734467.38744665,12373354.6812584,-6109220.98665568,13098474.0568777,-502048.990975542,103859.222638156
"plot.random","Plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","E","Seedbank",4073901.37952633,15645402.251962,-9282205.15577508,35528206.0536809,-402036.894747619,322032.651176655
"plot.random","Plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","R","Reference",53845.3332877383,10616651.9339198,-7176050.523557,19101993.8280238,-379490.195701616,236436.926537418
"strip.plot.random","Strip and plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","A","Balled-and-burlapped",-16422281.683984,59236911.2185365,-26406292.266454,-5.36254256447131,-709202.50307577,-5.36254256447131
"strip.plot.random","Strip and plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","B","Bareroot",-59303426.9767184,163795418.566284,-271712677.142563,6010126.65295143,-273167.433691322,64894.7640138304
"strip.plot.random","Strip and plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","C","Seedling",-19990171.8980184,56337391.3273469,-73714443.6946211,7319099.40861512,-97894.5621480399,333481.255945137
"strip.plot.random","Strip and plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","D","Acorn",-15462886.3567546,48569610.8072801,-51353482.2938254,9133428.40036244,-186572.655062009,210794.93834423
"strip.plot.random","Strip and plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","E","Seedbank",-2564118.71825197,33843816.0161818,-61777649.6789604,9748245.61110333,-417926.305046281,215901.72024388
"strip.plot.random","Strip and plot random effects","int.fwd.carbon","Fine woody debris (2.5-7.5 cm)","R","Reference",-20085521.515934,65489136.2370002,-49015235.57916,13149974.182762,-124239.996802277,353819.809152924
"simple","Fixed effects only","cwd.carbon","Coarse woody debris (>= 7.6 cm)","A","Balled-and-burlapped",-854374753.245436,1220583343.9821,-2804337054.58906,-641.750608240385,-219108440.305246,-641.750608240385
"simple","Fixed effects only","cwd.carbon","Coarse woody debris (>= 7.6 cm)","B","Bareroot",147881824.198847,982766954.957357,-1317973554.86102,1669146165.51656,-106656621.35531,104817588.109704
"simple","Fixed effects only","cwd.carbon","Coarse woody debris (>= 7.6 cm)","C","Seedling",268393692.96059,877899258.753886,-797832328.898103,2123226269.22473,-248477036.622488,74431255.5871831
"simple","Fixed effects only","cwd.carbon","Coarse woody debris (>= 7.6 cm)","D","Acorn",119662912.345182,986077892.139388,-1795677879.93811,1697992798.89152,-434871419.589527,120240714.001763
"simple","Fixed effects only","cwd.carbon","Coarse woody debris (>= 7.6 cm)","E","Seedbank",232055591.516212,842226731.141742,-994534186.658118,1781863074.42818,-235919255.888432,81204965.0561656
"simple","Fixed effects only","cwd.carbon","Coarse woody debris (>= 7.6 cm)","R","Reference",158060338.163187,728855606.258073,-936891501.614705,961963030.458184,-179401429.108631,135622196.536069
"plot.random","Plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","A","Balled-and-burlapped",-45063093.576705,129566539.60174,-131609615.735667,0.333989156772642,-734362.701761639,0.333989156772642
"plot.random","Plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","B","Bareroot",-663687.53492466,91637441.5499932,-87075560.4914622,91006866.3328921,-510274.394933646,447317.80337133
"plot.random","Plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","C","Seedling",-77325172.0089559,224158940.999756,-270749372.953877,47053838.5901721,-902128.258139365,557704.19068338
"plot.random","Plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","D","Acorn",-9092398.22749266,67168418.9599087,-129217723.542759,14104824.8279841,-558033.081356714,666289.744785834
"plot.random","Plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","E","Seedbank",-112224450.45102,338568211.700585,-452076287.508264,89982699.5287857,-531115.431313171,566563.808205784
"plot.random","Plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","R","Reference",-21868309.9578844,97222843.4940672,-119295366.303069,57554362.2657465,-490037.900390245,519907.795044629
"strip.plot.random","Strip and plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","A","Balled-and-burlapped",-57392365.7681604,183472543.225048,-155162233.288841,2.56604764715594,-1074366.68858215,2.56604764715594
"strip.plot.random","Strip and plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","B","Bareroot",29375072.6388726,114303981.745196,-63055300.2283496,7518845.55749768,-96280.2074177057,898018.274921642
"strip.plot.random","Strip and plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","C","Seedling",12698112.8583571,138029588.954622,-47639316.5833244,26834549.2631733,-474883.788099455,943297.316707819
"strip.plot.random","Strip and plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","D","Acorn",3630051.39288669,65370504.1094357,-60583125.4311282,18138425.4283426,-749275.315309354,505499.123568991
"strip.plot.random","Strip and plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","E","Seedbank",16617718.7897144,74113073.3740755,-44361147.474665,8779946.89294773,-455653.458269212,716083.163499319
"strip.plot.random","Strip and plot random effects","cwd.carbon","Coarse woody debris (>= 7.6 cm)","R","Reference",4064022.13754281,54750578.2550967,-45009613.5367745,28828229.2650146,-367712.119918348,738374.101669176
"simple","Fixed effects only","snag.carbonmin","Standing dead trees (>= 2.5 cm)","A","Balled-and-burlapped",-120.188998887668,291.765061716858,-306.388610658665,0.469482279170897,-16.7131759978073,0.00818185795752768
"simple","Fixed effects only","snag.carbonmin","Standing dead trees (>= 2.5 cm)","B","Bareroot",90.2157045966516,184.600867905466,0.125502511528927,300.43800326961,0.52253556859312,17.3965164689245
"simple","Fixed effects only","snag.carbonmin","Standing dead trees (>= 2.5 cm)","C","Seedling",-23.5966159742802,209.304318523216,-108.731389831004,335.547013448765,-0.877636936261269,21.4385957435215
"simple","Fixed effects only","snag.carbonmin","Standing dead trees (>= 2.5 cm)","D","Acorn",-36.619590773958,275.63170758253,-233.340029948366,298.199955955491,-21.2880153320846,16.4100017096384
"simple","Fixed effects only","snag.carbonmin","Standing dead trees (>= 2.5 cm)","E","Seedbank",-160.911555722346,511.253405294025,-497.282959301937,384.242098383758,-24.1011510319872,17.0736433365271
"simple","Fixed effects only","snag.carbonmin","Standing dead trees (>= 2.5 cm)","R","Reference",102.138190194069,234.849473910709,0.26797864836855,287.07835376708,0.59241999947499,17.3732915297043
"plot.random","Plot random effects","snag.carbonmin","Standing dead trees (>= 2.5 cm)","A","Balled-and-burlapped",-7.77867914376436,22.1339190520048,-19.1128260915441,0.548318105846603,-1.24119311512641,-0.450872254058108
"plot.random","Plot random effects","snag.carbonmin","Standing dead trees (>= 2.5 cm)","B","Bareroot",8.41411679718125,22.1208215696689,-0.555194988414491,19.9966215540142,1.08354384589955,2.04381089525691
"plot.random","Plot random effects","snag.carbonmin","Standing dead trees (>= 2.5 cm)","C","Seedling",4.0929157535858,20.0325836862839,-1.42106885427083,22.5531926480852,-0.14675418294597,1.00639389368767
"plot.random","Plot random effects","snag.carbonmin","Standing dead trees (>= 2.5 cm)","D","Acorn",-7.84127010360552,56.6890940544205,-22.8177996853795,23.7172429921675,-0.657190757751891,0.665493881640361
"plot.random","Plot random effects","snag.carbonmin","Standing dead trees (>= 2.5 cm)","E","Seedbank",-13.5704519760444,28.1373676728704,-43.9770957961362,14.2894146892945,-15.2619819033012,-1.67984689685268
"plot.random","Plot random effects","snag.carbonmin","Standing dead trees (>= 2.5 cm)","R","Reference",8.5742826803276,22.1189214602574,0.243544239205033,20.1472427728233,1.24588670856876,2.13008105232225
"strip.plot.random","Strip and plot random effects","snag.carbonmin","Standing dead trees (>= 2.5 cm)","A","Balled-and-burlapped",-6104228.28970592,20818661.9608698,-8664885.48458011,2.07896960953709,-0.976457679647421,-0.077881168906609
