elpd_diff,se_diff,elpd,se_elpd,p,se_p,ic,se_ic,variable,variable.label,criterion,model,best.model,model.label
0,0,12.10729264,4.304885298,6.082238462,2.460328091,-24.21458528,8.609770596,MAOC,Mineral-associated organic carbon,WAIC,simple,Yes,Fixed effects only
-0.438510495,0.818876241,11.66878215,3.684587631,6.759895169,2.173170539,-23.33756429,7.369175261,MAOC,Mineral-associated organic carbon,WAIC,strip.random,No,Strip random effects
0,0,10.51565328,5.475972756,7.673877826,3.648024721,-21.03130656,10.95194551,MAOC,Mineral-associated organic carbon,LOO,simple,Yes,Fixed effects only
-0.605592957,1.149692939,9.910060321,4.616579358,8.518616996,3.109668614,-19.82012064,9.233158716,MAOC,Mineral-associated organic carbon,LOO,strip.random,No,Strip random effects
0,0,13.6740291,1.357169069,11.19686585,1.171632687,-27.34805819,2.714338139,POC,Particulate organic carbon,WAIC,strip.random,Yes,Strip random effects
-13.05551488,1.842485529,0.618514219,2.873974235,5.422927952,1.474908741,-1.237028439,5.747948471,POC,Particulate organic carbon,WAIC,simple,No,Fixed effects only
0,0,9.485963103,2.346970688,15.38493185,2.198680474,-18.97192621,4.693941376,POC,Particulate organic carbon,LOO,strip.random,Yes,Strip random effects
-9.77861991,1.621723885,-0.292656806,3.377015924,6.334098978,1.985225226,0.585313613,6.754031848,POC,Particulate organic carbon,LOO,simple,No,Fixed effects only
0,0,14.68085559,3.225611626,5.610869302,1.765343098,-29.36171118,6.451223252,SOC,Soil organic carbon,WAIC,simple,Yes,Fixed effects only
-0.567598329,0.552713994,14.11325726,2.896421196,6.419647633,1.627456099,-28.22651452,5.792842392,SOC,Soil organic carbon,WAIC,strip.random,No,Strip random effects
0,0,13.55747196,3.940053152,6.734252929,2.491188301,-27.11494392,7.880106304,SOC,Soil organic carbon,LOO,simple,Yes,Fixed effects only
-1.070009231,0.770049111,12.48746273,3.550695437,8.045442162,2.285174583,-24.97492546,7.101390874,SOC,Soil organic carbon,LOO,strip.random,No,Strip random effects
0,0,-14.87824806,1.866359937,7.07043821,1.173803887,29.75649612,3.732719874,TIC,Soil inorganic carbon,WAIC,strip.random,Yes,Strip random effects
-0.145145579,1.360073356,-15.02339364,2.408527592,4.845252526,1.218206583,30.04678728,4.817055184,TIC,Soil inorganic carbon,WAIC,simple,No,Fixed effects only
0,0,-15.60484301,2.723249482,5.426701902,1.541733245,31.20968603,5.446498963,TIC,Soil inorganic carbon,LOO,simple,Yes,Fixed effects only
-1.553481373,1.453276712,-17.15832439,2.515057865,9.350514538,1.860795075,34.31664877,5.030115729,TIC,Soil inorganic carbon,LOO,strip.random,No,Strip random effects
0,0,17.88012183,1.562588142,6.515496173,0.847305156,-35.76024365,3.125176284,TC,Total soil carbon,WAIC,strip.random,Yes,Strip random effects
-0.254191941,0.566715392,17.62592989,1.925172026,5.190109063,0.899476459,-35.25185977,3.850344052,TC,Total soil carbon,WAIC,simple,No,Fixed effects only
0,0,16.95215112,2.128137288,5.863887824,1.104960631,-33.90430225,4.256274577,TC,Total soil carbon,LOO,simple,Yes,Fixed effects only
-0.531783909,0.572172701,16.42036721,1.815099032,7.975250785,1.111495263,-32.84073443,3.630198065,TC,Total soil carbon,LOO,strip.random,No,Strip random effects
0,0,3.177221746,2.266454083,8.336207789,1.525657803,-6.354443491,4.532908166,n.herb.only,Herbaceous layer richness,WAIC,strip.random,Yes,Strip random effects
-3.278195621,1.533435637,-0.100973876,3.454810805,5.617668473,1.77946968,0.201947751,6.90962161,n.herb.only,Herbaceous layer richness,WAIC,simple,No,Fixed effects only
0,0,0.618556643,2.885613273,10.89487289,2.172737069,-1.237113286,5.771226547,n.herb.only,Herbaceous layer richness,LOO,strip.random,Yes,Strip random effects
-1.823157096,1.631215337,-1.204600453,4.066626533,6.72129505,2.40039899,2.409200906,8.133253065,n.herb.only,Herbaceous layer richness,LOO,simple,No,Fixed effects only
0,0,-18.63832486,2.626192933,6.369512762,1.489603328,37.27664972,5.252385865,n.tree.only,Tree layer richness,WAIC,strip.random,Yes,Strip random effects
-0.088242819,0.797150285,-18.72656768,2.64553508,4.558950535,1.139377044,37.45313536,5.291070159,n.tree.only,Tree layer richness,WAIC,simple,No,Fixed effects only
0,0,-19.19350034,2.806309184,5.025883191,1.3086817,38.38700067,5.612618369,n.tree.only,Tree layer richness,LOO,simple,Yes,Fixed effects only
-1.096948944,1.209854363,-20.29044928,3.053414306,8.021637181,1.938273239,40.58089856,6.106828611,n.tree.only,Tree layer richness,LOO,strip.random,No,Strip random effects
0,0,-28.04734619,3.323926262,4.196075852,1.481731849,56.09469238,6.647852524,n.both.herb.tree,Both tree and herbaceous layer,WAIC,simple,Yes,Fixed effects only
-0.717948519,0.516060317,-28.76529471,3.418000095,5.101301504,1.693218849,57.53058942,6.836000191,n.both.herb.tree,Both tree and herbaceous layer,WAIC,strip.random,No,Strip random effects
0,0,-28.56086296,3.626759922,4.709592627,1.785004738,57.12172593,7.253519843,n.both.herb.tree,Both tree and herbaceous layer,LOO,simple,Yes,Fixed effects only
-1.049600628,0.683399954,-29.61046359,3.669237026,5.946470389,1.97351833,59.22092718,7.338474052,n.both.herb.tree,Both tree and herbaceous layer,LOO,strip.random,No,Strip random effects
0,0,0.74227149,1.843854867,7.344964929,1.11393434,-1.484542979,3.687709734,n.total,Total richness,WAIC,strip.random,Yes,Strip random effects
-1.63047358,0.815691876,-0.88820209,2.390647321,5.229445902,1.129332529,1.776404181,4.781294643,n.total,Total richness,WAIC,simple,No,Fixed effects only
0,0,-1.242027418,2.261876836,9.329263837,1.54645392,2.484054835,4.523753672,n.total,Total richness,LOO,strip.random,Yes,Strip random effects
-0.300510509,0.746601462,-1.542537927,2.619407345,5.883781738,1.361193586,3.085075854,5.23881469,n.total,Total richness,LOO,simple,No,Fixed effects only
0,0,-7.021595432,2.287562419,9.904284598,1.543667829,14.04319086,4.575124838,herbaceous.litter.c.stock,Herbaceous litter,WAIC,strip.random,Yes,Strip random effects
-11.46067654,4.200822662,-18.48227197,5.193732544,6.045684283,2.860294974,36.96454394,10.38746509,herbaceous.litter.c.stock,Herbaceous litter,WAIC,simple,No,Fixed effects only
0,0,-12.50514952,4.037974759,15.38783869,3.362210043,25.01029905,8.075949517,herbaceous.litter.c.stock,Herbaceous litter,LOO,strip.random,Yes,Strip random effects
-7.208693007,4.010513595,-19.71384253,5.975829718,7.277254845,3.647990194,39.42768506,11.95165944,herbaceous.litter.c.stock,Herbaceous litter,LOO,simple,No,Fixed effects only
0,0,-19.46491216,3.147044048,7.933247298,2.140193001,38.92982432,6.294088096,mixed.biomass.c.stock,Mixed biomass,WAIC,strip.random,Yes,Strip random effects
-6.162067954,3.053690923,-25.62698012,4.358907211,5.112596946,2.045386053,51.25396023,8.717814422,mixed.biomass.c.stock,Mixed biomass,WAIC,simple,No,Fixed effects only
0,0,-22.85160971,4.456333785,11.31994485,3.568850809,45.70321943,8.912667571,mixed.biomass.c.stock,Mixed biomass,LOO,strip.random,Yes,Strip random effects
-3.472509535,2.895964903,-26.32411925,4.765746066,5.80973608,2.464027861,52.6482385,9.531492132,mixed.biomass.c.stock,Mixed biomass,LOO,simple,No,Fixed effects only
0,0,24.59154327,4.877029398,10.63633118,3.12502037,-49.18308655,9.754058795,p.arundinacea.c.stock,P. arundinacea biomass,WAIC,strip.random,Yes,Strip random effects
-65.92712683,11.34054467,-41.33558356,10.23662715,8.880885636,6.31868999,82.67116712,20.47325431,p.arundinacea.c.stock,P. arundinacea biomass,WAIC,simple,No,Fixed effects only
0,0,16.96256174,7.617628995,18.26531271,5.874476083,-33.92512349,15.23525799,p.arundinacea.c.stock,P. arundinacea biomass,LOO,strip.random,Yes,Strip random effects
-61.11072163,14.5775604,-44.14815989,12.43992615,11.69346196,8.521659507,88.29631978,24.8798523,p.arundinacea.c.stock,P. arundinacea biomass,LOO,simple,No,Fixed effects only
0,0,-31.50913257,3.768887199,8.106938198,2.231648575,63.01826514,7.537774398,h.japonicus.c.stock,H. japonicus biomass,WAIC,strip.random,Yes,Strip random effects
-0.668969645,2.097190861,-32.17810222,3.7684999,4.363374412,1.797308578,64.35620443,7.536999799,h.japonicus.c.stock,H. japonicus biomass,WAIC,simple,No,Fixed effects only
0,0,-32.52663357,3.945337373,4.711905764,1.997449683,65.05326714,7.890674746,h.japonicus.c.stock,H. japonicus biomass,LOO,simple,Yes,Fixed effects only
