variable,variable.label,model,model.label,treatment,full.treatment.name,Rhat
MAOC,Mineral-associated organic carbon,simple,Fixed effects only,A,Balled-and-burlapped,1.000513028
MAOC,Mineral-associated organic carbon,simple,Fixed effects only,B,Bareroot,1.000311847
MAOC,Mineral-associated organic carbon,simple,Fixed effects only,C,Seedling,1.000321513
MAOC,Mineral-associated organic carbon,simple,Fixed effects only,D,Acorn,1.000492912
MAOC,Mineral-associated organic carbon,simple,Fixed effects only,E,Seedbank,1.000404608
MAOC,Mineral-associated organic carbon,simple,Fixed effects only,R,Reference,1.000447354
MAOC,Mineral-associated organic carbon,strip.random,Strip random effects,A,Balled-and-burlapped,1.000147718
MAOC,Mineral-associated organic carbon,strip.random,Strip random effects,B,Bareroot,1.000102744
MAOC,Mineral-associated organic carbon,strip.random,Strip random effects,C,Seedling,1.000074435
MAOC,Mineral-associated organic carbon,strip.random,Strip random effects,D,Acorn,1.000096116
MAOC,Mineral-associated organic carbon,strip.random,Strip random effects,E,Seedbank,1.000224127
MAOC,Mineral-associated organic carbon,strip.random,Strip random effects,R,Reference,1.000219238
POC,Particulate organic carbon,simple,Fixed effects only,A,Balled-and-burlapped,1.000456462
POC,Particulate organic carbon,simple,Fixed effects only,B,Bareroot,1.000344729
POC,Particulate organic carbon,simple,Fixed effects only,C,Seedling,1.000123738
POC,Particulate organic carbon,simple,Fixed effects only,D,Acorn,1.000349752
POC,Particulate organic carbon,simple,Fixed effects only,E,Seedbank,1.000466772
POC,Particulate organic carbon,simple,Fixed effects only,R,Reference,1.000519934
POC,Particulate organic carbon,strip.random,Strip random effects,A,Balled-and-burlapped,1.000447082
POC,Particulate organic carbon,strip.random,Strip random effects,B,Bareroot,1.000319724
POC,Particulate organic carbon,strip.random,Strip random effects,C,Seedling,1.000394374
POC,Particulate organic carbon,strip.random,Strip random effects,D,Acorn,1.000123409
POC,Particulate organic carbon,strip.random,Strip random effects,E,Seedbank,1.000540278
POC,Particulate organic carbon,strip.random,Strip random effects,R,Reference,1.000182478
SOC,Soil organic carbon,simple,Fixed effects only,A,Balled-and-burlapped,1.000263462
SOC,Soil organic carbon,simple,Fixed effects only,B,Bareroot,1.000145971
SOC,Soil organic carbon,simple,Fixed effects only,C,Seedling,1.000358561
SOC,Soil organic carbon,simple,Fixed effects only,D,Acorn,1.000229548
SOC,Soil organic carbon,simple,Fixed effects only,E,Seedbank,1.000291685
SOC,Soil organic carbon,simple,Fixed effects only,R,Reference,1.000273218
SOC,Soil organic carbon,strip.random,Strip random effects,A,Balled-and-burlapped,1.000475937
SOC,Soil organic carbon,strip.random,Strip random effects,B,Bareroot,1.000271248
SOC,Soil organic carbon,strip.random,Strip random effects,C,Seedling,1.000122498
SOC,Soil organic carbon,strip.random,Strip random effects,D,Acorn,1.000260893
SOC,Soil organic carbon,strip.random,Strip random effects,E,Seedbank,1.000273486
SOC,Soil organic carbon,strip.random,Strip random effects,R,Reference,1.000235845
TIC,Soil inorganic carbon,simple,Fixed effects only,A,Balled-and-burlapped,1.000302385
TIC,Soil inorganic carbon,simple,Fixed effects only,B,Bareroot,1.000474741
TIC,Soil inorganic carbon,simple,Fixed effects only,C,Seedling,1.000341909
TIC,Soil inorganic carbon,simple,Fixed effects only,D,Acorn,1.000106173
TIC,Soil inorganic carbon,simple,Fixed effects only,E,Seedbank,1.000412631
TIC,Soil inorganic carbon,simple,Fixed effects only,R,Reference,1.000290871
TIC,Soil inorganic carbon,strip.random,Strip random effects,A,Balled-and-burlapped,1.001245161
TIC,Soil inorganic carbon,strip.random,Strip random effects,B,Bareroot,1.00065302
TIC,Soil inorganic carbon,strip.random,Strip random effects,C,Seedling,1.000811109
TIC,Soil inorganic carbon,strip.random,Strip random effects,D,Acorn,1.000390788
TIC,Soil inorganic carbon,strip.random,Strip random effects,E,Seedbank,1.00029858
TIC,Soil inorganic carbon,strip.random,Strip random effects,R,Reference,1.00056609
TC,Total soil carbon,simple,Fixed effects only,A,Balled-and-burlapped,1.000397682
TC,Total soil carbon,simple,Fixed effects only,B,Bareroot,1.000518128
