tid,spid,treatment,species,posterior.mean,5,95,25,75,type
1,1,Balled-and-burlapped,Acer saccharinum,0.066374376,0.008540222,0.152332563,0.017192737,0.073696849,dead.trees
1,2,Balled-and-burlapped,Betula nigra,0.080224708,0.004772962,0.184607518,0.017000063,0.087905032,dead.trees
1,3,Balled-and-burlapped,Carya illinoiensis ,0.064984423,0.008842123,0.151720657,0.018757188,0.073128637,dead.trees
1,4,Balled-and-burlapped,Fraxinus pennsylvanica,0.247565986,0.066157287,0.439200947,0.155856085,0.319467979,dead.trees
1,5,Balled-and-burlapped,Platanus occidentalis,0.066351619,0.007803927,0.158899678,0.014701169,0.071489461,dead.trees
1,6,Balled-and-burlapped,Quercus bicolor,0.071580597,0.011010144,0.163030459,0.024589931,0.083645786,dead.trees
1,7,Balled-and-burlapped,Quercus palustris ,0.067609065,0.007009645,0.156950434,0.012405588,0.070104084,dead.trees
1,8,Balled-and-burlapped,Salix interior,0.064133528,0.00917752,0.153190929,0.01797707,0.070239094,dead.trees
1,9,Balled-and-burlapped,Salix nigra,0.064513213,0.007882594,0.153165808,0.016569556,0.071518492,dead.trees
1,10,Balled-and-burlapped,Ulmus americana,0.065174941,0.00734542,0.150293199,0.013893444,0.068742734,dead.trees
1,11,Balled-and-burlapped,Unknown,0.08245145,0.008795648,0.190406459,0.029794596,0.098327923,dead.trees
2,1,Bareroot,Acer saccharinum,0.44345532,0.230556983,0.665518907,0.347615522,0.522041479,dead.trees
2,2,Bareroot,Betula nigra,0.064643703,0.007019465,0.156480914,0.014003637,0.069257265,dead.trees
2,3,Bareroot,Carya illinoiensis ,0.065806806,0.006226641,0.156045409,0.019089473,0.074656161,dead.trees
2,4,Bareroot,Fraxinus pennsylvanica,0.438119658,0.246159585,0.656831191,0.353130278,0.520352802,dead.trees
2,5,Bareroot,Platanus occidentalis,0.064832018,0.008133384,0.155743753,0.021915344,0.077480094,dead.trees
2,6,Bareroot,Quercus bicolor,0.064892305,0.006284756,0.147658629,0.015760346,0.069051462,dead.trees
2,7,Bareroot,Quercus palustris ,0.064151057,0.004664483,0.147928056,0.017350773,0.072173652,dead.trees
2,8,Bareroot,Salix interior,0.062627911,0.007448756,0.150813813,0.016920519,0.068799952,dead.trees
2,9,Bareroot,Salix nigra,0.065485887,0.007111385,0.150903724,0.020198676,0.073680343,dead.trees
2,10,Bareroot,Ulmus americana,0.065295108,0.00684239,0.157281005,0.016937448,0.071093581,dead.trees
2,11,Bareroot,Unknown,1.308670542,1.102424415,1.513555877,1.224327567,1.3953451,dead.trees
3,1,Seedling,Acer saccharinum,0.071844283,0.005874888,0.164928335,0.019125395,0.078834211,dead.trees
3,2,Seedling,Betula nigra,0.065274287,0.009477561,0.151147933,0.023142183,0.07696125,dead.trees
3,3,Seedling,Carya illinoiensis ,0.066592808,0.004636024,0.163128306,0.016179048,0.072049836,dead.trees
3,4,Seedling,Fraxinus pennsylvanica,0.078648691,0.009665734,0.184105147,0.020251058,0.087687736,dead.trees
3,5,Seedling,Platanus occidentalis,0.132576016,0.013182459,0.280354829,0.032427831,0.147146553,dead.trees
3,6,Seedling,Quercus bicolor,0.065694791,0.006948648,0.15092772,0.012968937,0.068867478,dead.trees
3,7,Seedling,Quercus palustris ,0.065065361,0.005287719,0.156029181,0.016734409,0.073200192,dead.trees
3,8,Seedling,Salix interior,0.064150512,0.008317295,0.149435976,0.021447049,0.073568066,dead.trees
3,9,Seedling,Salix nigra,0.066448278,0.008648942,0.154113608,0.01947238,0.07462011,dead.trees
3,10,Seedling,Ulmus americana,0.065277707,0.006911572,0.150430479,0.016671106,0.071920551,dead.trees
3,11,Seedling,Unknown,0.743632564,0.523400553,0.935047235,0.655145303,0.822161664,dead.trees
4,1,Acorn,Acer saccharinum,0.066955664,0.01116124,0.151879895,0.020655405,0.074584078,dead.trees
4,2,Acorn,Betula nigra,0.064211483,0.004475272,0.153584215,0.018451525,0.073378725,dead.trees
4,3,Acorn,Carya illinoiensis ,0.065123701,0.007146388,0.154924368,0.018093759,0.071868858,dead.trees
4,4,Acorn,Fraxinus pennsylvanica,0.064162881,0.009100752,0.153151564,0.019812579,0.072904039,dead.trees
4,5,Acorn,Platanus occidentalis,0.065610338,0.004349005,0.15053371,0.024009199,0.081036531,dead.trees
4,6,Acorn,Quercus bicolor,0.116306211,0.011465666,0.248919623,0.033568799,0.131761049,dead.trees
4,7,Acorn,Quercus palustris ,0.098914371,0.00892581,0.221004717,0.026310999,0.11078497,dead.trees
4,8,Acorn,Salix interior,0.066370899,0.005493288,0.157649789,0.014179781,0.070488392,dead.trees
4,9,Acorn,Salix nigra,0.065962807,0.008435905,0.15246698,0.019038953,0.072551674,dead.trees
4,10,Acorn,Ulmus americana,0.06363875,0.007683745,0.155438172,0.020861327,0.073496446,dead.trees
4,11,Acorn,Unknown,0.120710437,0.018828601,0.26062147,0.029144233,0.131613164,dead.trees
5,1,Seedbank,Acer saccharinum,0.065049113,0.007173668,0.153490557,0.01865039,0.072915122,dead.trees
