Plot,Spp,DBH,Basal area,Stem count
A1,Moralb,<50,,3
A1,Acesai,<50,,2
A1,Fralan,<50,,1
A1,Acesai,498,0.194781886,1
A1,Acesai,496,0.193220515,1
A2,Moralb,<50,,3
A2,Fralan,<50,,1
A2,Acesai,<50,,1
A2,Acesai,430,0.14522012,1
A2,Acesai,278,0.060698712,1
A2,Acesai,277,0.060262816,1
A2,Fralan,248,0.048305129,1
A2,Quebic,191,0.02865211,1
A2,Acesai,93,0.006792909,1
A2,Acesai,50,0.001963495,1
A3,Quebic,224,0.039408138,1
B1,Popdel,429,0.144545463,1
B1,Popdel,411,0.132670243,1
B1,Popdel,411,0.132670243,1
B1,Popdel,367,0.105784493,1
B1,Acesai,286,0.064242428,1
B1,Fralan,268,0.056410438,1
B1,Fralan,241,0.045616711,1
B1,Fralan,233,0.042638481,1
B1,Acesai,222,0.038707563,1
B1,Fralan,205,0.033006358,1
B1,Fralan,182,0.026015529,1
B1,Fralan,178,0.024884555,1
B1,Fralan,148,0.017203361,1
B1,Fralan,132,0.013684778,1
B1,Acesai,125,0.012271846,1
B1,Quebic,114,0.010207035,1
B1,Fralan,93,0.006792909,1
B1,Quebic,88,0.006082123,1
B1,Fralan,75,0.004417865,1
B2,Popdel,428,0.143872377,1
B2,Popdel,411,0.132670243,1
B2,Acesai,281,0.062015824,1
B2,Fralan,255,0.051070516,1
B2,Acesai,247,0.047916357,1
B2,Acesai,244,0.046759465,1
B2,Acesai,239,0.044862728,1
B2,Acesai,216,0.036643537,1
B2,Acesai,211,0.034966712,1
B2,Acesai,191,0.02865211,1
B2,Acesai,186,0.027171635,1
B2,Acesai,166,0.021642432,1
B2,Acesai,155,0.018869191,1
B2,Acesai,141,0.015614501,1
B2,Quebic,123,0.011882289,1
B2,Acesai,122,0.011689866,1
B2,Quebic,120,0.011309734,1
B2,Quebic,115,0.010386891,1
B2,Acesai,114,0.010207035,1
B2,Acesai,109,0.009331316,1
B2,Quebic,98,0.007542964,1
B2,Quebic,93,0.006792909,1
B2,Quebic,91,0.006503882,1
B2,Quebic,90,0.006361725,1
B2,Quebic,90,0.006361725,1
B2,Acesai,75,0.004417865,1
B2,Quebic,70,0.003848451,1
B2,Acesai,69,0.003739281,1
B2,Acesai,68,0.003631681,1
B2,Quebic,67,0.003525652,1
B2,Acesai,61,0.002922467,1
B2,Acesai,60,0.002827433,1
B3,Popdel,334,0.087615878,1
B3,Acesai,328,0.084496276,1
