Re-sample,Treatment_Plot,Live or dead,Species,DBH >= 2.5 cm ,Stem count < 2.5 cm,Notes
Y,A1,L ,Platanus occidentalis,10.5,1,
Y,A1,L,Platanus occidentalis,38.1,1,
Y,A1,L,Platanus occidentalis,9.5,1,
Y,A1,D,Fraxinus pennsylvanica,28.4,1,
Y,A1,L,Acer saccharinum,54,1,
Y,A1,L,Acer saccharinum,12.6,1,
Y,A1,L,Acer saccharinum,36.6,1,
Y,A1,D,Fraxinus pennsylvanica,17.1,1,
Y,A1,D,Fraxinus pennsylvanica,25.7,1,
Y,A1,L,Quercus bicolor,23.1,1,
Y,A1,L,Acer saccharinum,95.5,1,
Y,B1,D,Fraxinus pennsylvanica,29,1,
Y,B1,L,Morus alba,3.5,1,
Y,B1,D,Fraxinus pennsylvanica,28.6,1,
Y,B1,L,Quercus bicolor,17.1,1,
Y,B1,L,Quercus bicolor,23.9,1,
Y,B1,D,Unknown,57,1,
Y,B1,L,Morus alba,<2.5,18,
Y,B1,L,Quercus bicolor,17.1,1,
Y,B1,L,Quercus bicolor,20.2,1,
Y,B1,D,Fraxinus pennsylvanica,27.4,1,
Y,B1,D,Fraxinus pennsylvanica,19.3,1,
Y,B1,D,Fraxinus pennsylvanica,16.9,1,
Y,B1,D,Fraxinus pennsylvanica,13.4,1,
Y,B1,L,Quercus bicolor,12,1,
Y,B1,D,Fraxinus pennsylvanica,22.7,1,
Y,B1,D,Fraxinus pennsylvanica,21.6,1,
Y,B1,D,Fraxinus pennsylvanica,11.4,1,
Y,A3,L,Quercus bicolor,34.5,1,
Y,A3,L,Morus alba,<2.5,44,
Y,A3,D,Fraxinus pennsylvanica,31,1,
Y,A3,L,Quercus bicolor,20.7,1,
Y,A3,L,Acer saccharinum,94.4,1,
Y,A3,D,Quercus bicolor,18.6,1,
Y,A3,L,Ulmus americana,<2.5,1,
Y,A3,L,Quercus bicolor,24.2,1,
Y,A3,L,Zanthoxylum americanum,<2.5,1,
Y,A3,D,Fraxinus pennsylvanica,24.4,1,
Y,A3,L,Acer saccharinum,108,1,
Y,A3,L,Acer saccharinum,52.7,1,
Y,A3,L,Acer saccharinum,57.8,1,
Y,A3,L,Acer saccharinum,34.5,1,
Y,E2,L,Morus alba,<2.5,17,
Y,C2,L,Morus alba,<2.5,9,
Y,C2,L,Acer saccharinum,44.4,1,
Y,C2,D,Unknown,36.1,1,
Y,C2,D,Unknown,37.9,1,
Y,C2,L,Fraxinus pennsylvanica,9.9,1,
Y,C2,L,Ulmus americana,<2.5,1,
Y,C2,D,Unknown,19.1,1,
Y,C2,D,Unknown,36.4,1,
Y,C2,D,Fraxinus pennsylvanica,8.6,1,
Y,C2,D,Unknown,43,1,
Y,C2,L,Fraxinus pennsylvanica,7.3,1,
Y,C2,L,Acer saccharinum,14.9,1,
Y,C2,L,Acer saccharinum,22.5,1,
Y,C2,L,Acer saccharinum,12.3,1,
Y,C2,L,Acer saccharinum,30.1,1,
Y,C2,D,Acer saccharinum,11,1,
Y,C2,L,Acer saccharinum,40.7,1,
Y,C2,L,Acer saccharinum,33.3,1,
Y,C2,L,Acer saccharinum,35.1,1,
Y,C2,L,Acer saccharinum,42.6,1,
Y,C2,L,Acer saccharinum,36.7,1,
Y,C2,L,Acer saccharinum,16,1,
Y,C2,L,Acer saccharinum,21.3,1,
Y,C2,L,Acer saccharinum,38.8,1,
Y,C2,L,Acer saccharinum,22.5,1,
Y,C2,L,Acer saccharinum,27.1,1,
Y,C2,L,Acer saccharinum,29.6,1,
Y,C2,L,Acer saccharinum,18.5,1,
Y,C2,L,Acer saccharinum,19.7,1,
Y,C2,L,Acer saccharinum,18.7,1,
Y,C2,L,Acer saccharinum,23.6,1,
Y,C2,D,Acer saccharinum,10.3,1,
Y,C2,L,Acer saccharinum,20.9,1,
Y,C2,L,Acer saccharinum,54.6,1,
Y,C2,L,Acer saccharinum,31.2,1,
Y,C2,L,Acer saccharinum,43.1,1,
Y,C2,L,Acer saccharinum,14.7,1,
Y,C2,L,Acer saccharinum,25.9,1,
Y,C2,L,Acer saccharinum,50.4,1,
Y,C2,L,Acer saccharinum,28,1,
Y,C2,L,Acer saccharinum,26.6,1,
Y,C2,L,Acer saccharinum,27.3,1,
Y,C2,L,Acer saccharinum,23.4,1,
Y,C2,L,Acer saccharinum,51.3,1,
Y,C2,L,Acer saccharinum,53,1,
Y,C2,L,Acer saccharinum,28.2,1,
Y,C2,L,Acer saccharinum,30.1,1,
Y,C2,L,Acer saccharinum,35.3,1,
Y,C2,L,Acer saccharinum,48.5,1,
Y,C2,L,Acer saccharinum,21.5,1,
N,R1,D,Fraxinus pennsylvanica,44,1,
N,R1,D,Fraxinus pennsylvanica,49.1,1,
N,R1,D,Fraxinus pennsylvanica,43.9,1,
N,R1,D,Acer saccharinum,23.7,1,
N,R1,D,Ulmus americana,15.3,1,
N,R1,D,Ulmus americana,14.7,1,
N,R2,D,Fraxinus pennsylvanica,55.4,1,
N,R2,D,Ulmus americana,15.2,1,
N,R2,D,Unknown,11.4,1,
N,R2,D,Acer saccharinum,36.4,1,
N,R2,D,Acer saccharinum,47.3,1,
N,R2,D,Unknown,19.5,1,
N,R3,D,Fraxinus pennsylvanica,62.5,1,
N,R3,D,Unknown,17.4,1,
N,R3,D,Unknown,26.1,1,
N,R3,D,Unknown,8.6,1,
N,R3,D,Fraxinus pennsylvanica,59.7,1,
N,R3,D,Acer saccharinum,42,1,
N,R3,D,Fraxinus pennsylvanica,36.9,1,
N,E1,D,Salix spp.,<2.5,25,Willows can be SI or SN
N,E1,D,Salix nigra,6.4,1,
N,C1,D,Fraxinus pennsylvanica,16.9,1,
N,C1,D,Fraxinus pennsylvanica,16,1,
N,C1,D,Carya illinoiensis ,9.5,1,
N,A2,D,Unknown,28.3,1,
N,A2,D,Betula nigra,26.4,1,
N,E3,D,Salix interior,<2.5,2,
N,C3,D,Unknown,17.9,1,Several unknowns in this plot might be CI
N,C3,D,Unknown,19.3,1,
N,C3,D,Unknown,14,1,
N,C3,D,Platanus occidentalis,45,1,
N,C3,D,Unknown,9.9,1,
N,C3,D,Unknown,9.8,1,
N,C3,D,Unknown,13.3,1,
N,C3,D,Unknown,11.5,1,
N,D3,D,Quercus palustris ,29.3,1,
N,D3,D,Unknown,20.6,1,
N,D2,D,Quercus bicolor,26.3,1,
N,D2,D,Quercus bicolor,21.3,1,
N,D2,D,Quercus palustris ,19.1,1,
N,D2,D,Quercus bicolor,22.1,1,
N,B3,D,Unknown,13.1,1,
N,B3,D,Unknown,13.5,1,
N,B3,D,Unknown,35.6,1,
N,B3,D,Unknown,24.5,1,
N,B3,D,Fraxinus pennsylvanica,14.6,1,
N,B3,D,Unknown,6.7,1,
N,B3,D,Fraxinus pennsylvanica,11.1,1,
N,B3,D,Acer saccharinum,45.2,1,
N,B3,D,Unknown,12.8,1,
N,B3,D,Unknown,49.2,1,
N,B3,D,Unknown,10,1,
N,B3,D,Unknown,7.3,1,
N,B3,D,Unknown,8.6,1,
N,B3,D,Unknown,12.3,1,
N,B2,D,Unknown,11.6,1,
N,B2,D,Unknown,45.7,1,
N,B2,D,Unknown,6,1,
N,B2,D,Unknown,42.7,1,
N,B2,D,Unknown,11.5,1,
N,B2,D,Unknown,7.2,1,
N,B2,D,Unknown,2.8,1,
N,B2,D,Unknown,5,1,
N,B2,D,Acer saccharinum,21.2,1,
N,B2,D,Acer saccharinum,6.8,1,
N,B2,D,Acer saccharinum,33.8,1,
N,B2,D,Unknown,8.6,1,
N,B2,D,Acer saccharinum,36.6,1,
N,B2,D,Fraxinus pennsylvanica,17,1,
N,D1,D,Unknown,37.5,1,
N,D1,D,Salix interior,<2.5,1,
N,D1,D,Salix interior,9,1,
