ab.b0,ab.b1,cr.b0,cr.b1,fr.b0,fr.b1,spp,genus,species,category,note
-2.047,2.3852,-1.4485,-0.03476,-1.8629,-0.77534,Aceneg,Acer,negundo,Aceraceae < 0.50 spg,
-2.047,2.3852,-1.4485,-0.03476,-1.8629,-0.77534,Acesai,Acer,saccharinum,Aceraceae < 0.50 spg,
-2.2271,2.4513,-1.4485,-0.03476,-1.8629,-0.77534,Betnig,Betula,nigra,Betulaceae 0.40-0.49 spg,
-2.5095,2.6175,-1.4485,-0.03476,-1.8629,-0.77534,Carill,Carya,illinoiensis,"Fabaceae/Juglandaceae, Carya",
-2.2118,2.4133,-1.4485,-0.03476,-1.8629,-0.77534,Celocc,Celtis,occidentalis,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae (spg 0.49),
-2.0314,2.3524,-1.4485,-0.03476,-1.8629,-0.77534,Fralan,Fraxinus,lanceolata,Oleaceae < 0.55 spg,
-2.0314,2.3524,-1.4485,-0.03476,-1.8629,-0.77534,Fraxpen,Fraxinus,pennsylvanica,Oleaceae < 0.55 spg,
-2.5095,2.5437,-1.4485,-0.03476,-1.8629,-0.77534,Gletria,Gleditsia,triacanthos,"Fabaceae/Juglandaceae, other (spg 0.60)",
-2.2118,2.4133,-1.4485,-0.03476,-1.8629,-0.77534,Moralb,Morus,alba,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae (spg 0.55),assumed
-2.2118,2.4133,-1.4485,-0.03476,-1.8629,-0.77534,Plaocc,Platanus,occidentalis,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,
-2.4441,2.4561,-1.4485,-0.03476,-1.8629,-0.77534,Popdel,Populus,deltoides,Salicaceae >= 0.35 spg,
-2.0705,2.441,-1.4485,-0.03476,-1.8629,-0.77534,Quebic,Quercus,bicolor,"Fagaceae, deciduous",
-2.0705,2.441,-1.4485,-0.03476,-1.8629,-0.77534,Quemac,Quercus,macrocarpa,"Fagaceae, deciduous",
-2.0705,2.441,-1.4485,-0.03476,-1.8629,-0.77534,Quepal,Quercus,palustris,"Fagaceae, deciduous",
-2.4441,2.4561,-1.4485,-0.03476,-1.8629,-0.77534,Salexi,Salix,exigua,Salicaceae >= 0.35 spg,
-2.4441,2.4561,-1.4485,-0.03476,-1.8629,-0.77534,Salint,Salix,interior,Salicaceae >= 0.35 spg,
-2.4441,2.4561,-1.4485,-0.03476,-1.8629,-0.77534,Salnig,Salix,nigra,Salicaceae >= 0.35 spg,
-2.2118,2.4133,-1.4485,-0.03476,-1.8629,-0.77534,Ulmame,Ulmus,americana,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,
