year,treatment,full.treatment.name,plot,quadrat,Herbaceous biomass,Herbaceous litter,Fine woody debris,Mixed species,Phalaris arundinacea,Humulus japonicus
2022,A,Balled-and-burlapped,1,Q1,28.88888889,503.7777778,314.6666667,28.88888889,0,0
2022,A,Balled-and-burlapped,1,Q2,112.6666667,440.3333333,355.6666667,112.6666667,0,0
2022,A,Balled-and-burlapped,1,Q3,42.55555556,390.4444444,0,42.55555556,0,0
2022,A,Balled-and-burlapped,1,Q4,49.22222222,641.5555556,695,49.22222222,0,0
2022,A,Balled-and-burlapped,1,Q5,18,438.6666667,283.6666667,18,0,0
2022,A,Balled-and-burlapped,2,Q1,359,889.8888889,0,0,0,359
2022,A,Balled-and-burlapped,2,Q2,168,650.5555556,0,0,0,168
2022,A,Balled-and-burlapped,2,Q3,75.55555556,459.7777778,0,22.11111111,0,53.44444444
2022,A,Balled-and-burlapped,2,Q4,117,374.4444444,375,117,0,0
2022,A,Balled-and-burlapped,2,Q5,137.6666667,461.1111111,287.1111111,74.55555556,0,63.11111111
2022,A,Balled-and-burlapped,3,Q1,115.5555556,464.1111111,1056.222222,50.55555556,0,65
2022,A,Balled-and-burlapped,3,Q2,80.55555556,568.1111111,248.5555556,80.55555556,0,0
2022,A,Balled-and-burlapped,3,Q3,7,920.8888889,85.33333333,7,0,0
2022,A,Balled-and-burlapped,3,Q4,29.44444444,301,22.88888889,29.44444444,0,0
2022,A,Balled-and-burlapped,3,Q5,61.77777778,477.6666667,424.8888889,61.77777778,0,0
2022,B,Bareroot,1,Q1,419.1111111,820.6666667,621,0,0,419.1111111
2022,B,Bareroot,1,Q2,204.3333333,560.7777778,281.1111111,5.777777778,0,198.5555556
2022,B,Bareroot,1,Q3,3.444444444,470.6666667,1468.666667,3.444444444,0,0
2022,B,Bareroot,1,Q4,892.7777778,621.4444444,909,892.7777778,0,0
2022,B,Bareroot,1,Q5,212.7777778,1334.888889,0,17.77777778,45.44444444,149.5555556
2022,B,Bareroot,2,Q1,0.555555556,517,414.8888889,0.555555556,0,0
2022,B,Bareroot,2,Q2,0.777777778,525,2214.666667,0.777777778,0,0
2022,B,Bareroot,2,Q3,4.555555556,371.4444444,405.7777778,1.777777778,0,2.777777778
2022,B,Bareroot,2,Q4,9.222222222,553.6666667,1206.888889,9.222222222,0,0
2022,B,Bareroot,2,Q5,7.333333333,400.2222222,151.1111111,7.333333333,0,0
2022,B,Bareroot,3,Q1,0.111111111,450.3333333,2767.222222,0.111111111,0,0
2022,B,Bareroot,3,Q2,323.4444444,433.2222222,466.3333333,114.5555556,208.8888889,0
2022,B,Bareroot,3,Q3,0,425.1111111,1374,0,0,0
2022,B,Bareroot,3,Q4,0.222222222,337.5555556,607.8888889,0.222222222,0,0
2022,B,Bareroot,3,Q5,10.11111111,311.6666667,0,10.11111111,0,0
2022,C,Seedling,1,Q1,70.55555556,201.6666667,16.55555556,70.55555556,0,0
2022,C,Seedling,1,Q2,22.77777778,764.1111111,160.5555556,22.77777778,0,0
2022,C,Seedling,1,Q3,53.66666667,432.8888889,144.4444444,53.66666667,0,0
2022,C,Seedling,1,Q4,107.4444444,280.2222222,0,107.4444444,0,0
2022,C,Seedling,1,Q5,0,322.1111111,0,0,0,0
2022,C,Seedling,2,Q1,107.4444444,349.8888889,584.6666667,107.4444444,0,0
2022,C,Seedling,2,Q2,79.66666667,896.6666667,1212.666667,79.66666667,0,0
2022,C,Seedling,2,Q3,4,527,389,4,0,0
2022,C,Seedling,2,Q4,113.1111111,396.7777778,580.1111111,86.55555556,0,26.55555556
2022,C,Seedling,2,Q5,0.222222222,353.2222222,44.11111111,0.222222222,0,0
2022,C,Seedling,3,Q1,0,721.3333333,757.2222222,0,0,0
2022,C,Seedling,3,Q2,0,438.2222222,4.111111111,0,0,0
2022,C,Seedling,3,Q3,7.222222222,0,0,7.222222222,0,0
2022,C,Seedling,3,Q4,0,541.4444444,1755,0,0,0
2022,C,Seedling,3,Q5,58,1147.555556,2058.333333,58,0,0
