"Plot","Quadrat","Cover.class","Spp","Cover","Year"
"A1","Q1",4,"Pilea pumila",62.5,2022
"A1","Q1",2,"Laportea canadensis",15,2022
"A1","Q1",1,"Woody debris",37.5,2022
"A1","Q2",5,"Pilea pumila",85,2022
"A1","Q2",2,"Bidens frondosa",15,2022
"A1","Q2",2,"Persicaria punctata",15,2022
"A1","Q2",1,"Elymus virginicus",37.5,2022
"A1","Q2",1,"Woody debris",37.5,2022
"A1","Q3",5,"Pilea pumila",85,2022
"A1","Q3",1,"Galium aparine",37.5,2022
"A1","Q4",3,"Pilea pumila",37.5,2022
"A1","Q4",2,"Persicaria punctata",15,2022
"A1","Q4",2,"Impatiens capensis",15,2022
"A1","Q4",2,"Woody debris",15,2022
"A1","Q4",1,"Ulmus americana",37.5,2022
"A1","Q4",1,"Boehmeria cylindrica",37.5,2022
"A1","Q4",1,"Acer saccharinum",37.5,2022
"A1","Q4",1,"Laportea canadensis",37.5,2022
"A1","Q4",1,"Toxicodendron radicans",37.5,2022
"A1","Q5",3,"Toxicodendron radicans",37.5,2022
"A1","Q5",2,"Symphyotrichum ontarionis",15,2022
"A1","Q5",2,"Leersia virginica",15,2022
"A1","Q5",1,"Galium aparine",37.5,2022
"A1","Q5",1,"Sicyos angulatus",37.5,2022
"A1","Q5",1,"Pilea pumila",37.5,2022
"A1","Q5",1,"Viola sororia",37.5,2022
"A1","Q5",1,"Woody debris",37.5,2022
"A1","Q5",1,"Boehmeria cylindrica",37.5,2022
"A1","Q5",1,"Fraxinus pennsylvanica",37.5,2022
"A2","Q1",6,"Humulus japonicus",97.5,2022
"A2","Q1",0,"Woody debris",0.5,2022
"A2","Q1",0,"Bareground",0.5,2022
"A2","Q2",6,"Humulus japonicus",97.5,2022
"A2","Q2",4,"Bareground",62.5,2022
"A2","Q2",1,"Phalaris arundinacea",37.5,2022
"A2","Q2",0,"Woody debris",0.5,2022
"A2","Q3",3,"Humulus japonicus",37.5,2022
"A2","Q3",2,"Urtica gracilis",15,2022
"A2","Q3",2,"Bareground",15,2022
"A2","Q3",1,"Persicaria punctata",37.5,2022
"A2","Q3",1,"Smilax tamnoides",37.5,2022
"A2","Q3",1,"Chaerophyllum procumbens",37.5,2022
"A2","Q3",1,"Pilea pumila",37.5,2022
"A2","Q3",1,"Vitis riparia",37.5,2022
"A2","Q3",0,"Woody debris",0.5,2022
"A2","Q4",3,"Humulus japonicus",37.5,2022
"A2","Q4",2,"Persicaria punctata",15,2022
"A2","Q4",1,"Sicyos angulatus",37.5,2022
"A2","Q4",1,"Pilea pumila",37.5,2022
"A2","Q4",1,"Morus alba",37.5,2022
"A2","Q4",1,"Fraxinus pennsylvanica",37.5,2022
"A2","Q4",1,"Bidens frondosa",37.5,2022
"A2","Q4",1,"Vitis riparia",37.5,2022
"A2","Q4",1,"Symphyotrichum ontarionis",37.5,2022
"A2","Q4",1,"Galium aparine",37.5,2022
"A2","Q5",6,"Humulus japonicus",97.5,2022
"A2","Q5",2,"Woody debris",15,2022
"A2","Q5",1,"Bareground",37.5,2022
"A2","Q5",1,"Persicaria punctata",37.5,2022
"A2","Q5",1,"Morus alba",37.5,2022
"A2","Q5",1,"Toxicodendron radicans",37.5,2022
"A3","Q1",2,"Humulus japonicus",15,2022
"A3","Q1",2,"Bareground",15,2022
"A3","Q1",1,"Toxicodendron radicans",37.5,2022
"A3","Q1",1,"Sicyos angulatus",37.5,2022
"A3","Q1",1,"Pilea pumila",37.5,2022
"A3","Q1",1,"Vitis riparia",37.5,2022
"A3","Q1",1,"Carex spp.",37.5,2022
"A3","Q1",1,"Galium aparine",37.5,2022
"A3","Q1",1,"Viola sororia",37.5,2022
"A3","Q1",1,"Woody debris",37.5,2022
"A3","Q2",4,"Sicyos angulatus",62.5,2022
"A3","Q2",2,"Bareground",15,2022
"A3","Q2",1,"Pilea pumila",37.5,2022
"A3","Q2",1,"Galium aparine",37.5,2022
"A3","Q2",1,"Symphyotrichum ontarionis",37.5,2022
"A3","Q2",1,"Morus alba",37.5,2022
"A3","Q2",1,"Woody debris",37.5,2022
"A3","Q3",3,"Bareground",37.5,2022
"A3","Q3",2,"Persicaria punctata",15,2022
"A3","Q3",2,"Woody debris",15,2022
"A3","Q3",1,"Vitis riparia",37.5,2022
"A3","Q3",1,"Toxicodendron radicans",37.5,2022
"A3","Q3",1,"Galium aparine",37.5,2022
"A3","Q3",1,"Boehmeria cylindrica",37.5,2022
"A3","Q3",1,"Carex spp.",37.5,2022
"A3","Q3",1,"Symphyotrichum ontarionis",37.5,2022
"A3","Q3",1,"Acer saccharinum",37.5,2022
"A3","Q3",1,"Sicyos angulatus",37.5,2022
"A3","Q4",2,"Toxicodendron radicans",15,2022
"A3","Q4",1,"Trifolium repens",37.5,2022
"A3","Q4",1,"Galium aparine",37.5,2022
"A3","Q4",1,"Morus alba",37.5,2022
"A3","Q4",1,"Acer saccharinum",37.5,2022
"A3","Q4",1,"Persicaria punctata",37.5,2022
"A3","Q4",1,"Packera glabella",37.5,2022
"A3","Q4",1,"Acalypha rhomboidea",37.5,2022
"A3","Q4",1,"Symphyotrichum ontarionis",37.5,2022
"A3","Q5",4,"Bareground",62.5,2022
"A3","Q5",2,"Symphyotrichum ontarionis",15,2022
"A3","Q5",1,"Morus alba",37.5,2022
"A3","Q5",1,"Vitis riparia",37.5,2022
"A3","Q5",1,"Woody debris",37.5,2022
"A3","Q5",1,"Taraxacum officinale",37.5,2022
