"trt","plot","quad.letter","quad","cover","spp","year","MW_family","wis","growth.form","c.value","native","life.dur","family","order","node1","node2","node3","node4","wis.num"
"A","1","SS","1",2.5,"Ulmus americana",2013,"Ulmaceae","FACW","Nt TREE",5,1,1,"Ulmaceae","Rosales","Eudicots","Superrosids","Rosids","Fabids",2
"A","1","SS","2",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","1","SS","3",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","1","SS","3",2.5,"Pilea pumila",2013,"Urticaceae","FACW","Nt A-FORB",3,1,0,"Urticaceae","Rosales","Eudicots","Superrosids","Rosids","Fabids",2
"A","1","SS","3",2.5,"Symphyotrichum lanceolatum",2013,"Asteraceae","FAC","Nt P-FORB",3,1,1,"Asteraceae","Asterales","Eudicots","Superasterids","Asterids","Campanulids",3
"A","1","SS","4",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","1","SS","4",2.5,"Symphyotrichum lanceolatum",2013,"Asteraceae","FAC","Nt P-FORB",3,1,1,"Asteraceae","Asterales","Eudicots","Superasterids","Asterids","Campanulids",3
"A","1","SS","5",62.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","2","SS","1",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","2","SS","2",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","2","SS","3",62.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","2","SS","3",2.5,"Symphyotrichum lanceolatum",2013,"Asteraceae","FAC","Nt P-FORB",3,1,1,"Asteraceae","Asterales","Eudicots","Superasterids","Asterids","Campanulids",3
"A","2","SS","4",37.5,"Leersia virginica",2013,"Poaceae","FACW","Nt P-GRASS",4,1,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","2","SS","4",15,"Morus alba",2013,"Moraceae","FAC","Ad TREE",0,0,1,"Moraceae","Rosales","Eudicots","Superrosids","Rosids","Fabids",3
"A","2","SS","4",2.5,"Vitis riparia",2013,"Vitaceae","FACW","Nt W-VINE",2,1,1,"Vitaceae","Vitales","Eudicots","Superrosids","Rosids","",2
"A","2","SS","5",62.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","2","SS","5",2.5,"Symphyotrichum lanceolatum",2013,"Asteraceae","FAC","Nt P-FORB",3,1,1,"Asteraceae","Asterales","Eudicots","Superasterids","Asterids","Campanulids",3
"A","3","SS","1",85,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","3","SS","2",62.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","3","SS","3",62.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","3","SS","4",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"A","3","SS","5",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","1","SS","1",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","1","SS","2",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","1","SS","3",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","1","SS","4",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","1","SS","5",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","2","SS","3",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","2","SS","4",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","3","SS","1",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"B","3","SS","4",2.5,"Sicyos angulatus",2013,"Cucurbitaceae","FACW","Nt H-VINE",3,1,1,"Cucurbitaceae","Cucurbitales","Eudicots","Superrosids","Rosids","Fabids",2
"B","3","SS","5",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","1","SS","1",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","1","SS","2",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","1","SS","3",85,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","1","SS","4",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","1","SS","5",62.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","2","SS","1",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","2","SS","2",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","2","SS","3",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","2","SS","4",2.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","2","SS","5",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","3","SS","4",37.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"C","3","SS","5",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","1","SS","1",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","1","SS","2",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","1","SS","3",15,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","1","SS","4",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","1","SS","5",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","2","SS","1",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","2","SS","2",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
"D","2","SS","3",97.5,"Phalaris arundinacea",2013,"Poaceae","FACW","Ad P-GRASS",0,0,1,"Poaceae","Poales","Monocots","Commelinids","","",2
