"Year","Trt","Num","N"
"2022","A","1","16"
"2022","A","2","15"
"2022","A","3","18"
"2022","B","1","11"
"2022","B","2","12"
"2022","B","3","12"
"2022","C","1","18"
"2022","C","2","14"
"2022","C","3","13"
"2022","D","1","18"
"2022","D","2","14"
"2022","D","3","8"
"2022","E","1","3"
"2022","E","2","4"
"2022","E","3","8"
"2022","R","1","18"
"2022","R","2","18"
"2022","R","3","16"
"2023","A","1","19"
"2023","A","2","18"
"2023","A","3","18"
"2023","B","1","14"
"2023","B","2","20"
"2023","B","3","15"
"2023","C","1","15"
"2023","C","2","19"
"2023","C","3","11"
"2023","D","1","16"
"2023","D","2","24"
"2023","D","3","21"
"2023","E","1","4"
"2023","E","2","10"
"2023","E","3","12"
"2023","R","1","17"
"2023","R","2","23"
"2023","R","3","25"
