Transect,Quadrat,Species,Mass of boat (g),Mass of boat + vegetation (g),Mass of vegetation (g),Note
C1,Q4,Sicyos angulatus,35.92,38.08,2.16,
D1,Q3,Fine woody debris,35.92,38.12,2.2,
C1,Q4,Leersia virginica,35.92,35.96,0.04,
D1,Q4,Fine woody debris,35.92,48.27,12.35,
C2,Q4,Bidens frondosa,35.92,36.34,0.42,
D1,Q5,Sicyos angulatus,35.92,36.61,0.69,
D2,Q3,Solanum ptychanthum,35.92,36.25,0.33,
B2,Q3,Morus alba,35.92,39.21,3.29,
B2,Q3,Persicaria punctata,35.92,36.15,0.23,
B3,Q1,Fine woody debris,35.92,45.91,9.99,
E2,Q1,Persicaria punctata,35.92,37.35,1.43,
E2,Q3,Persicaria pensylvanica,35.92,38.23,2.31,
A3,Q5,Fine woody debris,35.92,47.49,11.57,
D2,Q1,Fraxinus pennsylvanica,35.92,36.71,0.79,
D3,Q1,Pilea pumila,35.92,36.25,0.33,
R1,Q2,Pilea pumila,35.92,36.19,0.27,
R1,Q1,Bidens frondosa,35.92,35.93,0.01,
D2,Q4,Vitis riparia,35.92,35.95,0.03,
R1,Q1,Smilax tamnoides,35.92,35.93,0.01,
R1,Q1,Persicaria punctata,35.92,36.38,0.46,
R1,Q1,Pilea pumila,35.92,35.96,0.04,
R1,Q2,Oxalis stricta,35.92,35.97,0.05,
R1,Q2,Leersia virginica,35.92,36.08,0.16,
R1,Q3,Leersia virginica,35.92,35.98,0.06,
R1,Q5,Pilea pumila,35.92,36,0.08,
R1,Q5,Leersia virginica,35.92,35.94,0.02,
R2,Q2,Ulmus americana,35.92,35.94,0.02,
R2,Q2,Taraxicum officianale,35.92,36.05,0.13,
R2,Q4,Toxicodendron radicans,35.92,36.06,0.14,
C3,Q2,Vitis riparia,35.92,35.93,0.01,
C3,Q3,Acer saccharinum,35.92,35.93,0.01,
D1,Q1,Sicyos angulatus,35.92,36.24,0.32,
A2,Q3,Persicaria punctata,35.92,37.56,1.64,
B3,Q4,Parthenocissus quinquefolia,35.92,37.64,1.72,
B2,Q4,Laportea canadensis,35.92,36.36,0.44,
A2,Q4,Humulus japonicus,35.92,36.32,0.4,
A2,Q4,Fine woody debris,35.92,43.06,7.14,
A2,Q2,Humulus japonicus,35.92,36.07,0.15,
B3,Q3,Sicyos angulatus,35.92,36.79,0.87,
D3,Q1,Fine woody debris,35.92,39.33,3.41,
D3,Q2,Fine woody debris,35.92,43.23,7.31,
D2,Q1,Sicyos angulatus,35.92,36.3,0.38,
D2,Q2,Elymus virginica,35.92,36.12,0.2,
A1,Q2,Sicyos angulatus,35.92,36.1,0.18,
A1,Q2,Persicaria punctata,35.92,35.95,0.03,
A1,Q2,Leersia virginica,35.92,36.16,0.24,
A1,Q3,Toxicodendron radicans,35.92,36.56,0.64,
A1,Q4,Pilea pumila,35.92,35.98,0.06,
A2,Q1,Humulus japonicus,35.92,35.99,0.07,
A2,Q3,Polygonum scandens,35.92,35.98,0.06,
A2,Q3,Rorippa curvisiliqua (sqlu),35.92,36.06,0.14,
A1,Q1,Sicyos angulatus,35.92,36.01,0.09,
A2,Q3,Symphyotrichum ontarionisis,35.92,36.25,0.33,
A3,Q1,Pilea pumila,35.92,35.98,0.06,
A3,Q2,Pilea pumila,35.92,35.94,0.02,
A3,Q3,Fine woody debris,35.92,44.28,8.36,
A3,Q5,Pilea pumila,35.92,35.94,0.02,
A3,Q5,Bidens frondosa,35.92,35.94,0.02,
A3,Q5,Acalypha rhomboidea,35.92,35.94,0.02,
B1,Q1,Leersia oryzoides,35.92,36,0.08,
B1,Q1,Persicaria punctata,35.92,35.93,0.01,
B1,Q1,Pilea pumila,35.92,35.97,0.05,
B1,Q1,Humulus japonicus,35.92,36.43,0.51,
B1,Q3,Toxicodendron radicans,35.92,35.94,0.02,
B3,Q4,Fine woody debris,35.92,57.4,21.48,
C2,Q4,Persicaria punctata,35.92,36.57,0.65,
C1,Q2,Smilax tamnoides,35.92,35.95,0.03,
C2,Q1,Symphyotrichum ontarionisis,35.92,36.65,0.73,
C2,Q2,Toxicodendron radicans,35.92,37.19,1.27,
C2,Q2,Symphyotrichum ontarionisis,35.92,36.84,0.92,
C2,Q2,Fraxinus pennsylvanica,35.92,37.2,1.28,
C2,Q3,Bidens frondosa,35.92,35.96,0.04,
D1,Q1,Pilea pumila,35.92,35.92,0,
D1,Q3,Symphyotrichum ontarionisis,35.92,36.21,0.29,
D1,Q4,Phalaris arundinacea,35.92,38.79,2.87,
D1,Q4,Persicaria punctata,35.92,36.38,0.46,
D2,Q3,Sicyos angulatus,35.92,36.4,0.48,
D3,Q3,Fine woody debris,35.92,48.15,12.23,
D3,Q3,Solanum ptychanthum,35.92,36.05,0.13,
E1,Q2,Fine woody debris,35.92,37.13,1.21,
E2,Q1,Fine woody debris,35.92,37.29,1.37,
R2,Q2,Acalypha rhomboidea,35.92,35.97,0.05,
R2,Q2,Stachys palustris,35.92,36.58,0.66,
R2,Q1,Acer saccharinum,35.92,36.18,0.26,
R2,Q5,Sicyos angulatus,35.92,36.14,0.22,
R2,Q5,Pilea pumila,35.92,35.96,0.04,
R2,Q5,Boehmeria cylindrica,35.92,35.95,0.03,
R2,Q3,Leersia virginica,35.92,35.94,0.02,
R2,Q3,Scutellaria lateriflora,35.92,35.93,0.01,
R2,Q3,Pilea pumila,35.92,35.93,0.01,
R2,Q4,Bidens frondosa,35.92,35.95,0.03,
R2,Q4,Pilea pumila,35.92,37.34,0.06,"Forgot to weigh before mixing, estimated based on mass of envelope (1.36)"
R3,Q1,Acalypha rhomboidea,35.92,35.94,0.02,
R3,Q1,Sicyos angulatus,35.92,36.09,0.17,
R3,Q3,Scutellaria lateriflora,35.92,36.08,0.16,
R3,Q3,Bidens frondosa,35.92,36,0.08,
R3,Q3,Amaranthus tuberculatus,35.92,35.93,0.01,
R3,Q4,Sicyos angulatus,35.92,36.63,0.71,
R3,Q5,Pilea pumila,35.92,36.4,0.48,
R3,Q5,Unknown,35.92,36.71,0.79,Could be urtica gracilis
E1,Q5,Celtis occidentalis,35.92,35.98,0.06,
D1,Q5,Herbaceous litter,406.25,525.06,118.81,
C2,Q2,Laportea canadensis,406.25,416.33,10.08,
C2,Q5,Fine woody debris,406.25,472.52,66.27,
C2,Q5,Herbaceous litter,406.25,480.11,73.86,
C2,Q3,Fine woody debris,406.25,473.64,67.39,
D1,Q4,Herbaceous litter,406.25,508.56,102.31,
B1,Q1,Herbaceous litter,406.2,480.14,73.94,
