Treatment_Plot,Quadrat,Spp,Actual dry mass + container w/o bag (g),Container mass (g),Actual dry mass w/o bag (g)
A1,Q4,Impatiens capensis,407.11,406.57,0.54
B1,Q2,Humulus japonicus,424.37,406.5,17.87
B1,Q4,Acer saccharinum,406.74,406.55,0.19
B1,Q4,Toxicodendron radicans,406.88,406.8,0.08
B1,Q4,Urtica gracilis,487.07,406.99,80.08
B1,Q5,Humulus japonicus,420.26,406.8,13.46
B1,Q5,Phalaris arundinacea,410.7,406.61,4.09
B1,Q5,Urtica gracilis,408.65,407.05,1.6
D1,Q4,Persicaria punctata,412.44,407.1,5.34
D2,Q5,Ageratina altissima,412,406.51,5.49
E3,Q3,Humulus japonicus,437.59,406.48,31.11
B1,Q1,Herbaceous litter,480.63,406.77,73.86
B1,Q1,Fine woody debris,462.37,406.48,55.89
R2,Q3,Morus alba,420.26,406.79,13.47
R2,Q4,Ulmus americana,411.83,406.52,5.31
R2,Q3,Sicyos angulatus,408.32,406.43,1.89
R2,Q2,Ambrosia trifida,412.64,406.41,6.23
R2,Q2,Pilea pumila,414.87,406.41,8.46
R2,Q2,Morus alba,407.1,406.43,0.67
R2,Q2,Leersia oryzoides,407.82,406.41,1.41
R2,Q4,Acer saccharinum,406.75,406.41,0.34
R2,Q2,Sicyos angulatus,408.89,406.41,2.48
R2,Q5,Sicyos angulatus,419.37,406.41,12.96
R2,Q3,Pilea pumila,411.19,406.41,4.78
R2,Q2,Bidens frondosa,409.28,406.41,2.87
R2,Q3,Bidens frondosa,425.57,406.41,19.16
R2,Q2,Acalypha rhomboidea,406.49,406.41,0.08
R2,Q3,Ulmus americana,406.62,406.41,0.21
R2,Q1,Pilea pumila,406.68,406.41,0.27
R2,Q1,Ulmus americana,406.99,406.41,0.58
R2,Q5,Laportea canadensis,412.01,406.41,5.6
R2,Q1,Bidens frondosa,413.93,406.41,7.52
R2,Q1,Sicyos angulatus,407.64,406.41,1.23
R1,Q4,Persicaria punctata,406.32,406.36,0
R1,Q2,Carex grisea,411.28,406.36,4.92
R1,Q3,Stachys palustris,406.52,406.36,0.16
R1,Q3,Leersia virginica,406.37,406.36,0.01
R1,Q2,Sicyos angulatus,411.74,406.36,5.38
R1,Q1,Sicyos angulatus,407.23,406.36,0.87
R1,Q1,Stachys palustris,407.2,406.36,0.84
R1,Q4,Galium aparine,406.36,406.36,0
R1,Q1,Smilax tamnoides,406.97,406.36,0.61
R1,Q2,Phytolacca americana,421.77,406.36,15.41
R3,Q3,Acer saccharinum,406.45,406.36,0.09
R3,Q1,Persicaria punctata,406.58,406.36,0.22
R3,Q5,Scutellaria lateriflora,407.2,406.36,0.84
R3,Q1,Morus alba,407.3,406.36,0.94
R3,Q1,Pilea pumila,406.38,406.36,0.02
R3,Q2,Persicaria pensylvanica,406.65,406.36,0.29
R3,Q1,Bidens frondosa,422.68,406.36,16.32
R3,Q4,Boehmerica cylindrica,407.08,406.36,0.72
E1,Q2,Humulus japonicus,470.94,406.36,64.58
E1,Q4,Humulus japonicus,411.33,406.36,4.97
E1,Q3,Humulus japonicus,418.73,406.36,12.37
E1,Q5,Sicyos angulatus,410,406.36,3.64
B1,Q1,Humulus japonicus,444.08,406.36,37.72
B2,Q4,Persicaria punctata,406.63,406.36,0.27
B2,Q3,Vitis riparia,406.46,406.36,0.1
B2,Q3,Galium aparine,406.42,406.36,0.06
B2,Q3,Humulus japonicus,406.61,406.36,0.25
B2,Q2,Galium aparine,406.43,406.36,0.07
B2,Q1,Galium aparine,406.41,406.36,0.05
B2,Q4,Sicyos angulatus,406.92,406.36,0.56
B2,Q5,Galium aparine,407.02,406.36,0.66
B3,Q1,Galium aparine,406.37,406.36,0.01
B3,Q2,Galium aparine,406.36,406.36,0
B3,Q4,Galium aparine,406.38,406.36,0.02
B3,Q3,Galium aparine,406.36,406.36,0
B3,Q5,Packera glabella,407.27,406.36,0.91
B3,Q2,Acer saccharinum,406.41,406.36,0.05
B3,Q4,Packera glabella,406.36,406.36,0
D2,Q5,Leersia virginica,409.15,406.36,2.79
D2,Q4,Humulus japonicus,408.25,406.36,1.89
D2,Q4,Persicaria punctata,407,406.36,0.64
D2,Q5,Humulus japonicus,407.68,406.36,1.32
D2,Q5,Sicyos angulatus,407.95,406.36,1.59
D2,Q3,Phalaris arundinacea,409.37,406.36,3.01
D2,Q4,Pilea pumila,410.34,406.36,3.98
D1,Q5,Pilea pumila,408.11,406.36,1.75
D1,Q5,Sicyos angulatus,409.02,406.36,2.66
D1,Q4,Bidens frondosa,411.93,406.36,5.57
D1,Q5,Leersia oryzoides,406.58,406.36,0.22
D1,Q5,Acer saccharinum,407.14,406.36,0.78
D1,Q4,Pilea pumila,406.52,406.36,0.16
D1,Q1,Urtica gracilis,435.04,406.36,28.68
D2,Q1,Humulus japonicus,429.89,406.36,23.53
B3,Q2,Carex grisea,413.04,406.36,6.68
B3,Q2,Morus alba,409.94,406.36,3.58
C2,Q3,Galium aparine,406.71,406.36,0.35
C2,Q1,Toxicodendron radicans,415.06,406.36,8.7
C2,Q4,Ulmus americana,413.87,406.36,7.51
C2,Q2,Toxicodendron radicans,412.56,406.36,6.2
C2,Q5,Galium aparine,406.38,406.36,0.02
C2,Q1,Symphyotrichum ontarionisis,407.28,406.36,0.92
C2,Q1,Galium aparine,406.41,406.36,0.05
C2,Q4,Leersia oryzoides,406.59,406.36,0.23
C2,Q4,Persicaria punctata,406.41,406.36,0.05
C2,Q3,Galium aparine,406.37,406.36,0.01
C2,Q4,Humulus japonicus,408.75,406.36,2.39
C3,Q5,Sicyos angulatus,409.87,406.36,3.51
C3,Q5,Persicaria punctata,408.04,406.36,1.68
C3,Q5,Galium aparine,406.39,406.36,0.03
C3,Q2,Galium aparine,406.35,406.36,0
C3,Q3,Parthenocissus quinquefolia,407.01,406.36,0.65
C3,Q3,Galium aparine,406.35,406.36,0
D3,Q3,Sicyos angulatus,406.66,406.36,0.3
D3,Q1,Sicyos angulatus,406.56,406.36,0.2
E3,Q3,Phalaris arundinacea,407.71,406.36,1.35
A2,Q2,Humulus japonicus,421.48,406.36,15.12
A2,Q3,Humulus japonicus,411.17,406.36,4.81
A2,Q1,Humulus japonicus,438.67,406.36,32.31
A2,Q5,Humulus japonicus,412.04,406.36,5.68
A2,Q3,Ulmus americana,406.72,406.36,0.36
A2,Q4,Pilea pumila,414.5,406.36,8.14
A2,Q3,Pilea pumila,407.14,406.36,0.78
A3,Q2,Sicyos angulatus,410.58,406.36,4.22
A3,Q1,Sicyos angulatus,406.47,406.36,0.11
A3,Q2,Morus alba,408.54,406.36,2.18
A3,Q1,Pilea pumila,407.04,406.36,0.68
A3,Q1,Toxicodendron radicans,410.11,406.36,3.75
D1,Q1,Humulus japonicus,407.98,406.36,1.62
D1,Q1,Pilea pumila,407.98,406.36,1.62
D1,Q3,Ulmus americana,411.29,406.36,4.93
D1,Q3,Pilea pumila,410.82,406.36,4.46
D1,Q2,Phalaris arundinacea,408.52,406.36,2.16
E2,Q3,Humulus japonicus,411.39,406.36,5.03
E2,Q4,Humulus japonicus,455.92,406.36,49.56
E2,Q3,Phalaris arundinacea,407.28,406.36,0.92
E3,Q5,Solanum ptychanthum,406.68,406.36,0.32
E2,Q3,Sicyos angulatus,417.56,406.36,11.2
E2,Q5,Phalaris arundinacea,452.13,406.36,45.77
E2,Q1,Humulus japonicus,420.4,406.36,14.04
E2,Q5,Humulus japonicus,408.8,406.36,2.44
E2,Q2,Phalaris arundinacea,418.17,406.36,11.81
E2,Q5,Phalaris arundinacea,421.11,406.36,14.75
E2,Q1,Phalaris arundinacea,408.34,406.36,1.98
E2,Q1,Sicyos angulatus,407.25,406.36,0.89
E2,Q2,Sicyos angulatus,408.6,406.36,2.24
E1,Q5,Phalaris arundinacea,450.21,406.36,43.85
A2,Q4,Persicaria punctata,406.39,406.36,0.03
A2,Q5,Morus alba,408.83,406.36,2.47
A2,Q3,Urtica gracilis,406.57,406.36,0.21
A2,Q4,Morus alba,407.86,406.36,1.5
A2,Q3,Persicaria punctata,407,406.36,0.64
A2,Q4,Bidens frondosa,406.47,406.36,0.11
A2,Q5,Persicaria punctata,410.21,406.36,3.85
A2,Q4,Symphyotrichum ontarionisis,406.41,406.36,0.05
A2,Q4,Sicyos angulatus,407.06,406.36,0.7
A2,Q5,Toxicodendron radicans,406.75,406.36,0.39
A3,Q5,Pilea pumila,406.66,406.36,0.3
