Date,Plot,Quadrat,Cover class,Spp,Notes
6/13/2023,A1,Q1,4,Laportea canadensis,
6/13/2023,A1,Q1,5,Pilea pumila,
6/13/2023,A1,Q1,1,Sicyos angulatus,
6/13/2023,A1,Q1,0,Woody debris,
6/13/2023,A1,Q1,1,Bareground,
6/13/2023,A1,Q2,3,Laportea canadensis,
6/13/2023,A1,Q2,4,Pilea pumila,
6/13/2023,A1,Q2,1,Elymus virginicus,
6/13/2023,A1,Q2,2,Persicaria punctata,
6/13/2023,A1,Q2,1,Bidens frondosa,
6/13/2023,A1,Q2,0,Woody debris,
6/13/2023,A1,Q2,1,Bareground,
6/13/2023,A1,Q2,1,Sicyos angulatus,
6/13/2023,A1,Q3,5,Pilea pumila,
6/13/2023,A1,Q3,1,Impatiens capensis,
6/13/2023,A1,Q3,2,Symphyotrichum ontarionis ,
6/13/2023,A1,Q3,1,Lonicera mackii,
6/13/2023,A1,Q3,1,Carya spp.,
6/13/2023,A1,Q3,1,Toxicodendron radicans,
6/13/2023,A1,Q3,1,Woody debris,
6/13/2023,A1,Q3,1,Bareground,
6/13/2023,A1,Q4,5,Laportea canadensis,
6/13/2023,A1,Q4,2,Pilea pumila,
6/13/2023,A1,Q4,1,Fraxinus pennsylvanica,
6/13/2023,A1,Q4,1,Ulmus americana,
6/13/2023,A1,Q4,1,Sicyos angulatus,
6/13/2023,A1,Q4,1,Humulus japonicus,
6/13/2023,A1,Q4,1,Woody debris,
6/13/2023,A1,Q4,2,Bareground,
6/13/2023,A1,Q5,1,Elymus virginicus,
6/13/2023,A1,Q5,3,Leersia virginica,
6/13/2023,A1,Q5,1,Ulmus americana,
6/13/2023,A1,Q5,2,Toxicodendron radicans,
6/13/2023,A1,Q5,1,Fraxinus pennsylvanica,
6/13/2023,A1,Q5,1,Vitis riparia,
6/13/2023,A1,Q5,1,Parthenocissus quinquefolia,
6/13/2023,A1,Q5,1,Viola sororia,
6/13/2023,A1,Q5,1,Boehmeria cylindrica,
6/13/2023,A1,Q5,1,Persicaria punctata,
6/13/2023,A1,Q5,1,Woody debris,
6/13/2023,A1,Q5,3,Bareground,
6/13/2023,A1,Q5,1,Pilea pumila,
6/13/2023,A2,Q1,5,Phalaris arundinacea,
6/13/2023,A2,Q1,4,Humulus japonicus,
6/13/2023,A2,Q1,2,Rumex altissimus,
6/13/2023,A2,Q1,0,Woody debris,
6/13/2023,A2,Q1,0,Bareground,
6/13/2023,A2,Q1,1,Persicaria pensylvanica,
6/13/2023,A2,Q2,2,Phalaris arundinacea,
6/13/2023,A2,Q2,5,Humulus japonicus,
6/13/2023,A2,Q2,2,Sicyos angulatus,
6/13/2023,A2,Q2,1,Persicaria pensylvanica,
6/13/2023,A2,Q2,0,Woody debris,
6/13/2023,A2,Q2,0,Bareground,
6/13/2023,A2,Q3,1,Fallopia scandens,
6/13/2023,A2,Q3,2,Pilea pumila,
6/13/2023,A2,Q3,2,Symphyotrichum ontarionis ,
6/13/2023,A2,Q3,2,Morus alba,
6/13/2023,A2,Q3,1,Persicaria punctata,
6/13/2023,A2,Q3,1,Humulus japonicus,
6/13/2023,A2,Q3,1,Bidens frondosa,
6/13/2023,A2,Q3,1,Parthenocissus quinquefolia,
6/13/2023,A2,Q3,2,Rorippa sylvestris,
6/13/2023,A2,Q3,1,Woody debris,
6/13/2023,A2,Q3,3,Bareground,
6/13/2023,A2,Q4,3,Rudbeckia laciniata,
6/13/2023,A2,Q4,2,Amaranthus tuberculatus,
6/13/2023,A2,Q4,3,Bidens frondosa,
6/13/2023,A2,Q4,2,Rumex altissimus,
6/13/2023,A2,Q4,1,Solanum ptychanthum,
6/13/2023,A2,Q4,1,Persicaria punctata,
6/13/2023,A2,Q4,1,Elymus virginicus,
6/13/2023,A2,Q4,1,Toxicodendron radicans,
6/13/2023,A2,Q4,1,Symphyotrichum ontarionis ,
6/13/2023,A2,Q4,1,Morus alba,
6/13/2023,A2,Q4,1,Sicyos angulatus,
6/13/2023,A2,Q4,1,Humulus japonicus,
6/13/2023,A2,Q4,0,Woody debris,
6/13/2023,A2,Q4,1,Bareground,
6/13/2023,A2,Q5,6,Humulus japonicus,
6/13/2023,A2,Q5,3,Woody debris,
6/13/2023,A2,Q5,0,Bareground,
6/13/2023,A2,Q5,1,Symphyotrichum ontarionis ,
6/13/2023,A3,Q1,4,Toxicodendron radicans,
6/13/2023,A3,Q1,1,Taraxacum officinale,
6/13/2023,A3,Q1,1,Pilea pumila,
6/13/2023,A3,Q1,1,Symphyotrichum ontarionis ,
6/13/2023,A3,Q1,1,Humulus japonicus,
6/13/2023,A3,Q1,2,Carex grayi,
6/13/2023,A3,Q1,1,Boehmeria cylindrica,
6/13/2023,A3,Q1,2,Woody debris,
6/13/2023,A3,Q1,2,Bareground,
6/13/2023,A3,Q2,1,Sicyos angulatus,
6/13/2023,A3,Q2,2,Morus alba,
6/13/2023,A3,Q2,2,Pilea pumila,
6/13/2023,A3,Q2,3,Stachys palustris,
6/13/2023,A3,Q2,2,Phytolacca americana,
6/13/2023,A3,Q2,2,Humulus japonicus,
6/13/2023,A3,Q2,3,Woody debris,
6/13/2023,A3,Q2,1,Bareground,
6/13/2023,A3,Q3,3,Persicaria punctata,
6/13/2023,A3,Q3,1,Gleditsia triacanthos,
