Well,ID,%N,%C
A1,A1 FWD,1.17,48.37
A2,A2 FWD,0.75,47.65
A3,A3 FWD,0.84,48.33
A4,B1 FWD,1.22,54.88
A5,B2 FWD,0.84,48.97
A6,B3 FWD,0.77,48.64
A7,C1 FWD,1.42,48.08
A8,C2 FWD,1.01,49.74
A9,C3 FWD,1.18,48.17
A10,D1 FWD,1.1,49.38
A11,D2 FWD,1.02,48.22
A12,D3 FWD,1.07,47.03
B1,E1 FWD,1.29,48.53
B2,E2 FWD,1.13,48.35
B3,E3 FWD,1.48,44.48
B4,R1 FWD,1.03,48.56
B5,R2 FWD,1.27,48.19
B6,R3 FWD,1.24,46.39
B7,A1 HL,2.26,40.19
B8,A2 HL,2.15,33.43
B9,A3 HL,2.29,36.22
B10,B1 HL,2.14,36.2
B11,B2 HL,1.81,33.29
B12,B3 HL,1.96,36.62
C1,C1 HL,2.25,39.3
C2,C2 HL,1.87,35.16
C3,C3 HL,2.18,38.58
C4,D1 HL,1.98,34.42
C5,D2 HL,2.1,34.5
C6,D3 HL,1.94,32.54
C7,E1 HL,2.34,37.89
C8,E2 HL,1.76,30.26
C9,E3 HL,1.81,32.43
C10,R1 HL,1.67,36.42
C11,R2 HL,1.98,38.06
C12,R3 HL,1.98,38.23
D1,A1 mix,3.24,35.88
D2,A2 mix,2.41,39.69
D3,A3 mix,3.17,43.35
D4,B1 mix,2.98,42.29
D5,B2 mix,4.58,41.16
D6,B3 mix,2.46,41.79
D7,C1 mix,3.35,36.91
D8,C2 mix,1.68,44.41
D9,C3 mix,2.31,40.66
D10,D1 mix,1.93,42.01
D11,D2 mix,3.51,40.9
D12,D3 mix,4.3,39.32
E1,E1 mix,3.82,39.16
E2,E2 mix,3.15,36.47
E3,E3 mix,2.17,42.41
E4,R1 mix,3.34,38.66
E5,R2 mix,2.78,39.26
E6,R3 mix,2.54,43.03
E7,B1 PA,2.24,42.34
E8,B3 PA,1.56,42.07
E9,D1 PA,3.35,41.14
E10,D2 PA,1.34,41.54
E11,D3 PA,2.43,39.45
E12,E1 PA,2.61,52.65
F1,E2 PA,1.95,41.25
F2,E3 PA,2.89,42.15
F3,A2 HJ,3.63,36.6
F4,A3 HJ,3.69,37.33
F5,B1 HJ,3.25,34.77
F6,B2 HJ,3.16,34.4
F7,C2 HJ,2.65,41.56
F8,D1 HJ,3.32,37.75
F9,D2 HJ,2.66,37.46
F10,E1 HJ,3.54,36.91
F11,E2 HJ,3.17,35.14
F12,E3 HJ,2.68,38.84
