spp,comp,light,water,y
pa,comp.h,full,hi,
pa,comp.h,full,lo,
pa,comp.h,partial,hi,
pa,comp.h,partial,lo,
pa,comp.c,full,hi,
pa,comp.c,full,lo,
pa,comp.c,partial,hi,
pa,comp.c,partial,lo,
pa,monoculture,full,hi,
pa,monoculture,full,lo,
pa,monoculture,partial,hi,
pa,monoculture,partial,lo,
hj,comp.p,full,hi,
hj,comp.p,full,lo,
hj,comp.p,partial,hi,
hj,comp.p,partial,lo,
hj,monoculture,full,hi,
hj,monoculture,full,lo,
hj,monoculture,partial,hi,
hj,monoculture,partial,lo,
sa,comp.p,full,hi,
sa,comp.p,full,lo,
sa,comp.p,partial,hi,
sa,comp.p,partial,lo,
sa,monoculture,full,hi,
sa,monoculture,full,lo,
sa,monoculture,partial,hi,
sa,monoculture,partial,lo,
