Position,Sample ID,Weight (mg)
A1,A1 FWD,3.058
A2,A2 FWD,3.457
A3,A3 FWD,3.306
A4,B1 FWD,3.207
A5,B2 FWD,3.742
A6,B3 FWD,3.266
A7,C1 FWD,3.071
A8,C2 FWD,3.543
A9,C3 FWD,3.265
A10,D1 FWD,3.651
A11,D2 FWD,3.381
A12,D3 FWD,3.354
B1,E1 FWD,3.132
B2,E2 FWD,3.445
B3,E3 FWD,3.885
B4,R1 FWD,3.66
B5,R2 FWD,3.512
B6,R3 FWD,3.814
B7,A1 HL,3.368
B8,A2 HL,3.581
B9,A3 HL,3.459
B10,B1 HL,3.84
B11,B2 HL,3.766
B12,B3 HL,3.273
C1,C1 HL,2.961
C2,C2 HL,3.232
C3,C3 HL,3.923
C4,D1 HL,3.467
C5,D2 HL,3.681
C6,D3 HL,2.96
C7,E1 HL,2.921
C8,E2 HL,2.95
C9,E3 HL,3.202
C10,R1 HL,3.808
C11,R2 HL,3.602
C12,R3 HL,3.242
D1,A1 mix,3.438
D2,A2 mix,3.657
D3,A3 mix,3.381
D4,B1 mix,3.937
D5,B2 mix,3.039
D6,B3 mix,3.018
D7,C1 mix,3.8
D8,C2 mix,3.4
D9,C3 mix,3.206
D10,D1 mix,3.26
D11,D2 mix,3.773
D12,D3 mix,3.584
E1,E1 mix,3.548
E2,E2 mix,2.999
E3,E3 mix,2.786
E4,R1 mix,2.807
E5,R2 mix,2.853
E6,R3 mix,3.909
E7,B1 PA,2.953
E8,B3 PA,3.426
E9,D1 PA,3.853
E10,D2 PA,3.576
E11,D3 PA,3.579
E12,E1 PA,2.86
F1,E2 PA,3.415
F2,E3 PA,3.162
F3,A2 HJ,3.357
F4,A3 HJ,3.909
F5,B1 HJ,3.824
F6,B2 HJ,3.521
F7,C2 HJ,3.194
F8,D1 HJ,3.948
F9,D2 HJ,3.902
F10,E1 HJ,3.407
F11,E2 HJ,3.796
F12,E3 HJ,3.714
