trt,num,type,N,C,CN,trt.full,sum.mass,mass.g.m2,C.g.m2,N.g.m2
A,1,FWD,1.17,48.37,41.34188034,Balled-and-burlapped,148.41,329.8,159.39234,2.77032
A,2,FWD,0.75,47.65,63.53333333,Balled-and-burlapped,59.59,132.4222222,63.99966,1.112346667
A,3,FWD,0.84,48.33,57.53571429,Balled-and-burlapped,165.41,367.5777778,177.65034,3.087653333
B,1,FWD,1.22,54.88,44.98360656,Bareroot,295.18,655.9555556,319.0567822,5.050857778
B,2,FWD,0.84,48.97,58.29761905,Bareroot,395.4,878.6666667,427.3834667,6.765733333
B,3,FWD,0.77,48.64,63.16883117,Bareroot,469.39,1043.088889,507.3584356,8.031784444
C,1,FWD,1.42,48.08,33.85915493,Seedling,28.94,64.31111111,30.97866222,0.758871111
C,2,FWD,1.01,49.74,49.24752475,Seedling,252.95,562.1111111,270.7689222,6.632911111
C,3,FWD,1.18,48.17,40.8220339,Seedling,411.72,914.9333333,440.7233867,10.79621333
D,1,FWD,1.1,49.38,44.89090909,Acorn,10,22.22222222,10.45111111,0.237777778
D,2,FWD,1.02,48.22,47.2745098,Acorn,10.21,22.68888889,10.67058444,0.242771111
D,3,FWD,1.07,47.03,43.95327103,Acorn,14.36,31.91111111,15.00779556,0.341448889
E,1,FWD,1.29,48.53,37.62015504,Seedbank,0,0,0,0
E,2,FWD,1.13,48.35,42.78761062,Seedbank,11.56,25.68888889,11.42641778,0.380195556
E,3,FWD,1.48,44.48,30.05405405,Seedbank,76.59,170.2,75.70496,2.51896
R,1,FWD,1.03,48.56,47.14563107,Reference,542.85,1206.333333,559.6180333,14.95853333
R,2,FWD,1.27,48.19,37.94488189,Reference,416.38,925.2888889,429.2415156,11.47358222
R,3,FWD,1.24,46.39,37.41129032,Reference,64.05,142.3333333,66.02843333,1.764933333
A,1,HL,2.26,40.19,17.78318584,Balled-and-burlapped,217.33,482.9555556,174.9265022,11.05968222
A,2,HL,2.15,33.43,15.54883721,Balled-and-burlapped,255.22,567.1555556,205.4237422,12.98786222
A,3,HL,2.29,36.22,15.81659389,Balled-and-burlapped,245.86,546.3555556,197.8899822,12.51154222
B,1,HL,2.14,36.2,16.91588785,Bareroot,342.76,761.6888889,278.9304711,14.92910222
B,2,HL,1.81,33.29,18.39226519,Bareroot,213.06,473.4666667,173.3834933,9.279946667
B,3,HL,1.96,36.62,18.68367347,Bareroot,176.21,391.5777778,143.3957822,7.674924444
C,1,HL,2.25,39.3,17.46666667,Seedling,180.09,400.2,154.39716,8.72436
C,2,HL,1.87,35.16,18.80213904,Seedling,227.12,504.7111111,194.7175467,11.00270222
C,3,HL,2.18,38.58,17.69724771,Seedling,256.37,569.7111111,219.7945467,12.41970222
D,1,HL,1.98,34.42,17.38383838,Acorn,159.62,354.7111111,115.4229956,6.881395556
D,2,HL,2.1,34.5,16.42857143,Acorn,241.25,536.1111111,174.4505556,10.40055556
D,3,HL,1.94,32.54,16.77319588,Acorn,408.56,907.9111111,295.4342756,17.61347556
E,1,HL,2.34,37.89,16.19230769,Seedbank,95.18,211.5111111,68.59305333,3.828351111
