"Year","Trt","Num","Quad","N"
"2022","A","1","Q1","2"
"2022","A","1","Q2","4"
"2022","A","1","Q3","2"
"2022","A","1","Q4","8"
"2022","A","1","Q5","9"
"2022","A","2","Q1","1"
"2022","A","2","Q2","2"
"2022","A","2","Q3","7"
"2022","A","2","Q4","10"
"2022","A","2","Q5","4"
"2022","A","3","Q1","8"
"2022","A","3","Q2","5"
"2022","A","3","Q3","9"
"2022","A","3","Q4","9"
"2022","A","3","Q5","8"
"2022","B","1","Q1","3"
"2022","B","1","Q2","4"
"2022","B","1","Q3","6"
"2022","B","1","Q4","4"
"2022","B","1","Q5","3"
"2022","B","2","Q1","2"
"2022","B","2","Q2","1"
"2022","B","2","Q3","6"
"2022","B","2","Q4","8"
"2022","B","2","Q5","2"
"2022","B","3","Q1","1"
"2022","B","3","Q2","6"
"2022","B","3","Q3","6"
"2022","B","3","Q4","6"
"2022","B","3","Q5","4"
"2022","C","1","Q1","8"
"2022","C","1","Q2","8"
"2022","C","1","Q3","8"
"2022","C","1","Q4","3"
"2022","C","1","Q5","3"
"2022","C","2","Q1","5"
"2022","C","2","Q2","9"
"2022","C","2","Q3","6"
"2022","C","2","Q4","5"
"2022","C","2","Q5","2"
"2022","C","3","Q1","2"
"2022","C","3","Q2","4"
"2022","C","3","Q3","3"
"2022","C","3","Q4","5"
"2022","C","3","Q5","7"
"2022","D","1","Q1","5"
"2022","D","1","Q2","7"
"2022","D","1","Q3","7"
"2022","D","1","Q4","5"
"2022","D","1","Q5","7"
"2022","D","2","Q1","2"
"2022","D","2","Q2","1"
"2022","D","2","Q3","2"
"2022","D","2","Q4","5"
"2022","D","2","Q5","9"
"2022","D","3","Q1","3"
"2022","D","3","Q2","2"
"2022","D","3","Q3","2"
"2022","D","3","Q4","3"
"2022","D","3","Q5","4"
"2022","E","1","Q1","2"
"2022","E","1","Q2","2"
"2022","E","1","Q3","2"
"2022","E","1","Q4","2"
"2022","E","1","Q5","2"
"2022","E","2","Q1","3"
"2022","E","2","Q2","3"
"2022","E","2","Q3","3"
"2022","E","2","Q4","1"
"2022","E","2","Q5","2"
"2022","E","3","Q1","2"
"2022","E","3","Q2","4"
"2022","E","3","Q3","3"
"2022","E","3","Q4","5"
"2022","E","3","Q5","4"
"2022","R","1","Q1","6"
"2022","R","1","Q2","6"
"2022","R","1","Q3","7"
"2022","R","1","Q4","4"
"2022","R","1","Q5","3"
"2022","R","2","Q1","6"
"2022","R","2","Q2","11"
"2022","R","2","Q3","8"
"2022","R","2","Q4","6"
"2022","R","2","Q5","5"
"2022","R","3","Q1","8"
"2022","R","3","Q2","7"
"2022","R","3","Q3","5"
"2022","R","3","Q4","6"
"2022","R","3","Q5","6"
"2023","A","1","Q1","3"
"2023","A","1","Q2","6"
"2023","A","1","Q3","6"
"2023","A","1","Q4","6"
"2023","A","1","Q5","11"
"2023","A","2","Q1","4"
"2023","A","2","Q2","4"
"2023","A","2","Q3","9"
"2023","A","2","Q4","12"
"2023","A","2","Q5","2"
"2023","A","3","Q1","7"
"2023","A","3","Q2","6"
"2023","A","3","Q3","8"
"2023","A","3","Q4","8"
"2023","A","3","Q5","7"
"2023","B","1","Q1","8"
"2023","B","1","Q2","4"
"2023","B","1","Q3","7"
"2023","B","1","Q4","5"
"2023","B","1","Q5","4"
"2023","B","2","Q1","7"
"2023","B","2","Q2","6"
"2023","B","2","Q3","9"
"2023","B","2","Q4","9"
"2023","B","2","Q5","4"
"2023","B","3","Q1","0"
"2023","B","3","Q2","7"
"2023","B","3","Q3","7"
"2023","B","3","Q4","6"
"2023","B","3","Q5","6"
"2023","C","1","Q1","8"
"2023","C","1","Q2","4"
"2023","C","1","Q3","2"
"2023","C","1","Q4","6"
"2023","C","1","Q5","4"
"2023","C","2","Q1","4"
"2023","C","2","Q2","7"
"2023","C","2","Q3","9"
"2023","C","2","Q4","7"
"2023","C","2","Q5","4"
"2023","C","3","Q1","2"
"2023","C","3","Q2","3"
"2023","C","3","Q3","7"
"2023","C","3","Q4","4"
"2023","C","3","Q5","3"
"2023","D","1","Q1","7"
"2023","D","1","Q2","9"
"2023","D","1","Q3","3"
"2023","D","1","Q4","4"
"2023","D","1","Q5","9"
"2023","D","2","Q1","10"
"2023","D","2","Q2","11"
"2023","D","2","Q3","6"
"2023","D","2","Q4","6"
"2023","D","2","Q5","6"
"2023","D","3","Q1","4"
"2023","D","3","Q2","7"
"2023","D","3","Q3","10"
"2023","D","3","Q4","3"
"2023","D","3","Q5","8"
"2023","E","1","Q1","2"
"2023","E","1","Q2","1"
"2023","E","1","Q3","3"
"2023","E","1","Q4","3"
"2023","E","1","Q5","3"
"2023","E","2","Q1","6"
"2023","E","2","Q2","7"
"2023","E","2","Q3","3"
"2023","E","2","Q4","1"
"2023","E","2","Q5","2"
"2023","E","3","Q1","2"
"2023","E","3","Q2","3"
"2023","E","3","Q3","5"
"2023","E","3","Q4","4"
"2023","E","3","Q5","8"
"2023","R","1","Q1","11"
"2023","R","1","Q2","10"
"2023","R","1","Q3","5"
"2023","R","1","Q4","8"
"2023","R","1","Q5","8"
"2023","R","2","Q1","5"
"2023","R","2","Q2","8"
"2023","R","2","Q3","10"
"2023","R","2","Q4","7"
"2023","R","2","Q5","8"
"2023","R","3","Q1","10"
"2023","R","3","Q2","10"
"2023","R","3","Q3","10"
"2023","R","3","Q4","8"
"2023","R","3","Q5","13"
